,GEOGRAPHY_CODE,Occupancy rating of bedrooms: +1,Occupancy rating of bedrooms: +2 or more,Occupancy rating of bedrooms: -1,Occupancy rating of bedrooms: -2 or less,Occupancy rating of bedrooms: 0,Total: All households
0,E02000001,0.23565323565323565,0.07936507936507936,0.04212454212454213,0.005291005291005291,0.6375661375661376,4914.0
1,E02000002,0.29292929292929293,0.1400208986415883,0.13967258794845003,0.023685127133402994,0.40369209334726575,2871.0
2,E02000003,0.2837150127226463,0.22569974554707378,0.11094147582697202,0.03536895674300254,0.34427480916030534,3930.0
3,E02000004,0.3141247833622184,0.29506065857885616,0.0658578856152513,0.01733102253032929,0.3076256499133449,2308.0
4,E02000005,0.3028130170987314,0.15581908439051295,0.12989520132377275,0.02785438499724214,0.38361831218974074,3626.0
5,E02000007,0.24598639455782312,0.14421768707482993,0.13142857142857142,0.02802721088435374,0.45034013605442175,3675.0
6,E02000008,0.27465397923875434,0.11613321799307959,0.13646193771626297,0.027897923875432527,0.44485294117647056,4624.0
7,E02000009,0.2630465444287729,0.115890926187118,0.14339445228020686,0.04113775270333803,0.43653032440056416,4254.0
8,E02000010,0.3018641010222489,0.11996392062537582,0.1337943475646422,0.029464822609741433,0.4149128081779916,3326.0
9,E02000011,0.281767955801105,0.23714407139821506,0.11942201444963876,0.025499362515937103,0.3361665958351041,2353.0
10,E02000012,0.2254335260115607,0.28871311226041985,0.11925768177669607,0.05263157894736842,0.313964101003955,3287.0
11,E02000013,0.28488014751075597,0.136140135218193,0.13030116779348494,0.028272894898586354,0.4204056545789797,3254.0
12,E02000014,0.29014167650531286,0.12544273907910272,0.12957497048406139,0.03394332939787485,0.42089728453364816,3388.0
13,E02000015,0.2083745466534784,0.12100230794592813,0.15397296406198482,0.03165182987141444,0.4849983514671942,3033.0
14,E02000016,0.16714773025452637,0.053004460771451066,0.21359223300970873,0.03699816321175545,0.5292574127525583,3811.0
15,E02000017,0.2205350686912509,0.19992769342010122,0.1702819956616052,0.05314533622559653,0.35610990600144615,2766.0
16,E02000018,0.2659245516388373,0.11255411255411256,0.15213358070500926,0.030921459492888066,0.43846629560915273,3234.0
17,E02000019,0.3056768558951965,0.1263256394260761,0.14504054897067997,0.026200873362445413,0.396756082345602,3206.0
18,E02000020,0.2588310854206808,0.1205309355598373,0.14664953971312353,0.04003425390708628,0.4339541853992721,4671.0
19,E02000021,0.26596107886650733,0.17924206213724822,0.1413451689996586,0.027654489586889725,0.3857972004096961,2929.0
20,E02000022,0.18991416309012876,0.035050071530758224,0.2170958512160229,0.044349070100143065,0.5135908440629471,2796.0
21,E02000023,0.2016522718738265,0.10589560645888096,0.1734885467517837,0.040555764175741645,0.4784078107397672,2663.0
22,E02000024,0.2952210808396606,0.38030370701205896,0.0401965163019205,0.005806163465832961,0.278472532380527,4478.0
23,E02000025,0.30093457943925234,0.26755674232309745,0.05794392523364486,0.008544726301735648,0.3650200267022697,3745.0
24,E02000026,0.315810434090004,0.38988450816407805,0.037037037037037035,0.005575467941059339,0.2516925527678216,2511.0
25,E02000027,0.3018970189701897,0.26260162601626014,0.06802168021680217,0.012466124661246613,0.35501355013550134,3690.0
26,E02000028,0.2986627043090639,0.35178306092124817,0.056835066864784546,0.009286775631500743,0.28343239227340267,2692.0
27,E02000029,0.2981651376146789,0.2582298974635726,0.06799784133837021,0.009983810037776578,0.36562331354560174,3706.0
28,E02000030,0.27337311736288716,0.49957374254049447,0.03608979823813584,0.00625177607274794,0.18471156578573458,3519.0
29,E02000031,0.3044785091674181,0.3997595431319507,0.03907424105801022,0.004508566275924256,0.2521791403666967,3327.0
30,E02000032,0.29919825072886297,0.49198250728862974,0.03097667638483965,0.004373177842565598,0.17346938775510204,2744.0
31,E02000033,0.32541499713795075,0.28162564396107614,0.06496851745850028,0.010589582140812822,0.31740125930165997,3494.0
32,E02000034,0.2678372352285396,0.30267558528428096,0.07441471571906355,0.01254180602006689,0.34253065774804903,3588.0
33,E02000035,0.29226847918436705,0.2625318606627018,0.0637213254035684,0.0118946474086661,0.3695836873406967,3531.0
34,E02000036,0.2811866125760649,0.2989350912778905,0.08113590263691683,0.02129817444219067,0.3174442190669371,3944.0
35,E02000037,0.2577347323110035,0.4035512510088781,0.06994888350820554,0.012106537530266344,0.2566585956416465,3717.0
36,E02000038,0.2947052947052947,0.28121878121878124,0.07217782217782218,0.012487512487512488,0.33941058941058944,4004.0
37,E02000039,0.2656191545080434,0.44668911335578004,0.05873550317994763,0.013842124953236064,0.21511410400299288,2673.0
38,E02000040,0.32630379025363354,0.2827016243944144,0.05728127671701339,0.007694499857509262,0.32601880877742945,3509.0
39,E02000041,0.25413533834586466,0.3049624060150376,0.1118796992481203,0.023458646616541352,0.3055639097744361,3325.0
40,E02000042,0.2607589569641721,0.21305914776340895,0.08670765316938732,0.019503921984312063,0.41997032011871954,4717.0
41,E02000043,0.2740907386576678,0.4983127109111361,0.031121109861267343,0.009373828271466067,0.1871016122984627,2667.0
42,E02000044,0.2694688823721082,0.20430107526881722,0.12284131638970348,0.03616813294232649,0.36722059302704463,3069.0
43,E02000045,0.2846263683960019,0.19133745835316515,0.09852451213707758,0.01285102332222751,0.41266063779152784,4202.0
44,E02000046,0.27440083362278567,0.27856894755123307,0.07085793678360541,0.01076762764848906,0.36540465439388675,2879.0
45,E02000047,0.2333095747208363,0.12188168210976479,0.1651223568543597,0.042765502494654314,0.4369208838203849,4209.0
46,E02000048,0.3090356871678056,0.3561123766135156,0.04986079473551,0.00961781827385472,0.2753733232093141,3951.0
47,E02000049,0.22730860299921074,0.08418837148118916,0.15522230991844252,0.038410944488292555,0.494869771112865,3801.0
48,E02000050,0.2635101636093208,0.2630143777887952,0.0805651958353991,0.02057511155180962,0.37233515121467525,4034.0
49,E02000051,0.2992354336936462,0.3274452939625626,0.06564724492486158,0.010018455048774057,0.29765357237015555,3793.0
50,E02000052,0.29945120496301597,0.2488666189453591,0.05869720830350752,0.00882844189930804,0.38415652588880933,4191.0
51,E02000054,0.23998653651969035,0.2595085829686974,0.10030292830696735,0.014809828340626052,0.38539212386401883,2971.0
52,E02000055,0.23285238623751386,0.24816870144284128,0.1076581576026637,0.019755826859045506,0.3915649278579356,4505.0
53,E02000056,0.2707728065078443,0.5040674026728647,0.028181289947704823,0.002324230098779779,0.1946542707728065,3442.0
54,E02000057,0.26136783733826247,0.29833641404805916,0.07837338262476895,0.01922365988909427,0.3426987060998152,2705.0
55,E02000058,0.2643397608005858,0.3922382230900659,0.04417866731754943,0.008054674151818403,0.2911886746399805,4097.0
56,E02000059,0.2587917042380523,0.15036068530207394,0.11158701532912534,0.034941388638412986,0.4443192064923354,4436.0
57,E02000060,0.21034109366540335,0.33974011911207364,0.07715213860314023,0.016242555495397944,0.35652409312398486,3694.0
58,E02000061,0.22949902043101036,0.32801567310383434,0.04506017352364959,0.008396305625524769,0.389028827315981,3573.0
59,E02000062,0.23747609942638623,0.15564053537284894,0.12734225621414913,0.03326959847036329,0.4462715105162524,2615.0
60,E02000063,0.23712067748764998,0.25688073394495414,0.09174311926605505,0.022582921665490474,0.3916725476358504,2834.0
61,E02000064,0.26937002172338886,0.20347574221578565,0.09196234612599566,0.012671976828385228,0.4225199131064446,2762.0
62,E02000065,0.2472072072072072,0.17801801801801803,0.13513513513513514,0.033873873873873875,0.4057657657657658,2775.0
63,E02000066,0.2371017761488582,0.17817874259937977,0.10769664505215676,0.02650126867775585,0.45052156752184946,3547.0
64,E02000067,0.30253577705247303,0.15515942756716042,0.09892041174993724,0.01983429575696711,0.4235500878734622,3983.0
65,E02000068,0.28942428035043805,0.1320400500625782,0.10544430538172717,0.019712140175219023,0.45337922403003755,3196.0
66,E02000069,0.3481507823613087,0.2677809388335704,0.059388335704125175,0.011379800853485065,0.3133001422475107,2812.0
67,E02000070,0.3589171974522293,0.3560509554140127,0.04235668789808917,0.006050955414012739,0.23662420382165605,3140.0
68,E02000071,0.3467514124293785,0.330861581920904,0.048375706214689264,0.009887005649717515,0.2641242937853107,2832.0
69,E02000072,0.2815699658703072,0.17064846416382254,0.10473549488054608,0.02069112627986348,0.42235494880546076,4688.0
