,GEOGRAPHY_CODE,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 4 years and under,Aged 40 to 44 years,Aged 45 to 49 years,Aged 5 to 9 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Total
0,E02000001,0.02027972027972028,0.025174825174825177,0.11247086247086246,0.14137529137529137,0.11678321678321678,0.08461538461538462,0.024825174825174826,0.06375291375291375,0.06340326340326341,0.01853146853146853,0.07459207459207459,0.06025641025641026,0.05337995337995338,0.045804195804195806,0.03706293706293706,0.024475524475524476,0.019114219114219115,0.014102564102564103,1
1,E02000002,0.09268645908761766,0.07458363504706735,0.04948105237750423,0.06251508568670046,0.08049722423364712,0.07856625633598842,0.07880762732319575,0.07120444122616461,0.06517016654598118,0.09063480569635529,0.05587738353849867,0.049601737871107894,0.038257301472363024,0.028240405503258507,0.023533671252715424,0.023292300265508086,0.017982138546946656,0.019068307989379675,1
2,E02000003,0.06690354450125661,0.06187711240142127,0.06387035271687322,0.07496316838547534,0.08527602045237889,0.08284946702487217,0.0824161539128174,0.07348990380448912,0.059363896351503596,0.07253661495796863,0.06274373862553081,0.05615737932229829,0.04740445445879192,0.031111881445532542,0.02686541294739579,0.019065776930409915,0.01880578906317705,0.014299332697807437,1
3,E02000004,0.060409761976498944,0.05890328412172341,0.06387466104248267,0.07396806266947877,0.07758360952094004,0.07231093702922567,0.059355227478156074,0.06523049111178066,0.06266947875866224,0.06673696896655619,0.06854474239228683,0.06071105754745405,0.05920457969267852,0.0391684242241639,0.0346489906598373,0.02771919252786984,0.02289846339258813,0.026062066887616753,1
4,E02000005,0.08870240028875655,0.06623353185345605,0.0560368164591229,0.062263129399025445,0.07787402995849124,0.09131925645190399,0.08798050893340552,0.08464176141490706,0.0668651867893882,0.08816098177224328,0.06172171088251218,0.05441256090958311,0.03410936654033568,0.023912651146002526,0.020303194369247428,0.013806172171088251,0.01209168020212958,0.00956506045840101,1
5,E02000007,0.08926286782796969,0.06879244168881016,0.06200177147918512,0.07007184332250763,0.08011022537151855,0.07745300659383919,0.0737132172030312,0.07440212577502214,0.06544631433913985,0.08562149394744611,0.06082078535577207,0.05658891841354197,0.03956303513433717,0.02726109634878457,0.02627694124594036,0.01574648164550733,0.013778171439818916,0.01308926286782797,1
6,E02000008,0.09169119311750057,0.06701381027846955,0.054335521847407746,0.0593917440193193,0.07282469247603954,0.08527658289940382,0.0676175382989963,0.07780544864538526,0.07433401252735643,0.08240887480190175,0.06973058637083994,0.06308957814504566,0.043166553467662815,0.030337333031469325,0.023469926797977513,0.015244132518300505,0.011923628405403366,0.01033884235152064,1
7,E02000009,0.08789927722079739,0.07530892982047097,0.06598274656096992,0.06878060153882024,0.08207041268360923,0.08556773140592212,0.07973886686873397,0.07670785730939612,0.0701795290277454,0.08852102277143079,0.060697909380585995,0.055413072200202064,0.032719359602082845,0.025491567575969536,0.016009947928810133,0.009947928810134453,0.007538664801430015,0.011424574492888785,1
8,E02000010,0.0816025303110174,0.07011070110701106,0.06146547179757512,0.06620980495519241,0.07770163415919873,0.08170795993674222,0.07211386399578282,0.07601476014760147,0.06874011597258829,0.0823405376910912,0.07105956773853453,0.05861887190300474,0.04470216130732736,0.030574591460200317,0.019399051133368476,0.014549288350026357,0.01275698471270427,0.010332103321033211,1
9,E02000011,0.0721605465414176,0.06646740677483633,0.06347850839738116,0.07087959009393681,0.07543410190720182,0.08098491317961856,0.07230287503558212,0.06703672075149444,0.06376316538571022,0.07301451750640478,0.06931397665812696,0.0569313976658127,0.04127526330771421,0.03216623968118417,0.03031596925704526,0.0237688585254768,0.01864503273555366,0.022060916595502418,1
