,GEOGRAPHY_CODE,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household,Total: All households
0,E02000001,0.50997150997151,0.3595848595848596,0.0754985754985755,0.03866503866503866,0.010582010582010581,0.0022385022385022386,0.0014245014245014246,0.002035002035002035,1
1,E02000002,0.25261324041811845,0.21916376306620208,0.18362369337979095,0.18710801393728224,0.09616724738675958,0.04250871080139373,0.011846689895470384,0.006968641114982578,1
2,E02000003,0.24783715012722646,0.2407124681933842,0.17353689567430025,0.17201017811704836,0.08829516539440203,0.03536895674300254,0.021628498727735368,0.020610687022900764,1
3,E02000004,0.23333333333333334,0.26666666666666666,0.2,0.16147186147186146,0.08225108225108226,0.033766233766233764,0.012121212121212121,0.01038961038961039,1
4,E02000005,0.19465122690929143,0.22663358147229115,0.18775847808105872,0.2213950923628343,0.10504549214226634,0.03915081334436173,0.016542597187758478,0.008822718500137855,1
5,E02000007,0.2912700571117759,0.22110416100081587,0.18384552624422082,0.1571933641555616,0.09301060647266794,0.03290726135436497,0.012238237693772096,0.008430785966820778,1
6,E02000008,0.23313148788927335,0.24783737024221453,0.1870674740484429,0.18360726643598616,0.09083044982698962,0.03525086505190311,0.010813148788927335,0.011461937716262976,1
7,E02000009,0.23765867418899858,0.2162670427832628,0.1861777150916784,0.18218147625763986,0.09473436765397274,0.040432534085566525,0.017865538316878232,0.02468265162200282,1
8,E02000010,0.23527644230769232,0.23347355769230768,0.20432692307692307,0.18118990384615385,0.08954326923076923,0.03786057692307692,0.013822115384615384,0.004507211538461538,1
9,E02000011,0.22524436889077773,0.23799405014874628,0.18572035699107522,0.18572035699107522,0.09519762005949851,0.042498937526561836,0.018699532511687208,0.008924776880577986,1
10,E02000012,0.21100638491942839,0.17421708726056553,0.14898145332927942,0.17786561264822134,0.12982669504408634,0.07692307692307693,0.03253268470659775,0.048647005168744296,1
11,E02000013,0.2427781192378611,0.2347879532882606,0.18377381684081132,0.18070067609096496,0.08973570989551322,0.044253226797787336,0.014443761524277812,0.009526736324523662,1
12,E02000014,0.22373081463990555,0.23789846517119245,0.20425029515938606,0.18270365997638724,0.0885478158205431,0.0410271546635183,0.015938606847697757,0.0059031877213695395,1
13,E02000015,0.3091628213579433,0.20863546473302572,0.1825972313777192,0.15161502966381016,0.09063941990771258,0.03493737640079104,0.013843111404087014,0.008569545154911009,1
14,E02000016,0.27289425347677776,0.23563369194437156,0.19522435056415638,0.1503542377328785,0.08554185253214379,0.030963001836788243,0.015481500918394122,0.013907110994489635,1
15,E02000017,0.22471098265895953,0.18316473988439305,0.17521676300578035,0.17377167630057805,0.10729768786127168,0.07153179190751445,0.03106936416184971,0.033236994219653176,1
16,E02000018,0.2220160791589363,0.22789115646258504,0.20068027210884354,0.1821273964131107,0.10049474335188621,0.04483611626468769,0.012368583797155226,0.0095856524427953,1
17,E02000019,0.1834319526627219,0.23076923076923078,0.23139208969168484,0.19806913734039241,0.10028028651510433,0.03768296480847088,0.012768607910308314,0.005605730302086578,1
18,E02000020,0.22426706612454525,0.22127113203509524,0.1913117911405949,0.18104001711962336,0.10549967900706185,0.04408303017333619,0.01947357158142521,0.013053712818317997,1
19,E02000021,0.22627986348122867,0.22559726962457338,0.19112627986348124,0.1901023890784983,0.09590443686006826,0.04675767918088737,0.013310580204778157,0.010921501706484642,1
20,E02000022,0.2702895959957097,0.2502681444404719,0.17983553807651054,0.15302109402931713,0.0808008580622095,0.033964962459778335,0.025741866285305684,0.006077940650697175,1
21,E02000023,0.23469770935035675,0.21441982726248593,0.17912129177619227,0.1903867818250094,0.10777318813368382,0.04956815621479534,0.018024784078107398,0.0060082613593691325,1
22,E02000024,0.2903730176457449,0.3254411436229618,0.1652892561983471,0.15702479338842976,0.0455662273844092,0.0113915568461023,0.002903730176457449,0.0020102747375474648,1
23,E02000025,0.35077415910304327,0.29391350774159103,0.1609717031500267,0.1366791243993593,0.03683929524826481,0.009877202349172451,0.009877202349172451,0.0010678056593699946,1
24,E02000026,0.25965750696933493,0.29549980087614497,0.1859816806053365,0.17483074472321783,0.06332138590203107,0.01632815611310235,0.001991238550378335,0.0023894862604540022,1
25,E02000027,0.2719131614654003,0.26241519674355496,0.20488466757123475,0.17042062415196743,0.06078697421981004,0.019267299864314788,0.007055630936227951,0.0032564450474898234,1
26,E02000028,0.28592647604901594,0.3152617898254734,0.18083921277385814,0.15707389528406981,0.0415893056071296,0.012253991830672113,0.005569996286669142,0.0014853323431117712,1
27,E02000029,0.2674042093901781,0.28197517539125744,0.2021046950890448,0.1735024284943335,0.04722072315164598,0.015110631408526714,0.002698327037236913,0.009983810037776578,1
28,E02000030,0.21739130434782608,0.3245240125035522,0.18044899119067917,0.17789144643364593,0.06990622335890878,0.02216538789428815,0.004546746234725774,0.00312588803637397,1
29,E02000031,0.2806964875412789,0.311618132692885,0.1762233563494446,0.16271389972981087,0.05073551486040228,0.010807565295706995,0.004202942059441609,0.003002101471029721,1
30,E02000032,0.1782069970845481,0.26494169096209913,0.20954810495626822,0.23505830903790087,0.0794460641399417,0.022230320699708456,0.00619533527696793,0.004373177842565598,1
31,E02000033,0.27962220950200345,0.27676016027475675,0.18918145392100744,0.1788780767029193,0.05266170578133944,0.013737836290784202,0.004865483686319404,0.004293073840870063,1
32,E02000034,0.27118171683389075,0.2976588628762542,0.18979933110367894,0.16137123745819398,0.05351170568561873,0.017837235228539576,0.005852842809364548,0.002787068004459309,1
33,E02000035,0.3155656365182875,0.31981854267082505,0.16983271902466684,0.13751063226538135,0.03997731783385313,0.011341083073433513,0.005103487383045081,0.0008505812305075135,1
34,E02000036,0.2363083164300203,0.26140973630831643,0.18864097363083165,0.17596348884381338,0.07682555780933063,0.03296146044624747,0.012677484787018255,0.015212981744421906,1
35,E02000037,0.2093649085037675,0.2890204520990312,0.18622174381054898,0.15796555435952636,0.0810010764262648,0.035252960172228204,0.021528525296017224,0.019644779332615717,1
36,E02000038,0.2543684473290065,0.28681977034448325,0.1924613080379431,0.17373939091362955,0.06115826260609086,0.021717423864203694,0.00673989016475287,0.0029955067398901645,1
37,E02000039,0.2513089005235602,0.2830964846671653,0.1768885564697083,0.17651458489154825,0.07329842931937172,0.01832460732984293,0.016080777860882575,0.004487658937920718,1
38,E02000040,0.2836374002280502,0.29418472063854045,0.18244013683010263,0.14965792474344355,0.05701254275940707,0.020524515393386546,0.008266818700114024,0.00427594070695553,1
39,E02000041,0.23518796992481203,0.2754887218045113,0.18766917293233082,0.1530827067669173,0.07729323308270676,0.039699248120300755,0.01744360902255639,0.014135338345864662,1
40,E02000042,0.3275350021213407,0.28510818837505303,0.17649554518455665,0.13661434026304625,0.041366143402630465,0.018667798048366567,0.008909630886720407,0.005303351718285956,1
41,E02000043,0.19362101313320826,0.2803001876172608,0.20075046904315197,0.22288930581613509,0.0772983114446529,0.01350844277673546,0.00600375234521576,0.005628517823639775,1
42,E02000044,0.22189638318670576,0.2518735744542196,0.20430107526881722,0.16552623004235908,0.09253828608667318,0.04040404040404041,0.017921146953405017,0.005539263603779733,1
43,E02000045,0.30668570068998335,0.2624315964787057,0.18962645729241018,0.15917201998572447,0.05234356412086605,0.017130620985010708,0.00808945990958839,0.004520580537711158,1
44,E02000046,0.28551580409864535,0.3077457450503647,0.20319555401180966,0.13963181660298715,0.04272316776658562,0.014588398749565822,0.004862799583188607,0.0017367141368530739,1
45,E02000047,0.22789923954372623,0.24857414448669202,0.19391634980988592,0.17252851711026615,0.08008555133079848,0.040399239543726234,0.018773764258555134,0.01782319391634981,1
46,E02000048,0.2643037974683544,0.2908860759493671,0.17443037974683545,0.16759493670886075,0.06911392405063291,0.02329113924050633,0.006329113924050633,0.004050632911392405,1
47,E02000049,0.2694736842105263,0.24657894736842106,0.19657894736842105,0.14657894736842106,0.07552631578947368,0.03921052631578947,0.011578947368421053,0.014473684210526316,1
48,E02000050,0.28433316807139314,0.27540902330193356,0.18914229053049084,0.15592464055528013,0.054784333168071395,0.026276648487853247,0.0066931085770946955,0.0074367873078829945,1
49,E02000051,0.31558133403638283,0.30872660163459004,0.1631953598734511,0.12338518323226998,0.06432902715528606,0.01476403901924598,0.006063801740047456,0.003954653308726601,1
50,E02000052,0.3151240458015267,0.30033396946564883,0.1784351145038168,0.15243320610687022,0.03816793893129771,0.010734732824427481,0.0033396946564885495,0.0014312977099236641,1
51,E02000054,0.3116795691686301,0.27566475934028944,0.17569841804106362,0.12352743184113094,0.0568832043083137,0.029283069673510603,0.010434197239986537,0.01682935038707506,1
52,E02000055,0.296271637816245,0.2789613848202397,0.17887261429205503,0.12561029738126941,0.06968486462494451,0.03195739014647137,0.01087438970261873,0.007767421216156236,1
53,E02000056,0.24520627542126672,0.3076699593259733,0.17141196978500872,0.1673445671121441,0.07902382335851249,0.02149912841371296,0.004357931435212086,0.003486345148169669,1
54,E02000057,0.2535107169253511,0.2531411677753141,0.1607538802660754,0.1345158906134516,0.09164818920916482,0.06541019955654102,0.024390243902439025,0.01662971175166297,1
55,E02000058,0.32471334471822394,0.29641375945352527,0.14369358380092706,0.13100756282020004,0.050500121980970966,0.026591851671139304,0.014637716516223469,0.012442059038789949,1
56,E02000059,0.3007891770011274,0.2696730552423901,0.17497181510710258,0.1298759864712514,0.06674182638105976,0.027733934611048477,0.01217587373167982,0.018038331454340473,1
57,E02000060,0.29894394800974816,0.23774708908746275,0.12672623883021933,0.1083130246412131,0.06823720552396426,0.05226103438938532,0.057676685621445976,0.050094773896561064,1
58,E02000061,0.36467954100195915,0.2941505737475511,0.14609571788413098,0.11586901763224182,0.050937587461516935,0.01623285754268122,0.006717044500419815,0.005317660229499021,1
59,E02000062,0.31063504208110176,0.23603672532517214,0.18706962509563888,0.12318286151491967,0.07918898240244836,0.03825554705432287,0.018362662586074982,0.0072685539403213465,1
60,E02000063,0.3018002117896223,0.2428521002470879,0.17755030003529826,0.14895870102364983,0.07589128132721497,0.03106247793858101,0.012354394634662902,0.00953053300388281,1
61,E02000064,0.30159304851556845,0.30340333091962346,0.20130340333091962,0.12128892107168718,0.05249818971759594,0.01448225923244026,0.0039826212889210715,0.001448225923244026,1
62,E02000065,0.23703170028818443,0.23378962536023054,0.19380403458213258,0.1696685878962536,0.10122478386167147,0.04250720461095101,0.016210374639769452,0.005763688760806916,1
63,E02000066,0.3182971525232591,0.22159571468846914,0.1767691006484353,0.15054976036086834,0.0744290950098675,0.03749647589512264,0.01381449111925571,0.007048209754722301,1
64,E02000067,0.28345468240020083,0.27039919658548833,0.19482801908109465,0.14988701983429575,0.06829023349234245,0.020336429826763747,0.008285212151644489,0.0045192066281697215,1
