,GEOGRAPHY_CODE,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Other household types,"Other household types: Other, including all full-time students and all aged 66 years and over",Other household types: With dependent children,Single family household,Single family household: All aged 66 years and over,Single family household: Cohabiting couple family,Single family household: Cohabiting couple family: All children non-dependent,Single family household: Cohabiting couple family: No children,Single family household: Cohabiting couple family: With dependent children,Single family household: Lone parent family,Single family household: Lone parent family: All children non-dependent,Single family household: Lone parent family: With dependent children,Single family household: Married or civil partnership couple,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: No children,Single family household: Other single family household,Single family household: Other single family household: Other family composition,Total: All households
0,E02000001,0.5097640358014646,0.10048820179007323,0.4092758340113914,0.08685923515052889,0.080553295362083,0.006305939788445891,0.40337672904800653,0.040886899918633035,0.13527257933279088,0.0020341741253051262,0.12164361269324654,0.011594792514239219,0.03559804719283971,0.017290480065093573,0.018307567127746133,0.17209113100081366,0.014239218877135883,0.05146460537021969,0.1063873067534581,0.01952807160292921,0.01952807160292921,1
1,E02000002,0.25252525252525254,0.11598746081504702,0.1365377917102055,0.10902124695228144,0.03657262277951933,0.0724486241727621,0.6384535005224661,0.04737025426680599,0.07836990595611286,0.01044932079414838,0.018112156043190525,0.04980842911877394,0.21699756182514804,0.06513409961685823,0.1518634622082898,0.28561476837338906,0.046673632880529434,0.19609892023685127,0.042842215256008356,0.010101010101010102,0.010101010101010102,1
2,E02000003,0.24777410328160773,0.11269397099974561,0.1350801322818621,0.15441363520732637,0.05316713304502671,0.10124650216229968,0.5978122615110659,0.03815822945815314,0.06029000254388196,0.005850928516916815,0.024930043245993384,0.02950903078097176,0.15873823454591707,0.05367590943780209,0.10506232510811499,0.3228186212159756,0.06715848384634952,0.18646654795217502,0.06919358941745103,0.01780717374713813,0.01780717374713813,1
3,E02000004,0.2338674750974448,0.12299696838458207,0.11087050671286271,0.12083152880034648,0.051104374187960155,0.06972715461238631,0.6453009961022087,0.06539627544391512,0.08401905586834127,0.013858813339107838,0.027717626678215677,0.04244261585101776,0.14032048505846687,0.06323083585967952,0.07708964919878736,0.3456041576440017,0.09138155045474232,0.17236899090515376,0.08185361628410567,0.00996102208748376,0.00996102208748376,1
4,E02000005,0.19465122690929143,0.07416597739178385,0.12048524951750758,0.12903225806451613,0.03970223325062035,0.08933002481389578,0.6763165150261925,0.030603804797353185,0.08133443617314585,0.009374138406396471,0.02591673559415495,0.04604356217259443,0.19547835676867936,0.07113316790736146,0.12434518886131789,0.35456299972429006,0.05955334987593052,0.23766197959746346,0.05734767025089606,0.014336917562724014,0.014336917562724014,1
5,E02000007,0.2915078933043005,0.09281437125748503,0.19869352204681545,0.10751224823081111,0.03973870440936309,0.06777354382144801,0.6009798584648884,0.032117583015786606,0.0783886771910724,0.006260206859009254,0.023952095808383235,0.04817637452367991,0.2215568862275449,0.0658682634730539,0.15568862275449102,0.25639629831246596,0.051986935220468156,0.1502449646162221,0.05416439847577572,0.012520413718018509,0.012520413718018509,1
6,E02000008,0.2332323669407183,0.09043704024231934,0.14279532669839895,0.12051060147122458,0.04392038078753786,0.07659022068368672,0.6462570315880571,0.030073561228905237,0.09844223279965383,0.010817827780181739,0.03461704889658156,0.05300735612289052,0.21181306793595847,0.08589355257464301,0.12591951536131546,0.2935958459541324,0.055387278234530504,0.17935958459541324,0.05884898312418866,0.012332323669407183,0.012332323669407183,1
7,E02000009,0.23796100540286586,0.07423067888184168,0.1637303265210242,0.13648108996946207,0.04580690627202255,0.09067418369743951,0.625557904627672,0.024195442800093964,0.08621094667606295,0.008926474042753112,0.028423772609819122,0.04886070002349072,0.1949729856706601,0.06929762743716232,0.12567535823349776,0.3049095607235142,0.05332393704486728,0.203194738078459,0.04839088560018793,0.01526896875734085,0.01526896875734085,1
8,E02000010,0.23534715960324618,0.0793507664562669,0.15599639314697927,0.13104899308686505,0.049894800120228434,0.0811541929666366,0.6336038473098888,0.027953110910730387,0.08476104598737602,0.010519987977156597,0.023143973549744516,0.0510970844604749,0.21520889690411782,0.07604448452058912,0.1391644123835287,0.29125338142470697,0.06281935677787796,0.16982266305981364,0.058611361587015326,0.014427412082957619,0.014427412082957619,1
9,E02000011,0.22514868309260833,0.09388275276125743,0.1312659303313509,0.12829226847918437,0.0514018691588785,0.07689039932030586,0.6465590484282073,0.05819881053525913,0.08113848768054376,0.012744265080713678,0.020815632965165677,0.0475785896346644,0.16355140186915887,0.055225148683092605,0.10832625318606627,0.32837723024638915,0.07434154630416312,0.18819031435853867,0.06584536958368734,0.015293118096856415,0.015293118096856415,1
