,GEOGRAPHY_CODE,Full-time,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Part-time,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Total: All usual residents aged 16 years and over in employment the week before the census
0,E02000001,0.8346103532050084,0.5157914408521772,0.3188189123528313,0.1653896467949916,0.0721360493365726,0.09325359745841899,1
1,E02000002,0.6626543209876543,0.5836419753086419,0.07901234567901234,0.3373456790123457,0.1271604938271605,0.2101851851851852,1
2,E02000003,0.6742409776589651,0.586595379033798,0.08764559862516708,0.32575902234103493,0.12125262554897842,0.2045063967920565,1
3,E02000004,0.7280025690430315,0.6265253692999357,0.1014771997430957,0.27199743095696854,0.08831085420680797,0.18368657675016056,1
4,E02000005,0.6805841217605924,0.5948169477581242,0.08576717400246812,0.31941587823940765,0.10777457836281365,0.211641299876594,1
5,E02000007,0.6640899508081518,0.5774185992035605,0.08667135160459125,0.3359100491918482,0.12227687983134224,0.21363316936050597,1
6,E02000008,0.6611686260747499,0.5788734865765924,0.08229513949815757,0.33883137392525003,0.12072293384804351,0.21810844007720653,1
7,E02000009,0.6529823269513991,0.5657216494845361,0.08726067746686303,0.34701767304860087,0.116899852724595,0.23011782032400588,1
8,E02000010,0.6877806665090995,0.598440085086268,0.08934058142283148,0.3122193334909005,0.09784920822500591,0.21437012526589458,1
9,E02000011,0.6987096774193549,0.6019354838709677,0.0967741935483871,0.30129032258064514,0.11258064516129032,0.18870967741935485,1
10,E02000012,0.662089552238806,0.5862686567164179,0.07582089552238806,0.33791044776119405,0.12696517412935324,0.2109452736318408,1
11,E02000013,0.6657513729405892,0.5771342985521717,0.08861707438841737,0.3342486270594109,0.11707438841737394,0.21717423864203694,1
12,E02000014,0.6914650844363305,0.5992697398448197,0.09219534459151073,0.3085349155636696,0.10132359653126426,0.2072113190324053,1
13,E02000015,0.6933371298405467,0.6039293849658315,0.08940774487471526,0.3066628701594533,0.09823462414578588,0.20842824601366744,1
14,E02000016,0.6796308503625577,0.5996484289167217,0.07998242144583607,0.32036914963744234,0.11733684904416612,0.2030323005932762,1
15,E02000017,0.6493975903614457,0.5527710843373494,0.09662650602409639,0.3506024096385542,0.13397590361445783,0.2166265060240964,1
16,E02000018,0.679869641514164,0.583855602907997,0.09601403860616696,0.32013035848583604,0.1100526447731261,0.21007771371270995,1
17,E02000019,0.6731695568400771,0.5905587668593449,0.08261078998073218,0.32683044315992293,0.11223506743737957,0.21459537572254336,1
18,E02000020,0.6797187150391562,0.5862234297586703,0.09349528528048585,0.32028128496084385,0.11011666933035001,0.21016461563049385,1
19,E02000021,0.6493261455525606,0.5681940700808625,0.08113207547169811,0.35067385444743937,0.11886792452830189,0.23180592991913745,1
20,E02000022,0.6769001490312966,0.5898658718330849,0.08703427719821162,0.3230998509687034,0.11147540983606558,0.21162444113263784,1
21,E02000023,0.6658392801737512,0.593546385355259,0.07229289481849209,0.33416071982624884,0.10766366739062985,0.226497052435619,1
22,E02000024,0.6984783017095623,0.5547623520571107,0.14371594965245163,0.30152169829043773,0.11873003945143716,0.18279165883900056,1
23,E02000025,0.7128901596378365,0.5956635692161067,0.11722659042172981,0.28710984036216347,0.11460567071717893,0.17250416964498452,1
24,E02000026,0.68827678871347,0.5549210614712798,0.13335572724219014,0.3117232112865301,0.12663755458515283,0.18508565670137722,1
25,E02000027,0.6981473113420696,0.5860822413014009,0.11206507004066878,0.3018526886579304,0.11522819701762313,0.18662449164030728,1
26,E02000028,0.7031823745410036,0.5667074663402693,0.1364749082007344,0.2968176254589963,0.12056303549571604,0.1762545899632803,1
