,GEOGRAPHY_CODE,1 person in the household previously served in UK armed forces,2 people in the household previously served in UK armed forces,3 or more people in the household previously served in UK armed forces,No people in the household previously served in UK armed forces,Total: All households
0,E02000001,0.028286528286528285,0.0,0.0,0.9717134717134717,1
1,E02000002,0.028929940745904496,0.0003485535029627048,0.0,0.9707215057511328,1
2,E02000003,0.03128179043743642,0.001525940996948118,0.0,0.9671922685656155,1
3,E02000004,0.043308791684711995,0.0008661758336942399,0.0,0.9558250324815938,1
4,E02000005,0.028114663726571114,0.0011025358324145535,0.0,0.9707828004410143,1
5,E02000007,0.029923830250272034,0.0002720348204570185,0.0,0.969804134929271,1
6,E02000008,0.029850746268656716,0.0008652390222799049,0.00021630975556997622,0.9690677049534934,1
7,E02000009,0.02914903620122238,0.0014104372355430183,0.0,0.9694405265632347,1
8,E02000010,0.027660853878532773,0.0003006614552014432,0.0,0.9720384846662657,1
9,E02000011,0.0369740756481088,0.0012749681257968552,0.00042498937526561835,0.9613259668508287,1
10,E02000012,0.025539677713590756,0.002128306476132563,0.0003040437823046519,0.972027972027972,1
11,E02000013,0.027658266748617086,0.0009219422249539029,0.0,0.9714197910264291,1
12,E02000014,0.03364817001180637,0.0005903187721369539,0.0,0.9657615112160567,1
13,E02000015,0.027695351137487636,0.0013188262446422684,0.0,0.9709858226178701,1
14,E02000016,0.010498687664041995,0.0007874015748031496,0.0,0.9887139107611549,1
15,E02000017,0.019168173598553346,0.0,0.0,0.9808318264014466,1
16,E02000018,0.02844774273345702,0.0009276437847866419,0.0,0.9706246134817563,1
17,E02000019,0.028072364316905803,0.0009357454772301934,0.00031191515907673113,0.9706799750467873,1
18,E02000020,0.02182751979456452,0.0010699764605178687,0.0,0.9771025037449176,1
19,E02000021,0.027635619242579325,0.0010235414534288639,0.000341180484476288,0.9709996588195156,1
20,E02000022,0.009653199856989631,0.0010725777618877368,0.0,0.9892742223811226,1
21,E02000023,0.022155463762673678,0.0003755163349605708,0.0,0.9774690199023658,1
22,E02000024,0.03909740840035746,0.0008936550491510277,0.0,0.9600089365504915,1
23,E02000025,0.031767218366257344,0.0,0.0,0.9682327816337427,1
24,E02000026,0.04578025477707006,0.0007961783439490446,0.0,0.9534235668789809,1
25,E02000027,0.0350067842605156,0.0008141112618724559,0.0,0.9641791044776119,1
26,E02000028,0.03750464166357222,0.0007426661715558856,0.0,0.9617526921648719,1
27,E02000029,0.025357431885621798,0.0008092797410304828,0.0,0.9738332883733477,1
28,E02000030,0.03694231315714692,0.0005683432793407218,0.0,0.9624893435635123,1
29,E02000031,0.028854824165915238,0.0006011421701232341,0.0,0.9705440336639616,1
30,E02000032,0.03134110787172012,0.00036443148688046647,0.0,0.9682944606413995,1
31,E02000033,0.02575107296137339,0.0008583690987124463,0.0,0.9733905579399141,1
32,E02000034,0.027591973244147156,0.0019509476031215162,0.0002787068004459309,0.9701783723522854,1
33,E02000035,0.026077097505668934,0.0005668934240362812,0.0,0.9733560090702947,1
34,E02000036,0.02129817444219067,0.0007606490872210953,0.0,0.9779411764705882,1
35,E02000037,0.02555137170521786,0.0005379236148466917,0.0,0.9739107046799355,1
36,E02000038,0.018976279650436953,0.00024968789013732833,0.0,0.9807740324594257,1
37,E02000039,0.033657442034405384,0.00037397157816005983,0.0,0.9659685863874345,1
38,E02000040,0.027643203191792535,0.00028498147620404675,0.0,0.9720718153320034,1
39,E02000041,0.024052916416115455,0.0009019843656043296,0.0,0.9750450992182802,1
40,E02000042,0.018867924528301886,0.0006359974560101759,0.0,0.9804960780156879,1
41,E02000043,0.024006001500375095,0.0007501875468867217,0.0,0.9752438109527382,1
42,E02000044,0.0250814332247557,0.0013029315960912053,0.0,0.9736156351791531,1
43,E02000045,0.019528459156942127,0.0004763038818766373,0.0004763038818766373,0.9795189330793046,1
44,E02000046,0.021882598124348732,0.0003473428273706148,0.0,0.9777700590482806,1
45,E02000047,0.03039658038470672,0.0016623129897886488,0.0007124198527665638,0.9672286867727381,1
46,E02000048,0.024556962025316455,0.0,0.0,0.9754430379746836,1
47,E02000049,0.01551814834297738,0.0007890583903208837,0.0,0.9836927932667018,1
48,E02000050,0.025278810408921933,0.0,0.0,0.9747211895910781,1
49,E02000051,0.021618771421038754,0.0,0.0,0.9783812285789613,1
50,E02000052,0.023622047244094488,0.0004772130756382725,0.0,0.9759007396802672,1
51,E02000054,0.015824915824915825,0.0006734006734006734,0.0,0.9835016835016835,1
52,E02000055,0.020861074123391034,0.0006657789613848203,0.0,0.9784731469152241,1
53,E02000056,0.02875399361022364,0.0002904443799012489,0.0,0.9709555620098751,1
54,E02000057,0.014781966001478197,0.0,0.0,0.9852180339985218,1
55,E02000058,0.025121951219512197,0.0014634146341463415,0.0,0.9734146341463414,1
56,E02000059,0.015554553651938684,0.0002254283137962128,0.0002254283137962128,0.9839945897204689,1
57,E02000060,0.015963203463203464,0.0005411255411255411,0.0,0.983495670995671,1
58,E02000061,0.018191995521970334,0.0,0.0,0.9818080044780296,1
59,E02000062,0.018738049713193115,0.0007648183556405354,0.0,0.9804971319311664,1
60,E02000063,0.015884221673138015,0.0,0.00035298270384751147,0.9837627956230145,1
