,GEOGRAPHY_CODE,Usual residents per square kilometre
264,E02000279,4724.1
265,E02000280,554.7
266,E02000281,5087.2
267,E02000282,7877.0
268,E02000283,7486.4
269,E02000284,6814.5
270,E02000285,6742.1
271,E02000286,4235.4
272,E02000287,829.5
273,E02000288,6039.9
274,E02000289,1991.7
275,E02000290,1368.7
276,E02000291,8780.8
277,E02000292,5236.1
278,E02000293,2963.1
279,E02000294,6245.2
280,E02000295,5363.5
281,E02000296,5739.1
282,E02000297,5799.8
283,E02000298,4126.5
284,E02000299,10825.4
285,E02000300,11396.4
286,E02000301,5611.7
287,E02000302,5485.4
288,E02000303,6735.6
289,E02000304,4673.4
290,E02000305,9238.3
291,E02000306,4372.4
292,E02000307,9143.7
293,E02000308,7634.4
294,E02000309,7239.6
295,E02000311,7441.1
296,E02000312,8626.3
297,E02000313,8880.5
298,E02000314,4429.6
299,E02000315,8274.1
300,E02000317,11584.2
301,E02000318,10014.5
302,E02000319,11482.6
303,E02000320,4822.6
304,E02000321,12403.2
305,E02000323,16893.5
306,E02000324,6035.3
307,E02000326,10679.3
308,E02000327,3563.9
309,E02000328,7432.1
310,E02000329,3591.6
311,E02000331,8295.6
312,E02000332,3694.1
313,E02000333,4948.9
314,E02000334,4791.8
315,E02000335,5158.0
316,E02000337,6062.0
317,E02000339,5006.8
318,E02000340,2104.4
319,E02000341,4462.5
320,E02000342,4652.2
321,E02000343,5607.5
322,E02000344,4977.6
323,E02000345,13394.9
324,E02000346,16131.1
325,E02000347,11888.3
326,E02000348,14511.3
327,E02000350,18077.7
328,E02000351,17770.8
329,E02000352,8850.0
330,E02000353,13897.2
331,E02000354,12111.2
332,E02000355,12488.9
333,E02000356,17436.8
334,E02000357,4495.6
335,E02000358,17988.6
336,E02000359,15335.5
337,E02000360,21076.5
338,E02000361,13557.7
339,E02000362,5373.2
340,E02000363,19916.2
341,E02000364,13870.6
342,E02000366,12943.7
343,E02000367,14100.1
344,E02000368,15622.7
345,E02000369,20695.1
346,E02000370,18158.2
347,E02000372,2901.9
348,E02000373,17236.0
349,E02000374,13942.3
350,E02000375,9992.0
351,E02000376,16343.9
352,E02000377,17572.1
353,E02000378,21858.6
354,E02000379,10887.1
355,E02000380,15634.4
356,E02000381,13798.8
357,E02000382,10022.7
358,E02000383,14093.9
359,E02000384,10560.8
360,E02000385,14045.5
361,E02000386,17334.2
362,E02000387,14767.2
363,E02000388,16284.8
364,E02000389,13776.9
365,E02000390,17812.0
366,E02000391,11402.2
367,E02000392,16682.9
368,E02000393,16779.0
369,E02000394,14096.3
370,E02000395,5828.6
371,E02000396,11042.1
372,E02000397,14022.0
373,E02000398,6312.1
374,E02000400,5988.5
375,E02000401,9194.9
376,E02000402,6809.0
377,E02000403,8827.4
378,E02000404,11091.9
379,E02000405,3633.0
380,E02000406,14704.2
381,E02000407,14566.2
382,E02000408,15936.7
383,E02000409,8730.9
384,E02000410,8533.4
385,E02000411,8199.8
386,E02000412,9491.9
387,E02000413,6366.2
388,E02000414,17296.0
389,E02000415,10282.6
390,E02000416,13445.2
391,E02000417,6187.2
392,E02000418,7615.0
393,E02000419,13601.1
394,E02000420,13836.8
395,E02000421,10857.3
396,E02000422,13750.0
397,E02000423,12449.5
398,E02000424,10139.6
399,E02000425,15099.8
400,E02000426,2912.3
401,E02000427,6166.7
402,E02000428,14136.8
403,E02000429,6927.4
404,E02000430,10516.6
405,E02000431,9599.5
406,E02000432,11420.0
407,E02000433,1361.2
408,E02000434,5017.6
409,E02000435,4533.7
410,E02000436,1219.4
411,E02000437,6272.4
412,E02000438,4880.9
413,E02000439,8710.9
414,E02000440,6423.9
415,E02000441,3202.6
416,E02000442,8409.2
417,E02000443,10987.6
418,E02000444,7964.0
419,E02000445,9410.9
420,E02000447,3856.9
421,E02000448,4109.5
422,E02000449,9033.0
423,E02000451,4196.5
424,E02000452,8450.1
425,E02000453,8109.5
426,E02000454,4684.1
427,E02000455,9470.8
428,E02000456,8453.6
429,E02000457,6085.3
430,E02000459,7774.3
431,E02000460,8443.4
432,E02000461,2738.3
433,E02000462,6985.5
434,E02000463,9371.4
435,E02000464,1324.3
436,E02000465,3337.3
437,E02000466,1444.7
438,E02000467,8433.6
439,E02000468,2113.0
440,E02000469,4248.9
441,E02000470,1446.5
442,E02000471,3653.8
443,E02000472,6167.9
444,E02000473,3674.7
445,E02000474,4161.0
446,E02000475,3430.1
447,E02000476,5976.6
448,E02000477,5450.7
449,E02000478,2404.1
450,E02000479,6871.5
451,E02000480,4100.7
452,E02000481,672.5
453,E02000482,2327.9
454,E02000483,4991.9
455,E02000484,4588.8
456,E02000485,4048.3
457,E02000486,5771.8
458,E02000487,614.3
459,E02000488,4144.7
460,E02000489,3321.9
461,E02000490,4128.0
462,E02000491,2216.4
463,E02000492,486.3
464,E02000493,5226.1
465,E02000494,1279.2
466,E02000495,3819.1
467,E02000496,512.4
468,E02000497,3523.6
469,E02000498,2032.3
470,E02000499,4803.3
471,E02000500,2856.6
472,E02000501,5899.3
473,E02000502,2143.3
474,E02000503,6296.6
475,E02000504,2494.5
476,E02000506,1451.3
477,E02000507,3066.5
478,E02000508,4350.0
479,E02000509,5241.1
