,GEOGRAPHY_CODE,All household members have the same main language,Any other combination of multiple main languages,"Main language differs between generations, but not within partnerships",Main language differs within partnerships,One-person household,Total: All households
0,E02000001,0.38733971097089354,0.03215957663342153,0.016079788316710766,0.05434561367799715,0.510075310400977,4913.0
1,E02000002,0.5875174337517434,0.043933054393305436,0.07112970711297072,0.044630404463040445,0.25278940027894004,2868.0
2,E02000003,0.5536895674300254,0.07989821882951655,0.0743002544529262,0.044274809160305344,0.24783715012722646,3930.0
3,E02000004,0.6513642269380684,0.04417496751840624,0.0389779125162408,0.03204850584668688,0.23343438718059767,2309.0
4,E02000005,0.6179063360881543,0.05867768595041322,0.07603305785123966,0.05289256198347107,0.19449035812672177,3630.0
5,E02000007,0.5779591836734694,0.041360544217687076,0.05986394557823129,0.029387755102040815,0.2914285714285714,3675.0
6,E02000008,0.6098615916955017,0.05103806228373702,0.07352941176470588,0.032439446366782004,0.23313148788927335,4624.0
7,E02000009,0.5589273112208892,0.05975064690661021,0.08939073159256646,0.05410491649023759,0.23782639378969656,4251.0
8,E02000010,0.6034897713598074,0.05114320096269555,0.07581227436823104,0.033995186522262334,0.2355595667870036,3324.0
9,E02000011,0.6051848703782405,0.05907352316192095,0.06799830004249893,0.042498937526561836,0.22524436889077773,2353.0
10,E02000012,0.5114016418364244,0.12739434478564912,0.08452417148069322,0.0656734569778048,0.21100638491942839,3289.0
11,E02000013,0.5888137676705593,0.04978488014751076,0.07682851874615858,0.04179471419791026,0.2427781192378611,3254.0
12,E02000014,0.6146355857185011,0.05871938624963116,0.07229271171437002,0.030687518442018294,0.2236647978754795,3389.0
13,E02000015,0.5486317177711837,0.04747774480712166,0.06198483349818661,0.032640949554896145,0.30926475436861195,3033.0
14,E02000016,0.5003935974809761,0.06717397008659144,0.09630018367882445,0.06323799527683023,0.27289425347677776,3811.0
15,E02000017,0.4763281532345501,0.1405854716299241,0.08673653776653416,0.07155764365739067,0.224792193711601,2767.0
16,E02000018,0.5974025974025974,0.06184291898577613,0.07544836116264687,0.04329004329004329,0.2220160791589363,3234.0
17,E02000019,0.6357966947302776,0.05176177112566261,0.09042719052073589,0.03835360149672591,0.18366074212659805,3207.0
18,E02000020,0.5484699336614595,0.07789428632570083,0.09116199443612241,0.058206719452172054,0.22426706612454525,4673.0
19,E02000021,0.5791808873720137,0.06825938566552901,0.08464163822525597,0.041638225255972695,0.22627986348122867,2930.0
20,E02000022,0.51931330472103,0.045064377682403435,0.1044349070100143,0.060801144492131615,0.2703862660944206,2796.0
21,E02000023,0.5668168168168168,0.052552552552552555,0.09421921921921922,0.0518018018018018,0.2346096096096096,2664.0
22,E02000024,0.6181858802502234,0.02122430741733691,0.027033065236818588,0.04311885612153709,0.290437890974084,4476.0
23,E02000025,0.5520277481323372,0.02641408751334045,0.03228388473852722,0.03868729989327641,0.3505869797225187,3748.0
24,E02000026,0.6301751592356688,0.02945859872611465,0.04179936305732484,0.03901273885350318,0.25955414012738853,2512.0
25,E02000027,0.5934871099050204,0.034735413839891455,0.05698778833107191,0.04287652645861601,0.2719131614654003,3685.0
26,E02000028,0.5848496101002599,0.028221314519123655,0.04901596732268845,0.051986632008911994,0.28592647604901594,2693.0
27,E02000029,0.5972484488804963,0.036957108173725384,0.045049905584030214,0.05341246290801187,0.2673320744537362,3707.0
28,E02000030,0.6659084446971851,0.03667898777367074,0.041228319590560135,0.038669320443559856,0.21751492749502416,3517.0
29,E02000031,0.5927261797415089,0.03486624586714758,0.03907424105801022,0.05229936880072137,0.281033964532612,3327.0
30,E02000032,0.6505102040816326,0.05539358600583091,0.05174927113702624,0.0641399416909621,0.1782069970845481,2744.0
31,E02000033,0.5781339439038351,0.040641099026903264,0.053806525472238124,0.04779622209502003,0.27962220950200345,3494.0
32,E02000034,0.5738573021181717,0.04319955406911929,0.060479375696767,0.05128205128205128,0.27118171683389075,3588.0
33,E02000035,0.5402494331065759,0.03486394557823129,0.0496031746031746,0.059807256235827666,0.31547619047619047,3528.0
34,E02000036,0.5996450304259635,0.051470588235294115,0.07099391480730223,0.04158215010141988,0.2363083164300203,3944.0
35,E02000037,0.6594027441485069,0.03605057842345978,0.051116491794457895,0.044121603443637344,0.2093085821899381,3717.0
36,E02000038,0.5745318352059925,0.0484394506866417,0.05892634207240949,0.06367041198501873,0.25443196004993757,4005.0
37,E02000039,0.618922961854899,0.03889304412864622,0.04525056095736724,0.0456245325355273,0.2513089005235602,2674.0
38,E02000040,0.5596696097977784,0.04727997721446881,0.05753346624893193,0.052121902591854175,0.2833950441469667,3511.0
39,E02000041,0.5740072202166066,0.06799037304452467,0.08182912154031288,0.04091456077015644,0.2352587244283995,3324.0
40,E02000042,0.4900339270568278,0.06255301102629347,0.054495335029686176,0.06552162849872774,0.3273960983884648,4716.0
41,E02000043,0.6411411411411412,0.04842342342342342,0.05668168168168168,0.06006006006006006,0.19369369369369369,2664.0
42,E02000044,0.5671009771986971,0.06970684039087947,0.09120521172638436,0.0501628664495114,0.2218241042345277,3070.0
43,E02000045,0.5121370775821038,0.04902427415516421,0.06663493574488338,0.06544502617801047,0.30675868633983816,4202.0
44,E02000046,0.5283084404307051,0.06599513720041682,0.04480722473080931,0.0753733935394234,0.28551580409864535,2879.0
45,E02000047,0.5323040380047506,0.0831353919239905,0.10665083135391924,0.0501187648456057,0.22779097387173397,4210.0
46,E02000048,0.5855696202531645,0.04759493670886076,0.05544303797468354,0.04708860759493671,0.2643037974683544,3950.0
47,E02000049,0.5094687006838506,0.06102051551814834,0.1109942135718043,0.049184639663335084,0.26933193056286164,3802.0
48,E02000050,0.5453644025780863,0.057263262270699056,0.06172533465542886,0.051313832424392664,0.28433316807139314,4034.0
49,E02000051,0.5377109704641351,0.04667721518987342,0.04746835443037975,0.052478902953586495,0.31566455696202533,3792.0
50,E02000052,0.5301837270341208,0.04390360295872107,0.047959914101646385,0.06275351944643283,0.315199236459079,4191.0
51,E02000054,0.48249158249158247,0.09124579124579124,0.05454545454545454,0.059932659932659935,0.3117845117845118,2970.0
52,E02000055,0.5068766637089619,0.08052351375332742,0.06078083407275954,0.05567879325643301,0.2961401952085182,4508.0
53,E02000056,0.6263800116211505,0.04822777454968042,0.03021499128413713,0.04997094712376525,0.24520627542126672,3442.0
54,E02000057,0.5798226164079823,0.07206208425720621,0.04286770140428677,0.051736881005173686,0.2535107169253511,2706.0
55,E02000058,0.532584818159629,0.04710763973639248,0.04564315352697095,0.04979253112033195,0.32487185745667563,4097.0
56,E02000059,0.4770063119927863,0.09129846708746618,0.06988277727682597,0.06109107303877367,0.3007213706041479,4436.0
57,E02000060,0.5578120769022475,0.06011372867587327,0.036555645816409424,0.04657460059572163,0.29894394800974816,3693.0
58,E02000061,0.48390708088441087,0.0593338930870417,0.02966694654352085,0.06241253848306745,0.36467954100195915,3573.0
59,E02000062,0.4474187380497132,0.0841300191204589,0.10172084130019121,0.05621414913957935,0.31051625239005737,2615.0
60,E02000063,0.46788990825688076,0.07621736062103035,0.08433309809456599,0.06986591390261115,0.3016937191249118,2834.0
61,E02000064,0.5052517203911626,0.055776892430278883,0.08040565012676566,0.05686345526982977,0.30170228178196307,2761.0
