,GEOGRAPHY_CODE,Lives in a communal establishment,Lives in a household,Total: All usual residents
0,E02000001,0.02446696959105208,0.9755330304089479,1
1,E02000002,0.005554884675763797,0.9944451153242362,1
2,E02000003,0.001906082134811991,0.998093917865188,1
3,E02000004,0.02575301204819277,0.9742469879518072,1
4,E02000005,9.023641941887746e-05,0.9999097635805811,1
5,E02000007,0.01082464081873647,0.9891753591812635,1
6,E02000008,0.0007547169811320754,0.999245283018868,1
7,E02000009,7.774236181295187e-05,0.9999222576381871,1
8,E02000010,0.00010542962572482868,0.9998945703742752,1
9,E02000011,0.01465149359886202,0.985348506401138,1
10,E02000012,0.0006080083384000695,0.9993919916616,1
11,E02000013,0.0,1.0,1
12,E02000014,0.00476431829700963,0.9952356817029904,1
13,E02000015,0.00012153621779290228,0.9998784637822071,1
14,E02000016,0.000757002271006813,0.9992429977289932,1
15,E02000017,0.00492718712361765,0.9950728128763824,1
16,E02000018,0.000314070351758794,0.9996859296482412,1
17,E02000019,0.006105764255407224,0.9938942357445928,1
18,E02000020,0.0006403415154749199,0.9993596584845251,1
19,E02000021,0.011530996689119763,0.9884690033108803,1
20,E02000022,0.003617103733367782,0.9963828962666322,1
21,E02000023,0.010849233071455293,0.9891507669285448,1
22,E02000024,0.009593210958398673,0.9904067890416013,1
23,E02000025,0.00046609182008855747,0.9995339081799114,1
24,E02000026,0.00449055435119232,0.9955094456488077,1
25,E02000027,0.01047066141405764,0.9895293385859424,1
26,E02000028,0.002449104546150314,0.9975508954538497,1
27,E02000029,0.0,1.0,1
28,E02000030,0.010151210743364704,0.9898487892566353,1
29,E02000031,0.019685511943344135,0.9803144880566559,1
30,E02000032,0.0012596044841919638,0.9987403955158081,1
31,E02000033,0.005061297941738837,0.9949387020582612,1
32,E02000034,0.004730993508636813,0.9952690064913632,1
33,E02000035,0.037045720984759674,0.9629542790152403,1
34,E02000036,0.005158306652436855,0.9948416933475631,1
35,E02000037,9.229349330872173e-05,0.9999077065066913,1
36,E02000038,0.023602948036197405,0.9763970519638026,1
37,E02000039,0.00027901785714285713,0.9997209821428571,1
38,E02000040,0.03063792537476748,0.9693620746252325,1
39,E02000041,0.0044420941300898995,0.9955579058699101,1
40,E02000042,0.017820069204152248,0.9821799307958478,1
41,E02000043,0.009907529722589167,0.9900924702774109,1
42,E02000044,0.0,1.0,1
43,E02000045,0.003800836183960471,0.9961991638160396,1
44,E02000046,0.0,1.0,1
45,E02000047,0.0050012099701540694,0.9949987900298459,1
46,E02000048,9.724788485850433e-05,0.9999027521151415,1
47,E02000049,9.494872768704899e-05,0.999905051272313,1
48,E02000050,0.0025048169556840076,0.997495183044316,1
49,E02000051,0.005021834061135371,0.9949781659388647,1
50,E02000052,0.0,1.0,1
51,E02000054,0.004848643690210982,0.995151356309789,1
52,E02000055,0.009127356478717052,0.9908726435212829,1
53,E02000056,0.0086508979413053,0.9913491020586948,1
54,E02000057,0.005865468613503058,0.994134531386497,1
55,E02000058,0.0004889019262735895,0.9995110980737264,1
56,E02000059,0.000430070531567177,0.9995699294684328,1
57,E02000060,0.012027342736004153,0.9879726572639959,1
58,E02000061,0.014140203714799281,0.9858597962852007,1
59,E02000062,0.0030181086519114686,0.9969818913480886,1
60,E02000063,0.009757383966244726,0.9902426160337553,1
61,E02000064,0.012286484866646689,0.9877135151333533,1
62,E02000065,0.006077896303646738,0.9939221036963533,1
63,E02000066,0.0046659597030752915,0.9953340402969247,1
64,E02000067,0.0006841950933437591,0.9993158049066563,1
65,E02000068,0.0013454011741682974,0.9986545988258317,1
66,E02000069,0.003882418191902385,0.9961175818080976,1
67,E02000070,0.0,1.0,1
68,E02000071,0.0009124087591240876,0.9990875912408759,1
69,E02000072,0.00030950170225936243,0.9996904982977406,1
70,E02000073,0.0,1.0,1
71,E02000074,0.003159914230899447,0.9968400857691005,1
72,E02000075,0.0,1.0,1
73,E02000077,0.008968058968058967,0.991031941031941,1
74,E02000078,0.006680952981217698,0.9933190470187823,1
75,E02000079,0.021436716077537058,0.978563283922463,1
76,E02000080,0.0,1.0,1
77,E02000081,0.005899349867565616,0.9941006501324344,1
78,E02000082,0.0,1.0,1
79,E02000083,0.002040635258628338,0.9979593647413717,1
80,E02000084,0.0,1.0,1
81,E02000085,0.00012561236025624922,0.9998743876397438,1
82,E02000086,0.0005572582892170521,0.999442741710783,1
83,E02000087,0.0012181751735899622,0.9987818248264101,1
84,E02000088,0.0,1.0,1
85,E02000089,0.0161392807218198,0.9838607192781802,1
86,E02000090,0.03942317667807864,0.9605768233219214,1
87,E02000091,0.0069854388036206215,0.9930145611963794,1
88,E02000092,0.007404116688879017,0.992595883311121,1
89,E02000093,0.004546602677443799,0.9954533973225562,1
90,E02000094,0.006405353728489484,0.9935946462715105,1
91,E02000095,0.0,1.0,1
92,E02000096,0.006158280922431866,0.9938417190775681,1
93,E02000097,0.0,1.0,1
94,E02000098,0.014070006863417982,0.985929993136582,1
95,E02000099,0.0005230125523012552,0.9994769874476988,1
96,E02000100,0.04591898064671235,0.9540810193532877,1
97,E02000101,0.01922109288517661,0.9807789071148234,1
98,E02000102,0.001080691642651297,0.9989193083573487,1
99,E02000103,0.016745212072596008,0.983254787927404,1
100,E02000104,0.015056628914057296,0.9849433710859427,1
101,E02000105,0.004672897196261682,0.9953271028037384,1
102,E02000106,0.0011590843233845263,0.9988409156766155,1
103,E02000107,0.001371240515586434,0.9986287594844135,1
104,E02000108,0.003995040639206502,0.9960049593607935,1
105,E02000110,0.001345565749235474,0.9986544342507645,1
106,E02000111,0.011166253101736972,0.988833746898263,1
107,E02000112,0.007575112775555367,0.9924248872244447,1
108,E02000113,0.00010384215991692627,0.9998961578400831,1
109,E02000114,0.00011116051578479324,0.9998888394842153,1
110,E02000115,0.013917884481558803,0.9860821155184412,1
111,E02000116,0.004094046087261668,0.9959059539127383,1
112,E02000117,0.0038482682792743265,0.9961517317207257,1
113,E02000118,0.00017710085893916585,0.9998228991410608,1
114,E02000119,0.01788235294117647,0.9821176470588235,1
115,E02000120,0.0,1.0,1
116,E02000121,0.00016341204346760355,0.9998365879565324,1
117,E02000122,0.001589825119236884,0.9984101748807631,1
118,E02000123,0.0008837825894829872,0.999116217410517,1
119,E02000124,0.0015069318866787222,0.9984930681133213,1
120,E02000125,0.0,1.0,1
121,E02000126,0.005613178767541183,0.9943868212324588,1
122,E02000127,0.0030010718113612006,0.9969989281886388,1
123,E02000128,0.02503530620105277,0.9749646937989472,1
124,E02000130,0.0009494422027059103,0.9990505577972941,1
125,E02000131,0.0,1.0,1
126,E02000132,0.0044742729306487695,0.9955257270693513,1
127,E02000133,0.009762900976290097,0.9902370990237099,1
128,E02000134,0.006978129520891839,0.9930218704791082,1
129,E02000135,0.01580386992199372,0.9841961300780063,1
130,E02000136,0.02610966057441253,0.9738903394255874,1
131,E02000137,0.015238095238095238,0.9847619047619047,1
132,E02000138,0.0008233356857210068,0.999176664314279,1
133,E02000139,0.01011148561057817,0.9898885143894218,1
134,E02000140,0.002073971655720705,0.9979260283442793,1
135,E02000141,0.0038716814159292035,0.9961283185840708,1
136,E02000142,0.015422998412338398,0.9845770015876616,1
137,E02000144,0.003577461989466362,0.9964225380105336,1
138,E02000145,0.00045330915684496827,0.9995466908431551,1
139,E02000146,0.016800659657802516,0.9831993403421975,1
140,E02000147,0.0,1.0,1
141,E02000148,0.00029748624126134165,0.9997025137587386,1
142,E02000149,0.0,1.0,1
143,E02000150,0.011390324095819634,0.9886096759041804,1
144,E02000151,0.0,1.0,1
145,E02000152,0.0012556504269211452,0.9987443495730789,1
146,E02000153,0.0,1.0,1
147,E02000154,0.00035174111853675694,0.9996482588814632,1
148,E02000155,0.0,1.0,1
149,E02000156,0.004555808656036446,0.9954441913439636,1
150,E02000157,0.0,1.0,1
151,E02000158,0.0,1.0,1
152,E02000159,0.0,1.0,1
153,E02000160,0.009496793290577208,0.9905032067094228,1
154,E02000161,0.005745805561939784,0.9942541944380602,1
155,E02000162,0.010672658334503581,0.9893273416654964,1
156,E02000163,0.0,1.0,1
157,E02000165,0.0,1.0,1
158,E02000166,0.004648160103292447,0.9953518398967075,1
159,E02000167,0.0013892747985551543,0.9986107252014449,1
160,E02000168,0.010239344681940356,0.9897606553180597,1
161,E02000169,0.0016720078027030792,0.998327992197297,1
162,E02000170,0.00404244567963618,0.9959575543203638,1
163,E02000171,0.004463681861220073,0.99553631813878,1
164,E02000172,0.04211263379013704,0.9578873662098629,1
165,E02000173,0.0072067262778593355,0.9927932737221407,1
166,E02000174,0.0033391046252782587,0.9966608953747217,1
167,E02000175,0.01816780444835939,0.9818321955516406,1
168,E02000176,0.009976327358809604,0.9900236726411904,1
169,E02000177,0.010485391140433554,0.9895146088595664,1
170,E02000178,0.006851623048410648,0.9931483769515893,1
171,E02000179,0.005393180236604036,0.9946068197633959,1
172,E02000180,0.005838304353344333,0.9941616956466557,1
173,E02000181,0.0012382367508667657,0.9987617632491332,1
174,E02000182,0.003792134831460674,0.9962078651685393,1
175,E02000183,0.003029903833487024,0.996970096166513,1
