,GEOGRAPHY_CODE,No second address,Second address is in the UK,Second address is outside the UK,Total: All usual residents
0,E02000001,0.8088081090527788,0.10194570662938367,0.08924618431783758,1
1,E02000002,0.9723530121936497,0.01786792225039237,0.009779065555957986,1
2,E02000003,0.9565933113845088,0.021313463871079536,0.022093224744411714,1
3,E02000004,0.9751506024096386,0.017620481927710843,0.007228915662650603,1
4,E02000005,0.9680563075257174,0.017505865367262227,0.014437827107020393,1
5,E02000007,0.9704782523125369,0.018697106868726627,0.01082464081873647,1
6,E02000008,0.9758490566037736,0.015018867924528301,0.009132075471698113,1
7,E02000009,0.966728855721393,0.017801616915422886,0.01546952736318408,1
8,E02000010,0.9743806009488666,0.014549288350026357,0.01107011070110701,1
9,E02000011,0.9677144076233821,0.015929455269520693,0.01635613710709714,1
10,E02000012,0.9684649465728433,0.01746155850925202,0.014073494917904612,1
11,E02000013,0.969993615662907,0.016067248350712916,0.01393913598638008,1
12,E02000014,0.9720223010643689,0.015306639635073492,0.012671059300557527,1
13,E02000015,0.9713139662088246,0.019448158502491795,0.009237875288683603,1
14,E02000016,0.9656510219530658,0.018925056775170326,0.015423921271763815,1
15,E02000017,0.9648527318515274,0.016095477937150993,0.01905179021132158,1
16,E02000018,0.9724664991624791,0.015180067001675042,0.012353433835845896,1
17,E02000019,0.9696781537824692,0.016868467349684363,0.013453378867846425,1
18,E02000020,0.9668445393098541,0.01728922091782284,0.015866239772323015,1
19,E02000021,0.9724854435437835,0.014727708642539103,0.01278684781367736,1
20,E02000022,0.9688670714377987,0.02105671101924816,0.010076217542953106,1
21,E02000023,0.9734380845491957,0.016835016835016835,0.009726898615787506,1
22,E02000024,0.9454847338806384,0.031085693201734158,0.023429572917627525,1
23,E02000025,0.9540899557212771,0.025168958284782102,0.020741085993940808,1
24,E02000026,0.9574105621805792,0.02555366269165247,0.017035775127768313,1
25,E02000027,0.9669327251995439,0.020317197056079612,0.01275007774437649,1
26,E02000028,0.9550045913682277,0.02785430058157331,0.017141108050198958,1
27,E02000029,0.9663153544120686,0.01932217400289316,0.014362471585038231,1
28,E02000030,0.9507243311832505,0.021359839272496562,0.027915829544252934,1
29,E02000031,0.9511463209698716,0.02796783099267795,0.020885848037450486,1
30,E02000032,0.9609522609900492,0.017886383675525884,0.02116135533442499,1
31,E02000033,0.9596266306792622,0.025303643724696356,0.015069725596041385,1
32,E02000034,0.9566413557829867,0.021899416749202157,0.02145922746781116,1
33,E02000035,0.9451348182883939,0.0264947245017585,0.028370457209847596,1
34,E02000036,0.9628246175738171,0.01689790110281039,0.020277481323372464,1
35,E02000037,0.9607752653437933,0.020396862021227504,0.018827872634979235,1
36,E02000038,0.9451441365799048,0.02742793171004758,0.02742793171004758,1
37,E02000039,0.94921875,0.0234375,0.02734375,1
38,E02000040,0.9342306850514336,0.032063908951630554,0.033705405996935875,1
39,E02000041,0.9609730301427816,0.017451084082496033,0.02157588577472237,1
40,E02000042,0.9491305476252271,0.02751103036594861,0.023358422008824292,1
41,E02000043,0.9482166446499339,0.026816380449141346,0.024966974900924702,1
42,E02000044,0.966644052464948,0.016508367254635913,0.0168475802804161,1
43,E02000045,0.956282075651017,0.02604067667743775,0.017677247671545333,1
44,E02000046,0.9442688882505027,0.027291008330939386,0.028440103418557884,1
45,E02000047,0.9576510446075663,0.022182786157941437,0.020166169234492215,1
46,E02000048,0.9456384323640961,0.025381697948069628,0.028979869687834288,1
47,E02000049,0.9616407140144322,0.021173566274211925,0.01718571971135587,1
48,E02000050,0.946906918481403,0.028425515513586432,0.024667566005010598,1
49,E02000051,0.9395196506550219,0.02609170305676856,0.034388646288209604,1
50,E02000052,0.9442583003350594,0.03249060818357194,0.023251091481368665,1
51,E02000054,0.939195387236273,0.030926484078102476,0.029878128685624426,1
52,E02000055,0.9192461840197834,0.03683806600153492,0.043915749978681674,1
53,E02000056,0.9184008762322016,0.036801752464403065,0.0447973713033954,1
54,E02000057,0.9479595657057281,0.02558342693123674,0.02645700736303507,1
55,E02000058,0.9442706296441142,0.023464998044583497,0.03226437231130231,1
56,E02000059,0.952004128677103,0.02072939962153793,0.027266471701359023,1
57,E02000060,0.9584703235853954,0.019120955182557537,0.02240872123204707,1
58,E02000061,0.9102671618545585,0.04145201868934947,0.04828081945609201,1
