,GEOGRAPHY_CODE,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,Total: All households
0,E02000001,0.001628001628001628,0.3148148148148148,0.015262515262515262,0.07061457061457062,0.5976800976800977,1
1,E02000002,0.008362369337979094,0.3780487804878049,0.06759581881533101,0.21358885017421603,0.33240418118466897,1
2,E02000003,0.0005089058524173028,0.3732824427480916,0.03689567430025445,0.16972010178117047,0.41959287531806616,1
3,E02000004,0.00129926375054136,0.35902988306626243,0.04244261585101776,0.15807708964919878,0.43915114768297964,1
4,E02000005,0.003581267217630854,0.34490358126721765,0.05537190082644628,0.17079889807162535,0.42534435261707987,1
5,E02000007,0.004353741496598639,0.35918367346938773,0.07210884353741497,0.20108843537414967,0.363265306122449,1
6,E02000008,0.005622837370242215,0.37391868512110726,0.0661764705882353,0.219939446366782,0.3343425605536332,1
7,E02000009,0.0030559473436765397,0.3761165961448049,0.05923836389280677,0.190644099670898,0.3709449929478138,1
8,E02000010,0.0066125638713555755,0.3730087165614668,0.0634204989480012,0.19056206792906522,0.3663961526901112,1
9,E02000011,0.0055272108843537416,0.3877551020408163,0.03826530612244898,0.1840986394557823,0.3843537414965986,1
10,E02000012,0.0027380590203833284,0.34834195314876787,0.04076665652570733,0.1840584119257682,0.42409491937937327,1
11,E02000013,0.004609711124769515,0.3736939151813153,0.06914566687154272,0.21358328211432084,0.33896742470805163,1
12,E02000014,0.0035419126328217238,0.3724911452184179,0.07231404958677685,0.20425029515938606,0.3474025974025974,1
13,E02000015,0.004286185295087373,0.3775140125288493,0.06660072535443455,0.2083745466534784,0.34322453016815035,1
14,E02000016,0.005510364733665705,0.3802151666229336,0.05615324061926004,0.182104434531619,0.37601679349252165,1
15,E02000017,0.0028933092224231465,0.39276672694394216,0.0650994575045208,0.17106690777576852,0.3681735985533454,1
16,E02000018,0.0030921459492888066,0.3815708101422387,0.07142857142857142,0.20810142238713666,0.3358070500927644,1
17,E02000019,0.0012484394506866417,0.367665418227216,0.058364544319600496,0.19756554307116106,0.3751560549313358,1
18,E02000020,0.0014982876712328766,0.3660102739726027,0.046446917808219176,0.1695205479452055,0.4165239726027397,1
19,E02000021,0.0027313076135199728,0.39433253670194607,0.04711505633321953,0.18094912939569818,0.3748719699556162,1
20,E02000022,0.004294917680744453,0.36506800286327845,0.05476020042949177,0.16571224051539013,0.4101646385110952,1
21,E02000023,0.008640120210368144,0.36927122464312545,0.06574004507888806,0.19534184823441023,0.3610067618332081,1
22,E02000024,0.0008934554389099843,0.3256645074826893,0.017869108778199687,0.09604645968282331,0.5595264686173778,1
23,E02000025,0.005871363757672805,0.3285294902588738,0.041633306645316254,0.1435815318921804,0.4803843074459568,1
24,E02000026,0.0027888446215139444,0.2964143426294821,0.020318725099601594,0.1258964143426295,0.5545816733067729,1
25,E02000027,0.0035278154681139757,0.3191316146540027,0.04966078697421981,0.16309362279511533,0.46458616010854814,1
26,E02000028,0.0029717682020802376,0.312407132243685,0.021173848439821695,0.11478454680534918,0.5486627043090639,1
27,E02000029,0.003506878877798759,0.31993525762071756,0.04154302670623145,0.13541947666576748,0.49959536012948474,1
28,E02000030,0.0019892014776925265,0.2946859903381642,0.02557544757033248,0.10770105143506678,0.5700483091787439,1
29,E02000031,0.0012022843402464682,0.2921550946798918,0.020739404869251576,0.0967838893898407,0.5891193267207695,1
30,E02000032,0.00036443148688046647,0.33819241982507287,0.016034985422740525,0.09912536443148688,0.5462827988338192,1
31,E02000033,0.002004581901489118,0.32245131729667814,0.03350515463917526,0.14261168384879724,0.49942726231386025,1
32,E02000034,0.002508361204013378,0.32998885172798215,0.03205128205128205,0.11622073578595318,0.5192307692307693,1
33,E02000035,0.004250495891187305,0.3190705582317937,0.03230376877302352,0.11759705298951545,0.52677812411448,1
34,E02000036,0.0017748478701825558,0.345841784989858,0.037525354969574036,0.13311359026369168,0.4817444219066937,1
35,E02000037,0.0016142050040355124,0.31907452246435297,0.021791767554479417,0.1275221953188055,0.5299973096583266,1
