,GEOGRAPHY_CODE,10km to less than 20km,20km to less than 30km,2km to less than 5km,30km to less than 40km,40km to less than 60km,5km to less than 10km,60km and over,Less than 2km,Total: All usual residents aged 16 years and over in employment the week before the census,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
0,E02000001,0.015332834704562454,0.002804786836200449,0.07198952879581152,0.0013089005235602095,0.0016828721017202693,0.04506357516828721,0.005235602094240838,0.12640239341810022,1,0.056656694091249064,0.6735228122662678
1,E02000002,0.1457689932056825,0.06084002470660902,0.14638665843113033,0.020074119827053736,0.006176652254478073,0.12168004941321804,0.008029647930821495,0.04972205064854849,1,0.23193329215565164,0.20938851142680667
2,E02000003,0.16418480336006108,0.059182894234440626,0.11512027491408934,0.011645666284841543,0.0032455135547919053,0.10328369606720122,0.008400152730049638,0.05937380679648721,1,0.22050400916380297,0.25505918289423446
3,E02000004,0.14102152264696435,0.06392547381946675,0.11371667202055895,0.01060070671378092,0.0035335689045936395,0.08898168968840348,0.009637006103437198,0.10343719884355927,1,0.21426276903308705,0.2508833922261484
4,E02000005,0.1618675442204854,0.0516248457424928,0.1406828465651995,0.011106540518305225,0.004113533525298231,0.10941999177293295,0.011723570547099958,0.07363225010283833,1,0.2153434800493624,0.22048539695598518
5,E02000007,0.17021774760009364,0.06766565207211427,0.15827675017560291,0.011706860220088973,0.005853430110044486,0.09552797939592601,0.010536174198080075,0.07211425895574806,1,0.22125965815968157,0.18684148911262
6,E02000008,0.17085162423178227,0.04793678665496049,0.15750658472344162,0.010711150131694469,0.007199297629499561,0.10342405618964004,0.010184372256365233,0.07971905179982441,1,0.23652326602282703,0.17594381035996487
7,E02000009,0.18431228134781807,0.04179709077517953,0.150616829313202,0.009942920272509667,0.006996869821395691,0.12207696556803535,0.01123181734487203,0.05008285766893758,1,0.22205855275271588,0.20088381513533418
8,E02000010,0.18175372252422595,0.06239659654927913,0.14322855116993619,0.010635783502718033,0.005199716379106594,0.08934058142283148,0.009690380524698653,0.07705034270857954,1,0.2375324982273694,0.18317182699125503
9,E02000011,0.17472598323662153,0.07930367504835589,0.11121856866537717,0.014184397163120567,0.005802707930367505,0.10799484203739523,0.008381689232753063,0.0486782720825274,1,0.2491940683430045,0.2005157962604771
10,E02000012,0.16437810945273632,0.025870646766169153,0.12119402985074627,0.00955223880597015,0.006766169154228856,0.11980099502487562,0.008756218905472637,0.0654726368159204,1,0.20238805970149254,0.27582089552238803
11,E02000013,0.1799800299550674,0.04318522216674987,0.1385421867199201,0.011482775836245632,0.0074887668497254116,0.13479780329505742,0.011233150274588119,0.057663504742885674,1,0.24088866699950076,0.17473789316025962
12,E02000014,0.18621633957097217,0.06503879507074395,0.1275673208580557,0.010497489730716568,0.006161570059333638,0.10588772250114104,0.012094933820173437,0.09059790050205385,1,0.24440894568690097,0.1515289821999087
13,E02000015,0.17966970387243736,0.06890660592255125,0.1224373576309795,0.012813211845102505,0.006548974943052392,0.11133257403189066,0.009965831435079727,0.06264236902050115,1,0.2383257403189066,0.18735763097949887
14,E02000016,0.2043956043956044,0.03736263736263736,0.08285714285714285,0.005494505494505495,0.008351648351648353,0.1463736263736264,0.00967032967032967,0.06395604395604396,1,0.18571428571428572,0.2558241758241758
15,E02000017,0.18372261016132915,0.03732241752949675,0.1018540813869492,0.011798699735131231,0.007946063086925114,0.12135805441849265,0.013243438478208525,0.06814351071514568,1,0.24897664339032025,0.20563448109800145
16,E02000018,0.18361723446893788,0.03707414829659319,0.14153306613226452,0.009268537074148297,0.0077655310621242485,0.1372745490981964,0.013527054108216433,0.0531062124248497,1,0.24248496993987975,0.1743486973947896
17,E02000019,0.19132530120481928,0.047469879518072286,0.11373493975903615,0.01325301204819277,0.005542168674698795,0.12409638554216867,0.013012048192771084,0.07542168674698795,1,0.23397590361445783,0.1821686746987952
18,E02000020,0.2061032113756191,0.03099536667199233,0.09937689726793418,0.010864355328327208,0.008467806358843265,0.12142514778718645,0.008308036427544336,0.06310912286307717,1,0.213133088352772,0.23821696756670394
19,E02000021,0.17453466414890748,0.07148637712435932,0.09225789047747504,0.013487995683841382,0.006474237928243863,0.142433234421365,0.013757755597518209,0.07634205557054222,1,0.23523064472619368,0.17399514432155383
20,E02000022,0.20369267421083978,0.030077427039904705,0.09023228111971411,0.011018463371054199,0.005062537224538415,0.15217391304347827,0.011018463371054199,0.08308516974389518,1,0.18314472900536033,0.23049434187016082
21,E02000023,0.21153846153846154,0.03722084367245657,0.12375930521091812,0.011166253101736972,0.007754342431761787,0.14578163771712158,0.016129032258064516,0.06575682382133995,1,0.19509925558312655,0.1857940446650124
22,E02000024,0.14052226188239714,0.017471350742062748,0.04790531655081721,0.004696599661844825,0.005260191621266203,0.08735675371031373,0.005823783580687582,0.07364268269772685,1,0.10482810445237647,0.5124929551005072
23,E02000025,0.14455822814955943,0.015241724220052393,0.07430340557275542,0.004524886877828055,0.0038104310550130982,0.10907358894974994,0.006430102405334604,0.05596570612050488,1,0.13074541557513694,0.45534651107406526
24,E02000026,0.1354621848739496,0.016134453781512605,0.0961344537815126,0.006386554621848739,0.005714285714285714,0.10319327731092437,0.008067226890756302,0.04470588235294118,1,0.13310924369747898,0.4510924369747899
25,E02000027,0.13872571170356982,0.01762313601446001,0.08517849073655671,0.006778129236330773,0.0036150022593764122,0.1070944419340262,0.00745594215996385,0.08969724356077723,1,0.15973791233619522,0.3840939900587438
26,E02000028,0.14290085679314565,0.017135862913096694,0.08017135862913097,0.0055079559363525096,0.0036719706242350062,0.10648714810281518,0.004589963280293758,0.051407588739290085,1,0.1383108935128519,0.44981640146878826
27,E02000029,0.13911726525313717,0.014063176114236261,0.088273474686283,0.004327131112072695,0.0025962786672436176,0.10796192124621376,0.002379922111639983,0.06490696668109043,1,0.18325400259627866,0.3931198615318044
28,E02000030,0.14262857142857144,0.014857142857142857,0.07497142857142858,0.005714285714285714,0.005714285714285714,0.09188571428571428,0.006628571428571429,0.045714285714285714,1,0.12045714285714286,0.49142857142857144
29,E02000031,0.12661940845758984,0.009044243461256417,0.06648741139085798,0.0031777071620630653,0.0036665851869958446,0.09533121486189196,0.003911024199462234,0.04644341236861403,1,0.10193106819848448,0.5433879247127842
30,E02000032,0.12496704455576062,0.012127603480094912,0.1009754811494859,0.004218296862641709,0.002636435539151068,0.11626680727656209,0.005536514632217242,0.058528868969153706,1,0.13313999472712892,0.4416029528078039
31,E02000033,0.13000931966449208,0.011183597390493943,0.09669151910531221,0.003727865796831314,0.0025629077353215286,0.11346691519105312,0.005591798695246971,0.06616961789375582,1,0.17800559179869524,0.3925908667287978
32,E02000034,0.12547871142149133,0.012164902004956072,0.08920928136967786,0.004730795224149583,0.003379139445821131,0.10835773822933092,0.005631899076368551,0.06983554854697004,1,0.15724262221220997,0.42396936246902456
33,E02000035,0.134922471650081,0.012497107151122426,0.07660263827817634,0.003934274473501504,0.0034714186530895625,0.10761397824577644,0.004859986114325388,0.049294144873871786,1,0.12288822031937052,0.483915760240685
34,E02000036,0.14712599923867528,0.01865245527217358,0.07708412637990103,0.005138941758660068,0.003616292348686715,0.125428245146555,0.007803578226113437,0.06147696992767415,1,0.17757898743814238,0.37609440426341834
35,E02000037,0.13832563742220438,0.016061031921300945,0.06564946797831761,0.007227464364585425,0.006825938566552901,0.11584019273238305,0.008030515960650473,0.06022886970487854,1,0.12708291507729372,0.454727966271833
36,E02000038,0.1181297709923664,0.011068702290076336,0.07709923664122137,0.004580152671755725,0.002480916030534351,0.13396946564885495,0.004770992366412214,0.055725190839694655,1,0.1597328244274809,0.43244274809160305
37,E02000039,0.1274426508071368,0.0118946474086661,0.08071367884451996,0.0019824412347776836,0.0036816765788728408,0.10195412064570943,0.009629000283205891,0.0540923251203625,1,0.124327386009629,0.4842820730671198
38,E02000040,0.13180978762696213,0.011311172668513388,0.09187442289935364,0.006925207756232687,0.0023084025854108957,0.07756232686980609,0.006925207756232687,0.04362880886426593,1,0.1258079409048938,0.5018467220683287
39,E02000041,0.15261044176706828,0.02253458277554663,0.07295850066934405,0.004685408299866131,0.005131637661758144,0.1253904506916555,0.008478357875948238,0.08009817045961624,1,0.18719321731369923,0.34091923248549755
