,GEOGRAPHY_CODE,Has not previously served in any UK armed forces,Previously served in UK regular armed forces,Previously served in UK reserve armed forces,Previously served in both regular and reserve UK armed forces,Total: All usual residents aged 16 and over
0,E02000001,0.9820089955022488,0.009620189905047476,0.007621189405297352,0.0007496251874062968,1
1,E02000002,0.985296574770259,0.010025062656641603,0.0040100250626566416,0.0006683375104427736,1
2,E02000003,0.9851943942133815,0.009154611211573236,0.004633815551537071,0.0010171790235081375,1
3,E02000004,0.9800564440263405,0.01354656632173095,0.005644402634054563,0.0007525870178739417,1
4,E02000005,0.9862258953168044,0.009767092411720512,0.004007012271475081,0.0,1
5,E02000007,0.9841971340565153,0.011383420383018615,0.0037498325967590734,0.0006696129637069774,1
6,E02000008,0.985174654752234,0.009951259138911454,0.004163281884646629,0.000710804224207961,1
7,E02000009,0.985567671584349,0.009942270686337396,0.0037417147744280522,0.0007483429548856104,1
8,E02000010,0.9867119027424371,0.01031947978512864,0.0029686174724342664,0.0,1
9,E02000011,0.9822780136606978,0.012922281705741185,0.004061288536090087,0.0007384160974709249,1
10,E02000012,0.9888047042858759,0.006558860115345471,0.0044102680085943684,0.00022616759018432659,1
11,E02000013,0.9863623313235717,0.009618145277060005,0.0034453057708871662,0.0005742176284811944,1
12,E02000014,0.9835844994617868,0.012378902045209902,0.003767491926803014,0.00026910656620021526,1
13,E02000015,0.9847378898473789,0.008958195089581952,0.0058062375580623755,0.0004976775049767751,1
14,E02000016,0.993537325243999,0.0031653917172250064,0.0031653917172250064,0.00013189132155104195,1
15,E02000017,0.9924380338888111,0.004061055874527377,0.0032208374177286093,0.0002800728189329226,1
16,E02000018,0.986,0.008857142857142857,0.004857142857142857,0.00028571428571428574,1
17,E02000019,0.9846197664483053,0.010680717744232413,0.004272287097692965,0.0004272287097692965,1
18,E02000020,0.988895382817066,0.007403078121955971,0.003117085525034093,0.0005844535359438924,1
19,E02000021,0.9858668341708543,0.009108040201005025,0.004711055276381909,0.000314070351758794,1
20,E02000022,0.9942772752446003,0.0036920804873546245,0.0020306442680450435,0.0,1
21,E02000023,0.9891188012843382,0.0067784516589368534,0.004102747056724938,0.0,1
22,E02000024,0.9788187829205425,0.014793230976129104,0.005379356718592402,0.0010086293847360753,1
23,E02000025,0.9829683698296837,0.013453556605123802,0.0035780735651925,0.0,1
24,E02000026,0.9771855828220859,0.014570552147239263,0.0072852760736196315,0.0009585889570552147,1
25,E02000027,0.9814934644752168,0.012294551572408437,0.005564902290669083,0.0006470816617057072,1
26,E02000028,0.9802073515551367,0.013006597549481622,0.005655042412818096,0.0011310084825636192,1
27,E02000029,0.986555525678946,0.00873890830868513,0.004167787039526754,0.0005377789728421619,1
28,E02000030,0.9813398989244525,0.012569651418945185,0.005312945445121161,0.0007775042114811456,1
29,E02000031,0.9847260978117198,0.010721104420619769,0.004259068879424292,0.000293728888236158,1
30,E02000032,0.9863013698630136,0.008872976338729764,0.004514321295143213,0.00031133250311332503,1
31,E02000033,0.9864259725720683,0.008396305625524769,0.003918275958578225,0.0012594458438287153,1
32,E02000034,0.9839285714285714,0.010851648351648351,0.00467032967032967,0.0005494505494505495,1
33,E02000035,0.9864483342744212,0.007340485601355167,0.005787690570299266,0.00042348955392433656,1
34,E02000036,0.9893617021276596,0.007516188714153562,0.002890841813135985,0.00023126734505087883,1
35,E02000037,0.9878271454656117,0.00852099817407182,0.0029214850882531953,0.0007303712720632988,1
36,E02000038,0.9888914603101134,0.007868548947003009,0.003008562832677621,0.00023142791020597085,1
37,E02000039,0.983560190913912,0.010076012020505568,0.005479936362029344,0.00088386070355312,1
38,E02000040,0.9859310344827587,0.009379310344827587,0.0038620689655172414,0.0008275862068965517,1
39,E02000041,0.9883158742949234,0.008863819500402902,0.00255170561375235,0.00026860059092130003,1
40,E02000042,0.9897915780518928,0.006592939174819226,0.00276478094427903,0.0008507018290089324,1
41,E02000043,0.988287217789849,0.006959769139365133,0.004413512137158377,0.00033950093362756747,1
42,E02000044,0.9877800407331976,0.008728542333430317,0.003200465522257783,0.0002909514111143439,1
43,E02000045,0.9876871076774505,0.006277160791887977,0.005673587638821825,0.00036214389183969096,1
44,E02000046,0.9885964912280701,0.007192982456140351,0.004210526315789474,0.0,1
45,E02000047,0.9837160751565762,0.013048016701461378,0.0028183716075156576,0.0004175365344467641,1
46,E02000048,0.9880054408309633,0.00803759119574626,0.003586002225794485,0.0003709657474959812,1
47,E02000049,0.9918952618453866,0.004987531172069825,0.0028678304239401495,0.00024937655860349125,1
48,E02000050,0.9878063359234908,0.008846383741781231,0.0027495517035265988,0.0005977286312014345,1
49,E02000051,0.9890579129970644,0.008006405124099279,0.0026688017080330933,0.0002668801708033093,1
50,E02000052,0.9869559764204189,0.008654207951837451,0.0042643923240938165,0.00012542330364981815,1
51,E02000054,0.991321118611379,0.004982320797171327,0.0032144005143040825,0.00048216007714561236,1
52,E02000055,0.9892586352148273,0.006634372367312552,0.0038963774220724516,0.00021061499578770007,1
53,E02000056,0.9858353006526871,0.009443132898208582,0.004166088043327316,0.0005554784057769754,1
54,E02000057,0.9932591843613077,0.005055611729019211,0.0015166835187057635,0.00016852039096730705,1
55,E02000058,0.9861826403718126,0.008416028137168697,0.004647657329481221,0.0007536741615374953,1
56,E02000059,0.9923100904083966,0.0052998025563753505,0.002286189338044269,0.0001039176971838304,1
57,E02000060,0.9911205602801401,0.005377688844422211,0.00312656328164082,0.00037518759379689845,1
58,E02000061,0.9901263249600697,0.006534049658777407,0.0027588209670393496,0.0005808044141135473,1
59,E02000062,0.9903019213174749,0.006221408966148216,0.00292772186642269,0.0005489478499542544,1
60,E02000063,0.9921078592568234,0.0037816507727721146,0.0037816507727721146,0.0003288391976323578,1
61,E02000064,0.9919385076865391,0.0044994375703037125,0.0029996250468691415,0.0005624296962879641,1
62,E02000065,0.9841724195992592,0.009934332379188416,0.005388112476847954,0.0005051355447044957,1
63,E02000066,0.9827633756205185,0.011583011583011582,0.004826254826254826,0.000827357970215113,1
64,E02000067,0.9827978750316215,0.011383759170250442,0.0046799898811029595,0.0011383759170250443,1
65,E02000068,0.9800962016918229,0.014596118759329906,0.004644219605241333,0.0006634599436059048,1
66,E02000069,0.9728682170542635,0.019203664552501762,0.006871035940803382,0.0010570824524312897,1
67,E02000070,0.9740655987795576,0.01723874904652937,0.007475209763539283,0.0012204424103737605,1
68,E02000071,0.9710992315402606,0.01921149348479786,0.00835282325425994,0.0013364517206815904,1
69,E02000072,0.9822934232715008,0.012752951096121417,0.0042158516020236085,0.0007377740303541315,1
70,E02000073,0.9727711397058824,0.019416360294117647,0.006778492647058824,0.0010340073529411765,1
71,E02000074,0.9782830491182043,0.016032648301996792,0.004955545838799009,0.0007287567409998542,1
72,E02000075,0.9709355131698456,0.02134423251589464,0.00696336663639116,0.0007568876778686043,1
73,E02000077,0.9732115677321157,0.020700152207001523,0.00532724505327245,0.00076103500761035,1
74,E02000078,0.9699718486080701,0.020175164216452924,0.008601814200813263,0.0012511729746637473,1
75,E02000079,0.971959983091447,0.020290263491616174,0.007186134986614062,0.0005636184303226716,1
76,E02000080,0.9756399159144306,0.017559045381476443,0.005811796710770372,0.0009892419933226165,1
77,E02000081,0.9694725706513526,0.02251775729182409,0.0069517908417711955,0.0010578812150521385,1
78,E02000082,0.9722334004024145,0.019450033534540577,0.006975184439973172,0.0013413816230717639,1
79,E02000083,0.9765844872227851,0.016998761679612742,0.005516154452324665,0.0009005966452774963,1
80,E02000084,0.9727853063052974,0.021502967857542837,0.004927763467353567,0.0007839623698062493,1
81,E02000085,0.9760225669957687,0.017552107820090895,0.004544742203416392,0.0018805829807240243,1
82,E02000086,0.976080642405604,0.015889287544848796,0.007346659832564497,0.0006834102169827439,1
83,E02000087,0.9704001189944965,0.020972780008924587,0.007437156031533542,0.0011899449650453666,1
84,E02000088,0.9728954081632653,0.020089285714285716,0.006058673469387755,0.0009566326530612245,1
85,E02000089,0.9703983624626044,0.01857975122028027,0.010077153204219808,0.000944733112895607,1
86,E02000090,0.9743526510480888,0.018865598027127003,0.005795314426633786,0.0009864364981504315,1
