,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEALTH_6_NAME,OBS_VALUE
81,2021,E02002498,2021 super output areas - middle layer,152,Fair health,1149
82,2021,E02002498,2021 super output areas - middle layer,152,Bad health,544
83,2021,E02002498,2021 super output areas - middle layer,152,Very bad health,215
84,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,7682
85,2021,E02002499,2021 super output areas - middle layer,152,Very good health,3482
86,2021,E02002499,2021 super output areas - middle layer,152,Good health,2409
87,2021,E02002499,2021 super output areas - middle layer,152,Fair health,1049
88,2021,E02002499,2021 super output areas - middle layer,152,Bad health,553
89,2021,E02002499,2021 super output areas - middle layer,152,Very bad health,189
90,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,5906
91,2021,E02002500,2021 super output areas - middle layer,152,Very good health,2673
92,2021,E02002500,2021 super output areas - middle layer,152,Good health,1953
93,2021,E02002500,2021 super output areas - middle layer,152,Fair health,825
94,2021,E02002500,2021 super output areas - middle layer,152,Bad health,332
95,2021,E02002500,2021 super output areas - middle layer,152,Very bad health,123
96,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,6266
97,2021,E02002501,2021 super output areas - middle layer,152,Very good health,2897
98,2021,E02002501,2021 super output areas - middle layer,152,Good health,1939
99,2021,E02002501,2021 super output areas - middle layer,152,Fair health,956
100,2021,E02002501,2021 super output areas - middle layer,152,Bad health,357
101,2021,E02002501,2021 super output areas - middle layer,152,Very bad health,117
102,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,9792
103,2021,E02002502,2021 super output areas - middle layer,152,Very good health,3946
104,2021,E02002502,2021 super output areas - middle layer,152,Good health,3182
105,2021,E02002502,2021 super output areas - middle layer,152,Fair health,1583
106,2021,E02002502,2021 super output areas - middle layer,152,Bad health,801
107,2021,E02002502,2021 super output areas - middle layer,152,Very bad health,280
108,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,6835
109,2021,E02002503,2021 super output areas - middle layer,152,Very good health,3268
110,2021,E02002503,2021 super output areas - middle layer,152,Good health,2133
111,2021,E02002503,2021 super output areas - middle layer,152,Fair health,916
112,2021,E02002503,2021 super output areas - middle layer,152,Bad health,391
113,2021,E02002503,2021 super output areas - middle layer,152,Very bad health,127
114,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9752
115,2021,E02002504,2021 super output areas - middle layer,152,Very good health,4873
116,2021,E02002504,2021 super output areas - middle layer,152,Good health,3267
117,2021,E02002504,2021 super output areas - middle layer,152,Fair health,1149
118,2021,E02002504,2021 super output areas - middle layer,152,Bad health,368
119,2021,E02002504,2021 super output areas - middle layer,152,Very bad health,95
120,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,6390
121,2021,E02002505,2021 super output areas - middle layer,152,Very good health,2875
122,2021,E02002505,2021 super output areas - middle layer,152,Good health,1984
123,2021,E02002505,2021 super output areas - middle layer,152,Fair health,948
124,2021,E02002505,2021 super output areas - middle layer,152,Bad health,456
125,2021,E02002505,2021 super output areas - middle layer,152,Very bad health,127
126,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,5599
127,2021,E02002506,2021 super output areas - middle layer,152,Very good health,2364
128,2021,E02002506,2021 super output areas - middle layer,152,Good health,1782
129,2021,E02002506,2021 super output areas - middle layer,152,Fair health,874
130,2021,E02002506,2021 super output areas - middle layer,152,Bad health,461
131,2021,E02002506,2021 super output areas - middle layer,152,Very bad health,118
132,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,6234
133,2021,E02002507,2021 super output areas - middle layer,152,Very good health,3108
134,2021,E02002507,2021 super output areas - middle layer,152,Good health,2185
135,2021,E02002507,2021 super output areas - middle layer,152,Fair health,686
136,2021,E02002507,2021 super output areas - middle layer,152,Bad health,196
137,2021,E02002507,2021 super output areas - middle layer,152,Very bad health,59
138,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,5428
139,2021,E02002508,2021 super output areas - middle layer,152,Very good health,2635
140,2021,E02002508,2021 super output areas - middle layer,152,Good health,1857
141,2021,E02002508,2021 super output areas - middle layer,152,Fair health,644
142,2021,E02002508,2021 super output areas - middle layer,152,Bad health,222
143,2021,E02002508,2021 super output areas - middle layer,152,Very bad health,70
144,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,5143
145,2021,E02002509,2021 super output areas - middle layer,152,Very good health,2205
146,2021,E02002509,2021 super output areas - middle layer,152,Good health,1771
147,2021,E02002509,2021 super output areas - middle layer,152,Fair health,804
148,2021,E02002509,2021 super output areas - middle layer,152,Bad health,292
149,2021,E02002509,2021 super output areas - middle layer,152,Very bad health,71
150,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,7095
151,2021,E02002510,2021 super output areas - middle layer,152,Very good health,3447
152,2021,E02002510,2021 super output areas - middle layer,152,Good health,2494
153,2021,E02002510,2021 super output areas - middle layer,152,Fair health,835
154,2021,E02002510,2021 super output areas - middle layer,152,Bad health,260
155,2021,E02002510,2021 super output areas - middle layer,152,Very bad health,59
156,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,5338
157,2021,E02002512,2021 super output areas - middle layer,152,Very good health,2795
158,2021,E02002512,2021 super output areas - middle layer,152,Good health,1709
159,2021,E02002512,2021 super output areas - middle layer,152,Fair health,600
160,2021,E02002512,2021 super output areas - middle layer,152,Bad health,173
161,2021,E02002512,2021 super output areas - middle layer,152,Very bad health,61
162,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,10237
163,2021,E02002513,2021 super output areas - middle layer,152,Very good health,4547
164,2021,E02002513,2021 super output areas - middle layer,152,Good health,3309
165,2021,E02002513,2021 super output areas - middle layer,152,Fair health,1583
166,2021,E02002513,2021 super output areas - middle layer,152,Bad health,603
167,2021,E02002513,2021 super output areas - middle layer,152,Very bad health,195
168,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,8340
169,2021,E02002514,2021 super output areas - middle layer,152,Very good health,3729
170,2021,E02002514,2021 super output areas - middle layer,152,Good health,2580
171,2021,E02002514,2021 super output areas - middle layer,152,Fair health,1278
172,2021,E02002514,2021 super output areas - middle layer,152,Bad health,575
173,2021,E02002514,2021 super output areas - middle layer,152,Very bad health,178
174,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,11409
175,2021,E02006811,2021 super output areas - middle layer,152,Very good health,6120
176,2021,E02006811,2021 super output areas - middle layer,152,Good health,3618
177,2021,E02006811,2021 super output areas - middle layer,152,Fair health,1253
178,2021,E02006811,2021 super output areas - middle layer,152,Bad health,336
179,2021,E02006811,2021 super output areas - middle layer,152,Very bad health,82
180,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,6473
181,2021,E02002515,2021 super output areas - middle layer,152,Very good health,2317
182,2021,E02002515,2021 super output areas - middle layer,152,Good health,2237
183,2021,E02002515,2021 super output areas - middle layer,152,Fair health,1299
184,2021,E02002515,2021 super output areas - middle layer,152,Bad health,498
185,2021,E02002515,2021 super output areas - middle layer,152,Very bad health,122
186,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,5870
187,2021,E02002516,2021 super output areas - middle layer,152,Very good health,2497
188,2021,E02002516,2021 super output areas - middle layer,152,Good health,2036
189,2021,E02002516,2021 super output areas - middle layer,152,Fair health,904
190,2021,E02002516,2021 super output areas - middle layer,152,Bad health,331
191,2021,E02002516,2021 super output areas - middle layer,152,Very bad health,102
192,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,5315
193,2021,E02002517,2021 super output areas - middle layer,152,Very good health,2099
194,2021,E02002517,2021 super output areas - middle layer,152,Good health,1865
195,2021,E02002517,2021 super output areas - middle layer,152,Fair health,913
196,2021,E02002517,2021 super output areas - middle layer,152,Bad health,340
197,2021,E02002517,2021 super output areas - middle layer,152,Very bad health,98
198,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,10877
199,2021,E02002518,2021 super output areas - middle layer,152,Very good health,5115
200,2021,E02002518,2021 super output areas - middle layer,152,Good health,3701
201,2021,E02002518,2021 super output areas - middle layer,152,Fair health,1448
202,2021,E02002518,2021 super output areas - middle layer,152,Bad health,475
203,2021,E02002518,2021 super output areas - middle layer,152,Very bad health,138
204,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,7474
205,2021,E02002519,2021 super output areas - middle layer,152,Very good health,2907
206,2021,E02002519,2021 super output areas - middle layer,152,Good health,2422
207,2021,E02002519,2021 super output areas - middle layer,152,Fair health,1367
208,2021,E02002519,2021 super output areas - middle layer,152,Bad health,596
209,2021,E02002519,2021 super output areas - middle layer,152,Very bad health,182
210,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,13088
211,2021,E02002520,2021 super output areas - middle layer,152,Very good health,5750
212,2021,E02002520,2021 super output areas - middle layer,152,Good health,4661
213,2021,E02002520,2021 super output areas - middle layer,152,Fair health,1959
214,2021,E02002520,2021 super output areas - middle layer,152,Bad health,545
215,2021,E02002520,2021 super output areas - middle layer,152,Very bad health,173
216,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,5876
217,2021,E02002521,2021 super output areas - middle layer,152,Very good health,2354
218,2021,E02002521,2021 super output areas - middle layer,152,Good health,2050
219,2021,E02002521,2021 super output areas - middle layer,152,Fair health,1008
220,2021,E02002521,2021 super output areas - middle layer,152,Bad health,370
221,2021,E02002521,2021 super output areas - middle layer,152,Very bad health,94
222,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,6388
223,2021,E02002523,2021 super output areas - middle layer,152,Very good health,2646
224,2021,E02002523,2021 super output areas - middle layer,152,Good health,2065
225,2021,E02002523,2021 super output areas - middle layer,152,Fair health,1045
226,2021,E02002523,2021 super output areas - middle layer,152,Bad health,486
