,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
70,2021,E02006086,2021 super output areas - middle layer,152,30km to less than 40km,121
71,2021,E02006086,2021 super output areas - middle layer,152,40km to less than 60km,55
72,2021,E02006086,2021 super output areas - middle layer,152,60km and over,82
73,2021,E02006086,2021 super output areas - middle layer,152,Works mainly from home,904
74,2021,E02006086,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",424
75,2021,E02006087,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2924
76,2021,E02006087,2021 super output areas - middle layer,152,Less than 2km,815
77,2021,E02006087,2021 super output areas - middle layer,152,2km to less than 5km,464
78,2021,E02006087,2021 super output areas - middle layer,152,5km to less than 10km,233
79,2021,E02006087,2021 super output areas - middle layer,152,10km to less than 20km,214
80,2021,E02006087,2021 super output areas - middle layer,152,20km to less than 30km,147
81,2021,E02006087,2021 super output areas - middle layer,152,30km to less than 40km,65
82,2021,E02006087,2021 super output areas - middle layer,152,40km to less than 60km,42
83,2021,E02006087,2021 super output areas - middle layer,152,60km and over,57
84,2021,E02006087,2021 super output areas - middle layer,152,Works mainly from home,507
85,2021,E02006087,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",380
86,2021,E02006088,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3644
87,2021,E02006088,2021 super output areas - middle layer,152,Less than 2km,1137
88,2021,E02006088,2021 super output areas - middle layer,152,2km to less than 5km,647
89,2021,E02006088,2021 super output areas - middle layer,152,5km to less than 10km,270
90,2021,E02006088,2021 super output areas - middle layer,152,10km to less than 20km,296
91,2021,E02006088,2021 super output areas - middle layer,152,20km to less than 30km,200
92,2021,E02006088,2021 super output areas - middle layer,152,30km to less than 40km,75
93,2021,E02006088,2021 super output areas - middle layer,152,40km to less than 60km,48
94,2021,E02006088,2021 super output areas - middle layer,152,60km and over,63
95,2021,E02006088,2021 super output areas - middle layer,152,Works mainly from home,417
96,2021,E02006088,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",491
97,2021,E02006089,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3798
98,2021,E02006089,2021 super output areas - middle layer,152,Less than 2km,1200
99,2021,E02006089,2021 super output areas - middle layer,152,2km to less than 5km,508
100,2021,E02006089,2021 super output areas - middle layer,152,5km to less than 10km,351
101,2021,E02006089,2021 super output areas - middle layer,152,10km to less than 20km,349
102,2021,E02006089,2021 super output areas - middle layer,152,20km to less than 30km,221
103,2021,E02006089,2021 super output areas - middle layer,152,30km to less than 40km,81
104,2021,E02006089,2021 super output areas - middle layer,152,40km to less than 60km,50
105,2021,E02006089,2021 super output areas - middle layer,152,60km and over,47
106,2021,E02006089,2021 super output areas - middle layer,152,Works mainly from home,531
107,2021,E02006089,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",460
108,2021,E02006090,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3582
109,2021,E02006090,2021 super output areas - middle layer,152,Less than 2km,1316
110,2021,E02006090,2021 super output areas - middle layer,152,2km to less than 5km,354
111,2021,E02006090,2021 super output areas - middle layer,152,5km to less than 10km,265
112,2021,E02006090,2021 super output areas - middle layer,152,10km to less than 20km,205
113,2021,E02006090,2021 super output areas - middle layer,152,20km to less than 30km,207
114,2021,E02006090,2021 super output areas - middle layer,152,30km to less than 40km,75
115,2021,E02006090,2021 super output areas - middle layer,152,40km to less than 60km,39
116,2021,E02006090,2021 super output areas - middle layer,152,60km and over,59
