,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
0,2021,E02004403,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
1,2021,E02004403,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,1
2,2021,E02004403,2021 super output areas - middle layer,152,Staff or owner,4
3,2021,E02004403,2021 super output areas - middle layer,152,Family member or partner of staff or owner,1
4,2021,E02004403,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
5,2021,E02004404,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,25
6,2021,E02004404,2021 super output areas - middle layer,152,Resident,25
7,2021,E02004404,2021 super output areas - middle layer,152,Resident:Male,9
8,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
9,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
10,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
11,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,6
12,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,1
13,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
14,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
15,2021,E02004404,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,2
16,2021,E02004404,2021 super output areas - middle layer,152,Resident:Female,16
17,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
18,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
19,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
20,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
21,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,1
22,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
23,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
24,2021,E02004404,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,15
25,2021,E02004404,2021 super output areas - middle layer,152,Staff or owner,0
26,2021,E02004404,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
27,2021,E02004404,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
28,2021,E02004405,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,0
29,2021,E02004405,2021 super output areas - middle layer,152,Resident,0
30,2021,E02004405,2021 super output areas - middle layer,152,Resident:Male,0
31,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
32,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
33,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
34,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
35,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
36,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
37,2021,E02004405,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
