,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
76,2021,E02007053,2021 super output areas - middle layer,152,Total: All households,2902
77,2021,E02007053,2021 super output areas - middle layer,152,No central heating,54
78,2021,E02007053,2021 super output areas - middle layer,152,Mains gas only,1691
79,2021,E02007053,2021 super output areas - middle layer,152,Tank or bottled gas only,8
80,2021,E02007053,2021 super output areas - middle layer,152,Electric only,820
81,2021,E02007053,2021 super output areas - middle layer,152,Oil only,1
82,2021,E02007053,2021 super output areas - middle layer,152,Wood only,0
83,2021,E02007053,2021 super output areas - middle layer,152,Solid fuel only,0
84,2021,E02007053,2021 super output areas - middle layer,152,Renewable energy only,11
85,2021,E02007053,2021 super output areas - middle layer,152,District or communal heat networks only,102
86,2021,E02007053,2021 super output areas - middle layer,152,Other central heating only,31
87,2021,E02007053,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),168
88,2021,E02007053,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
89,2021,E02005598,2021 super output areas - middle layer,152,Total: All households,4098
90,2021,E02005598,2021 super output areas - middle layer,152,No central heating,38
91,2021,E02005598,2021 super output areas - middle layer,152,Mains gas only,2000
92,2021,E02005598,2021 super output areas - middle layer,152,Tank or bottled gas only,61
93,2021,E02005598,2021 super output areas - middle layer,152,Electric only,300
94,2021,E02005598,2021 super output areas - middle layer,152,Oil only,1168
95,2021,E02005598,2021 super output areas - middle layer,152,Wood only,14
96,2021,E02005598,2021 super output areas - middle layer,152,Solid fuel only,0
97,2021,E02005598,2021 super output areas - middle layer,152,Renewable energy only,102
98,2021,E02005598,2021 super output areas - middle layer,152,District or communal heat networks only,3
99,2021,E02005598,2021 super output areas - middle layer,152,Other central heating only,14
100,2021,E02005598,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),334
101,2021,E02005598,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),64
102,2021,E02005599,2021 super output areas - middle layer,152,Total: All households,3104
103,2021,E02005599,2021 super output areas - middle layer,152,No central heating,22
104,2021,E02005599,2021 super output areas - middle layer,152,Mains gas only,2492
105,2021,E02005599,2021 super output areas - middle layer,152,Tank or bottled gas only,13
106,2021,E02005599,2021 super output areas - middle layer,152,Electric only,123
107,2021,E02005599,2021 super output areas - middle layer,152,Oil only,121
108,2021,E02005599,2021 super output areas - middle layer,152,Wood only,5
109,2021,E02005599,2021 super output areas - middle layer,152,Solid fuel only,3
110,2021,E02005599,2021 super output areas - middle layer,152,Renewable energy only,25
111,2021,E02005599,2021 super output areas - middle layer,152,District or communal heat networks only,43
112,2021,E02005599,2021 super output areas - middle layer,152,Other central heating only,11
113,2021,E02005599,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),230
114,2021,E02005599,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
115,2021,E02005600,2021 super output areas - middle layer,152,Total: All households,2469
116,2021,E02005600,2021 super output areas - middle layer,152,No central heating,26
117,2021,E02005600,2021 super output areas - middle layer,152,Mains gas only,150
118,2021,E02005600,2021 super output areas - middle layer,152,Tank or bottled gas only,70
119,2021,E02005600,2021 super output areas - middle layer,152,Electric only,307
120,2021,E02005600,2021 super output areas - middle layer,152,Oil only,1368
121,2021,E02005600,2021 super output areas - middle layer,152,Wood only,19
122,2021,E02005600,2021 super output areas - middle layer,152,Solid fuel only,20
123,2021,E02005600,2021 super output areas - middle layer,152,Renewable energy only,152
124,2021,E02005600,2021 super output areas - middle layer,152,District or communal heat networks only,1
125,2021,E02005600,2021 super output areas - middle layer,152,Other central heating only,10
126,2021,E02005600,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),282
127,2021,E02005600,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),64
128,2021,E02005601,2021 super output areas - middle layer,152,Total: All households,2755
129,2021,E02005601,2021 super output areas - middle layer,152,No central heating,49
130,2021,E02005601,2021 super output areas - middle layer,152,Mains gas only,1977
131,2021,E02005601,2021 super output areas - middle layer,152,Tank or bottled gas only,11
132,2021,E02005601,2021 super output areas - middle layer,152,Electric only,289
133,2021,E02005601,2021 super output areas - middle layer,152,Oil only,158
134,2021,E02005601,2021 super output areas - middle layer,152,Wood only,3
135,2021,E02005601,2021 super output areas - middle layer,152,Solid fuel only,2
136,2021,E02005601,2021 super output areas - middle layer,152,Renewable energy only,13
137,2021,E02005601,2021 super output areas - middle layer,152,District or communal heat networks only,23
138,2021,E02005601,2021 super output areas - middle layer,152,Other central heating only,4
139,2021,E02005601,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),204
140,2021,E02005601,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),22
141,2021,E02005602,2021 super output areas - middle layer,152,Total: All households,5610
142,2021,E02005602,2021 super output areas - middle layer,152,No central heating,41
143,2021,E02005602,2021 super output areas - middle layer,152,Mains gas only,3414
144,2021,E02005602,2021 super output areas - middle layer,152,Tank or bottled gas only,52
145,2021,E02005602,2021 super output areas - middle layer,152,Electric only,275
146,2021,E02005602,2021 super output areas - middle layer,152,Oil only,1054
147,2021,E02005602,2021 super output areas - middle layer,152,Wood only,24
148,2021,E02005602,2021 super output areas - middle layer,152,Solid fuel only,12
149,2021,E02005602,2021 super output areas - middle layer,152,Renewable energy only,102
150,2021,E02005602,2021 super output areas - middle layer,152,District or communal heat networks only,14
151,2021,E02005602,2021 super output areas - middle layer,152,Other central heating only,24
152,2021,E02005602,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),528
153,2021,E02005602,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),70
154,2021,E02005603,2021 super output areas - middle layer,152,Total: All households,5273
155,2021,E02005603,2021 super output areas - middle layer,152,No central heating,30
156,2021,E02005603,2021 super output areas - middle layer,152,Mains gas only,3942
157,2021,E02005603,2021 super output areas - middle layer,152,Tank or bottled gas only,36
158,2021,E02005603,2021 super output areas - middle layer,152,Electric only,233
159,2021,E02005603,2021 super output areas - middle layer,152,Oil only,445
160,2021,E02005603,2021 super output areas - middle layer,152,Wood only,7
161,2021,E02005603,2021 super output areas - middle layer,152,Solid fuel only,5
162,2021,E02005603,2021 super output areas - middle layer,152,Renewable energy only,51
163,2021,E02005603,2021 super output areas - middle layer,152,District or communal heat networks only,4
164,2021,E02005603,2021 super output areas - middle layer,152,Other central heating only,16
165,2021,E02005603,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),412
166,2021,E02005603,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),92
167,2021,E02005604,2021 super output areas - middle layer,152,Total: All households,3812
168,2021,E02005604,2021 super output areas - middle layer,152,No central heating,40
169,2021,E02005604,2021 super output areas - middle layer,152,Mains gas only,1940
170,2021,E02005604,2021 super output areas - middle layer,152,Tank or bottled gas only,63
171,2021,E02005604,2021 super output areas - middle layer,152,Electric only,218
172,2021,E02005604,2021 super output areas - middle layer,152,Oil only,1000
173,2021,E02005604,2021 super output areas - middle layer,152,Wood only,22
174,2021,E02005604,2021 super output areas - middle layer,152,Solid fuel only,11
175,2021,E02005604,2021 super output areas - middle layer,152,Renewable energy only,88
176,2021,E02005604,2021 super output areas - middle layer,152,District or communal heat networks only,6
177,2021,E02005604,2021 super output areas - middle layer,152,Other central heating only,16
178,2021,E02005604,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),365
179,2021,E02005604,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),43
180,2021,E02005605,2021 super output areas - middle layer,152,Total: All households,4500
181,2021,E02005605,2021 super output areas - middle layer,152,No central heating,57
182,2021,E02005605,2021 super output areas - middle layer,152,Mains gas only,1947
183,2021,E02005605,2021 super output areas - middle layer,152,Tank or bottled gas only,64
184,2021,E02005605,2021 super output areas - middle layer,152,Electric only,416
185,2021,E02005605,2021 super output areas - middle layer,152,Oil only,1326
186,2021,E02005605,2021 super output areas - middle layer,152,Wood only,28
187,2021,E02005605,2021 super output areas - middle layer,152,Solid fuel only,11
188,2021,E02005605,2021 super output areas - middle layer,152,Renewable energy only,110
189,2021,E02005605,2021 super output areas - middle layer,152,District or communal heat networks only,2
190,2021,E02005605,2021 super output areas - middle layer,152,Other central heating only,1
191,2021,E02005605,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),467
192,2021,E02005605,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),71
193,2021,E02005606,2021 super output areas - middle layer,152,Total: All households,2496
194,2021,E02005606,2021 super output areas - middle layer,152,No central heating,54
195,2021,E02005606,2021 super output areas - middle layer,152,Mains gas only,159
196,2021,E02005606,2021 super output areas - middle layer,152,Tank or bottled gas only,78
197,2021,E02005606,2021 super output areas - middle layer,152,Electric only,292
198,2021,E02005606,2021 super output areas - middle layer,152,Oil only,1346
199,2021,E02005606,2021 super output areas - middle layer,152,Wood only,42
200,2021,E02005606,2021 super output areas - middle layer,152,Solid fuel only,26
201,2021,E02005606,2021 super output areas - middle layer,152,Renewable energy only,96
202,2021,E02005606,2021 super output areas - middle layer,152,District or communal heat networks only,0
