,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
71,2021,E02003092,2021 super output areas - middle layer,152,Other qualifications,138
72,2021,E02003093,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5687
73,2021,E02003093,2021 super output areas - middle layer,152,No qualifications,649
74,2021,E02003093,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,478
75,2021,E02003093,2021 super output areas - middle layer,152,Level 2 qualifications,762
76,2021,E02003093,2021 super output areas - middle layer,152,Apprenticeship,330
77,2021,E02003093,2021 super output areas - middle layer,152,Level 3 qualifications,940
78,2021,E02003093,2021 super output areas - middle layer,152,Level 4 qualifications or above,2397
79,2021,E02003093,2021 super output areas - middle layer,152,Other qualifications,131
80,2021,E02003094,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7277
81,2021,E02003094,2021 super output areas - middle layer,152,No qualifications,1117
82,2021,E02003094,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,702
83,2021,E02003094,2021 super output areas - middle layer,152,Level 2 qualifications,1071
84,2021,E02003094,2021 super output areas - middle layer,152,Apprenticeship,447
85,2021,E02003094,2021 super output areas - middle layer,152,Level 3 qualifications,1247
86,2021,E02003094,2021 super output areas - middle layer,152,Level 4 qualifications or above,2524
87,2021,E02003094,2021 super output areas - middle layer,152,Other qualifications,169
88,2021,E02003095,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7039
89,2021,E02003095,2021 super output areas - middle layer,152,No qualifications,879
90,2021,E02003095,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,764
91,2021,E02003095,2021 super output areas - middle layer,152,Level 2 qualifications,1116
92,2021,E02003095,2021 super output areas - middle layer,152,Apprenticeship,466
93,2021,E02003095,2021 super output areas - middle layer,152,Level 3 qualifications,1495
94,2021,E02003095,2021 super output areas - middle layer,152,Level 4 qualifications or above,2159
95,2021,E02003095,2021 super output areas - middle layer,152,Other qualifications,160
96,2021,E02003096,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5213
97,2021,E02003096,2021 super output areas - middle layer,152,No qualifications,962
98,2021,E02003096,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,689
99,2021,E02003096,2021 super output areas - middle layer,152,Level 2 qualifications,858
100,2021,E02003096,2021 super output areas - middle layer,152,Apprenticeship,359
101,2021,E02003096,2021 super output areas - middle layer,152,Level 3 qualifications,1004
102,2021,E02003096,2021 super output areas - middle layer,152,Level 4 qualifications or above,1210
103,2021,E02003096,2021 super output areas - middle layer,152,Other qualifications,131
104,2021,E02003097,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5504
105,2021,E02003097,2021 super output areas - middle layer,152,No qualifications,793
106,2021,E02003097,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,555
107,2021,E02003097,2021 super output areas - middle layer,152,Level 2 qualifications,795
108,2021,E02003097,2021 super output areas - middle layer,152,Apprenticeship,363
109,2021,E02003097,2021 super output areas - middle layer,152,Level 3 qualifications,968
110,2021,E02003097,2021 super output areas - middle layer,152,Level 4 qualifications or above,1860
111,2021,E02003097,2021 super output areas - middle layer,152,Other qualifications,170
112,2021,E02003098,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8014
113,2021,E02003098,2021 super output areas - middle layer,152,No qualifications,687
114,2021,E02003098,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,732
115,2021,E02003098,2021 super output areas - middle layer,152,Level 2 qualifications,1099
116,2021,E02003098,2021 super output areas - middle layer,152,Apprenticeship,367
117,2021,E02003098,2021 super output areas - middle layer,152,Level 3 qualifications,1444
118,2021,E02003098,2021 super output areas - middle layer,152,Level 4 qualifications or above,3492
119,2021,E02003098,2021 super output areas - middle layer,152,Other qualifications,193
120,2021,E02003099,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6197
121,2021,E02003099,2021 super output areas - middle layer,152,No qualifications,1196
122,2021,E02003099,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,764
123,2021,E02003099,2021 super output areas - middle layer,152,Level 2 qualifications,1035
124,2021,E02003099,2021 super output areas - middle layer,152,Apprenticeship,483
125,2021,E02003099,2021 super output areas - middle layer,152,Level 3 qualifications,1156
126,2021,E02003099,2021 super output areas - middle layer,152,Level 4 qualifications or above,1364
127,2021,E02003099,2021 super output areas - middle layer,152,Other qualifications,199
128,2021,E02003101,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8521
129,2021,E02003101,2021 super output areas - middle layer,152,No qualifications,800
130,2021,E02003101,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,752
131,2021,E02003101,2021 super output areas - middle layer,152,Level 2 qualifications,1181
132,2021,E02003101,2021 super output areas - middle layer,152,Apprenticeship,409
133,2021,E02003101,2021 super output areas - middle layer,152,Level 3 qualifications,1557
134,2021,E02003101,2021 super output areas - middle layer,152,Level 4 qualifications or above,3613
135,2021,E02003101,2021 super output areas - middle layer,152,Other qualifications,209
136,2021,E02003102,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5742
137,2021,E02003102,2021 super output areas - middle layer,152,No qualifications,732
138,2021,E02003102,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,519
139,2021,E02003102,2021 super output areas - middle layer,152,Level 2 qualifications,782
140,2021,E02003102,2021 super output areas - middle layer,152,Apprenticeship,378
141,2021,E02003102,2021 super output areas - middle layer,152,Level 3 qualifications,1061
142,2021,E02003102,2021 super output areas - middle layer,152,Level 4 qualifications or above,2141
143,2021,E02003102,2021 super output areas - middle layer,152,Other qualifications,129
144,2021,E02003103,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5669
145,2021,E02003103,2021 super output areas - middle layer,152,No qualifications,853
146,2021,E02003103,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,797
147,2021,E02003103,2021 super output areas - middle layer,152,Level 2 qualifications,1019
148,2021,E02003103,2021 super output areas - middle layer,152,Apprenticeship,425
149,2021,E02003103,2021 super output areas - middle layer,152,Level 3 qualifications,1243
150,2021,E02003103,2021 super output areas - middle layer,152,Level 4 qualifications or above,1191
151,2021,E02003103,2021 super output areas - middle layer,152,Other qualifications,141
