,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
57,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,1
58,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,0
59,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,0
60,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian,3
61,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,1
62,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,0
63,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,0
64,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,2
65,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Central Asian,0
66,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,0
67,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean,3
68,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American,0
69,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Canadian,0
70,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: US Citizen,0
71,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Other North American,0
72,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Central American,0
73,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: South American,3
74,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean,0
75,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Jamaican,0
76,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Other Caribbean,0
77,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian,4
78,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian,3
79,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Australian,2
80,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,1
81,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,0
82,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Other Oceanian,1
83,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Other,3
84,2021,E02002439,2021 super output areas - middle layer,152,Total: All usual residents,8670
85,2021,E02002439,2021 super output areas - middle layer,152,UK identity,8223
86,2021,E02002439,2021 super output areas - middle layer,152,UK identity: British only identity,4932
87,2021,E02002439,2021 super output areas - middle layer,152,UK identity: English only identity,1401
88,2021,E02002439,2021 super output areas - middle layer,152,UK identity: English and British only identity,1727
89,2021,E02002439,2021 super output areas - middle layer,152,UK identity:  Welsh only identity,10
90,2021,E02002439,2021 super output areas - middle layer,152,UK identity: Welsh and British only identity,6
91,2021,E02002439,2021 super output areas - middle layer,152,UK identity: Scottish only identity,33
92,2021,E02002439,2021 super output areas - middle layer,152,UK identity:  Scottish and British only identity,10
93,2021,E02002439,2021 super output areas - middle layer,152,UK identity: Northern Irish only identity,7
94,2021,E02002439,2021 super output areas - middle layer,152,UK identity: Northern Irish and British only identity,7
95,2021,E02002439,2021 super output areas - middle layer,152,UK identity: Cornish only identity,0
