,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_ETHPUK11_NAME,OBS_VALUE
73,2001,E02001384,2001 super output areas - middle layer,305,Black/Black British,303
74,2001,E02001384,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,79
75,2001,E02001384,2001 super output areas - middle layer,305,Black/Black British: Black African,152
76,2001,E02001384,2001 super output areas - middle layer,305,Black/Black British: Other,72
77,2001,E02001384,2001 super output areas - middle layer,305,Chinese/Other,219
78,2001,E02001384,2001 super output areas - middle layer,305,Chinese/Other: Chinese,136
79,2001,E02001384,2001 super output areas - middle layer,305,Chinese/Other: Other,83
80,2001,E02001385,2001 super output areas - middle layer,305,All categories: Ethnic group,6156
81,2001,E02001385,2001 super output areas - middle layer,305,White,3674
82,2001,E02001385,2001 super output areas - middle layer,305,White: British,3402
83,2001,E02001385,2001 super output areas - middle layer,305,White: Irish,88
84,2001,E02001385,2001 super output areas - middle layer,305,White: Other,184
85,2001,E02001385,2001 super output areas - middle layer,305,Mixed,696
86,2001,E02001385,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,206
87,2001,E02001385,2001 super output areas - middle layer,305,Mixed: White and Black African,270
88,2001,E02001385,2001 super output areas - middle layer,305,Mixed: White and Asian,56
89,2001,E02001385,2001 super output areas - middle layer,305,Mixed: Other,164
90,2001,E02001385,2001 super output areas - middle layer,305,Asian/Asian British,319
91,2001,E02001385,2001 super output areas - middle layer,305,Asian/Asian British: Indian,40
92,2001,E02001385,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,42
93,2001,E02001385,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,40
94,2001,E02001385,2001 super output areas - middle layer,305,Asian/Asian British: Other,197
95,2001,E02001385,2001 super output areas - middle layer,305,Black/Black British,1039
96,2001,E02001385,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,151
97,2001,E02001385,2001 super output areas - middle layer,305,Black/Black British: Black African,701
98,2001,E02001385,2001 super output areas - middle layer,305,Black/Black British: Other,187
99,2001,E02001385,2001 super output areas - middle layer,305,Chinese/Other,428
100,2001,E02001385,2001 super output areas - middle layer,305,Chinese/Other: Chinese,224
101,2001,E02001385,2001 super output areas - middle layer,305,Chinese/Other: Other,204
102,2001,E02001386,2001 super output areas - middle layer,305,All categories: Ethnic group,8372
103,2001,E02001386,2001 super output areas - middle layer,305,White,8076
104,2001,E02001386,2001 super output areas - middle layer,305,White: British,7916
105,2001,E02001386,2001 super output areas - middle layer,305,White: Irish,98
106,2001,E02001386,2001 super output areas - middle layer,305,White: Other,62
107,2001,E02001386,2001 super output areas - middle layer,305,Mixed,139
108,2001,E02001386,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,41
109,2001,E02001386,2001 super output areas - middle layer,305,Mixed: White and Black African,51
110,2001,E02001386,2001 super output areas - middle layer,305,Mixed: White and Asian,23
111,2001,E02001386,2001 super output areas - middle layer,305,Mixed: Other,24
112,2001,E02001386,2001 super output areas - middle layer,305,Asian/Asian British,33
113,2001,E02001386,2001 super output areas - middle layer,305,Asian/Asian British: Indian,27
114,2001,E02001386,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,3
115,2001,E02001386,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
116,2001,E02001386,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
117,2001,E02001386,2001 super output areas - middle layer,305,Black/Black British,45
118,2001,E02001386,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,14
119,2001,E02001386,2001 super output areas - middle layer,305,Black/Black British: Black African,19
120,2001,E02001386,2001 super output areas - middle layer,305,Black/Black British: Other,12
121,2001,E02001386,2001 super output areas - middle layer,305,Chinese/Other,79
122,2001,E02001386,2001 super output areas - middle layer,305,Chinese/Other: Chinese,70
123,2001,E02001386,2001 super output areas - middle layer,305,Chinese/Other: Other,9
124,2001,E02001387,2001 super output areas - middle layer,305,All categories: Ethnic group,7774
125,2001,E02001387,2001 super output areas - middle layer,305,White,7421
126,2001,E02001387,2001 super output areas - middle layer,305,White: British,7137
127,2001,E02001387,2001 super output areas - middle layer,305,White: Irish,149
128,2001,E02001387,2001 super output areas - middle layer,305,White: Other,135
129,2001,E02001387,2001 super output areas - middle layer,305,Mixed,140
130,2001,E02001387,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,24
131,2001,E02001387,2001 super output areas - middle layer,305,Mixed: White and Black African,30
132,2001,E02001387,2001 super output areas - middle layer,305,Mixed: White and Asian,43
133,2001,E02001387,2001 super output areas - middle layer,305,Mixed: Other,43
134,2001,E02001387,2001 super output areas - middle layer,305,Asian/Asian British,99
135,2001,E02001387,2001 super output areas - middle layer,305,Asian/Asian British: Indian,29
136,2001,E02001387,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,42
137,2001,E02001387,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,13
138,2001,E02001387,2001 super output areas - middle layer,305,Asian/Asian British: Other,15
139,2001,E02001387,2001 super output areas - middle layer,305,Black/Black British,53
140,2001,E02001387,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,17
141,2001,E02001387,2001 super output areas - middle layer,305,Black/Black British: Black African,25
142,2001,E02001387,2001 super output areas - middle layer,305,Black/Black British: Other,11
143,2001,E02001387,2001 super output areas - middle layer,305,Chinese/Other,61
144,2001,E02001387,2001 super output areas - middle layer,305,Chinese/Other: Chinese,55
145,2001,E02001387,2001 super output areas - middle layer,305,Chinese/Other: Other,6
146,2001,E02001388,2001 super output areas - middle layer,305,All categories: Ethnic group,7654
147,2001,E02001388,2001 super output areas - middle layer,305,White,6956
148,2001,E02001388,2001 super output areas - middle layer,305,White: British,6567
149,2001,E02001388,2001 super output areas - middle layer,305,White: Irish,217
150,2001,E02001388,2001 super output areas - middle layer,305,White: Other,172
151,2001,E02001388,2001 super output areas - middle layer,305,Mixed,236
152,2001,E02001388,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,43
153,2001,E02001388,2001 super output areas - middle layer,305,Mixed: White and Black African,78
154,2001,E02001388,2001 super output areas - middle layer,305,Mixed: White and Asian,49
155,2001,E02001388,2001 super output areas - middle layer,305,Mixed: Other,66
156,2001,E02001388,2001 super output areas - middle layer,305,Asian/Asian British,162
