,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
58,2001,E02003501,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",26
59,2001,E02003501,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
60,2001,E02003502,2001 super output areas - middle layer,305,All household spaces - with residents,3147
61,2001,E02003502,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,44
62,2001,E02003502,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,4
63,2001,E02003502,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,189
64,2001,E02003502,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1152
65,2001,E02003502,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1132
66,2001,E02003502,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",546
67,2001,E02003502,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",152
68,2001,E02003502,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",24
69,2001,E02003502,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
70,2001,E02003503,2001 super output areas - middle layer,305,All household spaces - with residents,3351
71,2001,E02003503,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,91
72,2001,E02003503,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,8
73,2001,E02003503,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,478
74,2001,E02003503,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1887
75,2001,E02003503,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,632
76,2001,E02003503,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",364
77,2001,E02003503,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",54
78,2001,E02003503,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",32
79,2001,E02003503,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
80,2001,E02003504,2001 super output areas - middle layer,305,All household spaces - with residents,3561
81,2001,E02003504,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,125
82,2001,E02003504,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,32
83,2001,E02003504,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,70
84,2001,E02003504,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,392
85,2001,E02003504,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,858
86,2001,E02003504,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",680
87,2001,E02003504,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1621
88,2001,E02003504,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",95
89,2001,E02003504,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
90,2001,E02003505,2001 super output areas - middle layer,305,All household spaces - with residents,3582
91,2001,E02003505,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,133
92,2001,E02003505,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,12
93,2001,E02003505,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,32
94,2001,E02003505,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,128
95,2001,E02003505,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1470
96,2001,E02003505,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",662
97,2001,E02003505,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1371
98,2001,E02003505,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",64
99,2001,E02003505,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
100,2001,E02003506,2001 super output areas - middle layer,305,All household spaces - with residents,2762
101,2001,E02003506,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,73
102,2001,E02003506,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,4
103,2001,E02003506,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,65
104,2001,E02003506,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,420
105,2001,E02003506,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1517
106,2001,E02003506,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",212
107,2001,E02003506,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",524
108,2001,E02003506,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",99
109,2001,E02003506,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
110,2001,E02003507,2001 super output areas - middle layer,305,All household spaces - with residents,3822
111,2001,E02003507,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,61
112,2001,E02003507,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,5
113,2001,E02003507,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1558
114,2001,E02003507,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1094
115,2001,E02003507,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,940
116,2001,E02003507,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",227
117,2001,E02003507,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",28
