,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_INDGPUK11_NAME,OBS_VALUE
0,2001,E02001586,2001 super output areas - middle layer,305,H Hotels and restaurants,180
1,2001,E02001586,2001 super output areas - middle layer,305,I Transport storage and communications,258
2,2001,E02001586,2001 super output areas - middle layer,305,J Financial Intermediation,85
3,2001,E02001586,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",274
4,2001,E02001586,2001 super output areas - middle layer,305,"L Public administration and defence, social security",114
5,2001,E02001586,2001 super output areas - middle layer,305,M Education,158
6,2001,E02001586,2001 super output areas - middle layer,305,N Health and social work,432
7,2001,E02001586,2001 super output areas - middle layer,305,"O,P,Q Other",131
8,2001,E02001587,2001 super output areas - middle layer,305,All categories: Industry,2291
9,2001,E02001587,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",24
10,2001,E02001587,2001 super output areas - middle layer,305,B Fishing,0
11,2001,E02001587,2001 super output areas - middle layer,305,C Mining and quarrying,15
12,2001,E02001587,2001 super output areas - middle layer,305,D Manufacturing,491
13,2001,E02001587,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",20
14,2001,E02001587,2001 super output areas - middle layer,305,F Constructiion,203
15,2001,E02001587,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",427
16,2001,E02001587,2001 super output areas - middle layer,305,H Hotels and restaurants,104
17,2001,E02001587,2001 super output areas - middle layer,305,I Transport storage and communications,151
18,2001,E02001587,2001 super output areas - middle layer,305,J Financial Intermediation,67
19,2001,E02001587,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",188
20,2001,E02001587,2001 super output areas - middle layer,305,"L Public administration and defence, social security",84
21,2001,E02001587,2001 super output areas - middle layer,305,M Education,151
22,2001,E02001587,2001 super output areas - middle layer,305,N Health and social work,277
23,2001,E02001587,2001 super output areas - middle layer,305,"O,P,Q Other",89
24,2001,E02001588,2001 super output areas - middle layer,305,All categories: Industry,2526
25,2001,E02001588,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",19
26,2001,E02001588,2001 super output areas - middle layer,305,B Fishing,0
27,2001,E02001588,2001 super output areas - middle layer,305,C Mining and quarrying,6
28,2001,E02001588,2001 super output areas - middle layer,305,D Manufacturing,532
29,2001,E02001588,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",12
30,2001,E02001588,2001 super output areas - middle layer,305,F Constructiion,185
31,2001,E02001588,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",562
32,2001,E02001588,2001 super output areas - middle layer,305,H Hotels and restaurants,144
33,2001,E02001588,2001 super output areas - middle layer,305,I Transport storage and communications,186
34,2001,E02001588,2001 super output areas - middle layer,305,J Financial Intermediation,58
35,2001,E02001588,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",210
36,2001,E02001588,2001 super output areas - middle layer,305,"L Public administration and defence, social security",106
37,2001,E02001588,2001 super output areas - middle layer,305,M Education,156
38,2001,E02001588,2001 super output areas - middle layer,305,N Health and social work,268
39,2001,E02001588,2001 super output areas - middle layer,305,"O,P,Q Other",82
40,2001,E02001589,2001 super output areas - middle layer,305,All categories: Industry,2789
41,2001,E02001589,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",34
42,2001,E02001589,2001 super output areas - middle layer,305,B Fishing,0
