,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_OCCPUK11_2_NAME,OBS_VALUE
70,2001,E02005899,2001 super output areas - middle layer,305,All categories: Occupation,2473
71,2001,E02005899,2001 super output areas - middle layer,305,1. Managers and senior officials,319
72,2001,E02005899,2001 super output areas - middle layer,305,2. Professional occupations,213
73,2001,E02005899,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,249
74,2001,E02005899,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,80
75,2001,E02005899,2001 super output areas - middle layer,305,5. Skilled trades occupations,606
76,2001,E02005899,2001 super output areas - middle layer,305,6. Personal service occupations,45
77,2001,E02005899,2001 super output areas - middle layer,305,7. Sales and customer service occupations,83
78,2001,E02005899,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",507
79,2001,E02005899,2001 super output areas - middle layer,305,9. Elementary occupations,371
80,2001,E02005900,2001 super output areas - middle layer,305,All categories: Occupation,1647
81,2001,E02005900,2001 super output areas - middle layer,305,1. Managers and senior officials,426
82,2001,E02005900,2001 super output areas - middle layer,305,2. Professional occupations,305
83,2001,E02005900,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,236
84,2001,E02005900,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,71
85,2001,E02005900,2001 super output areas - middle layer,305,5. Skilled trades occupations,271
86,2001,E02005900,2001 super output areas - middle layer,305,6. Personal service occupations,25
87,2001,E02005900,2001 super output areas - middle layer,305,7. Sales and customer service occupations,57
88,2001,E02005900,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",139
89,2001,E02005900,2001 super output areas - middle layer,305,9. Elementary occupations,117
90,2001,E02005901,2001 super output areas - middle layer,305,All categories: Occupation,1954
91,2001,E02005901,2001 super output areas - middle layer,305,1. Managers and senior officials,313
92,2001,E02005901,2001 super output areas - middle layer,305,2. Professional occupations,213
93,2001,E02005901,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,258
94,2001,E02005901,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,65
95,2001,E02005901,2001 super output areas - middle layer,305,5. Skilled trades occupations,437
96,2001,E02005901,2001 super output areas - middle layer,305,6. Personal service occupations,30
97,2001,E02005901,2001 super output areas - middle layer,305,7. Sales and customer service occupations,65
98,2001,E02005901,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",311
99,2001,E02005901,2001 super output areas - middle layer,305,9. Elementary occupations,262
100,2001,E02005902,2001 super output areas - middle layer,305,All categories: Occupation,1700
101,2001,E02005902,2001 super output areas - middle layer,305,1. Managers and senior officials,203
102,2001,E02005902,2001 super output areas - middle layer,305,2. Professional occupations,124
103,2001,E02005902,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,146
104,2001,E02005902,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,61
105,2001,E02005902,2001 super output areas - middle layer,305,5. Skilled trades occupations,406
106,2001,E02005902,2001 super output areas - middle layer,305,6. Personal service occupations,34
107,2001,E02005902,2001 super output areas - middle layer,305,7. Sales and customer service occupations,69
108,2001,E02005902,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",361
109,2001,E02005902,2001 super output areas - middle layer,305,9. Elementary occupations,296
110,2001,E02005903,2001 super output areas - middle layer,305,All categories: Occupation,2686
111,2001,E02005903,2001 super output areas - middle layer,305,1. Managers and senior officials,404
112,2001,E02005903,2001 super output areas - middle layer,305,2. Professional occupations,201
113,2001,E02005903,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,267
114,2001,E02005903,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,102
115,2001,E02005903,2001 super output areas - middle layer,305,5. Skilled trades occupations,711
116,2001,E02005903,2001 super output areas - middle layer,305,6. Personal service occupations,59
117,2001,E02005903,2001 super output areas - middle layer,305,7. Sales and customer service occupations,107
118,2001,E02005903,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",476
119,2001,E02005903,2001 super output areas - middle layer,305,9. Elementary occupations,359
120,2001,E02005904,2001 super output areas - middle layer,305,All categories: Occupation,1577
121,2001,E02005904,2001 super output areas - middle layer,305,1. Managers and senior officials,408
122,2001,E02005904,2001 super output areas - middle layer,305,2. Professional occupations,238
123,2001,E02005904,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,184
124,2001,E02005904,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,58
125,2001,E02005904,2001 super output areas - middle layer,305,5. Skilled trades occupations,339
126,2001,E02005904,2001 super output areas - middle layer,305,6. Personal service occupations,21
127,2001,E02005904,2001 super output areas - middle layer,305,7. Sales and customer service occupations,36
128,2001,E02005904,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",151
129,2001,E02005904,2001 super output areas - middle layer,305,9. Elementary occupations,142
130,2001,E02005905,2001 super output areas - middle layer,305,All categories: Occupation,1640
