,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
68,2001,W02000218,2001 super output areas - middle layer,305,Other combination of skills,376
69,2001,W02000218,2001 super output areas - middle layer,305,No knowledge of Welsh,5439
70,2001,W02000219,2001 super output areas - middle layer,305,All people aged 3 and over,7276
71,2001,W02000219,2001 super output areas - middle layer,305,Understands spoken Welsh only,347
72,2001,W02000219,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,115
73,2001,W02000219,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,98
74,2001,W02000219,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",760
75,2001,W02000219,2001 super output areas - middle layer,305,Other combination of skills,479
76,2001,W02000219,2001 super output areas - middle layer,305,No knowledge of Welsh,5477
77,2001,W02000220,2001 super output areas - middle layer,305,All people aged 3 and over,7516
78,2001,W02000220,2001 super output areas - middle layer,305,Understands spoken Welsh only,267
79,2001,W02000220,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,117
80,2001,W02000220,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,71
81,2001,W02000220,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",472
82,2001,W02000220,2001 super output areas - middle layer,305,Other combination of skills,398
83,2001,W02000220,2001 super output areas - middle layer,305,No knowledge of Welsh,6191
84,2001,W02000221,2001 super output areas - middle layer,305,All people aged 3 and over,7287
85,2001,W02000221,2001 super output areas - middle layer,305,Understands spoken Welsh only,280
86,2001,W02000221,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,134
87,2001,W02000221,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,44
88,2001,W02000221,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",570
89,2001,W02000221,2001 super output areas - middle layer,305,Other combination of skills,371
90,2001,W02000221,2001 super output areas - middle layer,305,No knowledge of Welsh,5888
91,2001,W02000222,2001 super output areas - middle layer,305,All people aged 3 and over,5955
92,2001,W02000222,2001 super output areas - middle layer,305,Understands spoken Welsh only,334
93,2001,W02000222,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,93
94,2001,W02000222,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,55
95,2001,W02000222,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",589
