,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_INDGPUK11_NAME,OBS_VALUE
0,2001,E02000326,2001 super output areas - middle layer,305,H Hotels and restaurants,103
1,2001,E02000326,2001 super output areas - middle layer,305,I Transport storage and communications,174
2,2001,E02000326,2001 super output areas - middle layer,305,J Financial Intermediation,245
3,2001,E02000326,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",604
4,2001,E02000326,2001 super output areas - middle layer,305,"L Public administration and defence, social security",190
5,2001,E02000326,2001 super output areas - middle layer,305,M Education,339
6,2001,E02000326,2001 super output areas - middle layer,305,N Health and social work,310
7,2001,E02000326,2001 super output areas - middle layer,305,"O,P,Q Other",312
8,2001,E02000327,2001 super output areas - middle layer,305,All categories: Industry,2199
9,2001,E02000327,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",4
10,2001,E02000327,2001 super output areas - middle layer,305,B Fishing,0
11,2001,E02000327,2001 super output areas - middle layer,305,C Mining and quarrying,0
12,2001,E02000327,2001 super output areas - middle layer,305,D Manufacturing,123
13,2001,E02000327,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",3
14,2001,E02000327,2001 super output areas - middle layer,305,F Constructiion,109
15,2001,E02000327,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",259
16,2001,E02000327,2001 super output areas - middle layer,305,H Hotels and restaurants,101
17,2001,E02000327,2001 super output areas - middle layer,305,I Transport storage and communications,155
18,2001,E02000327,2001 super output areas - middle layer,305,J Financial Intermediation,87
19,2001,E02000327,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",286
20,2001,E02000327,2001 super output areas - middle layer,305,"L Public administration and defence, social security",537
21,2001,E02000327,2001 super output areas - middle layer,305,M Education,133
22,2001,E02000327,2001 super output areas - middle layer,305,N Health and social work,286
23,2001,E02000327,2001 super output areas - middle layer,305,"O,P,Q Other",116
24,2001,E02000328,2001 super output areas - middle layer,305,All categories: Industry,2946
25,2001,E02000328,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",3
26,2001,E02000328,2001 super output areas - middle layer,305,B Fishing,0
27,2001,E02000328,2001 super output areas - middle layer,305,C Mining and quarrying,3
28,2001,E02000328,2001 super output areas - middle layer,305,D Manufacturing,183
29,2001,E02000328,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",8
30,2001,E02000328,2001 super output areas - middle layer,305,F Constructiion,99
31,2001,E02000328,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",266
32,2001,E02000328,2001 super output areas - middle layer,305,H Hotels and restaurants,71
33,2001,E02000328,2001 super output areas - middle layer,305,I Transport storage and communications,154
34,2001,E02000328,2001 super output areas - middle layer,305,J Financial Intermediation,367
35,2001,E02000328,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",696
36,2001,E02000328,2001 super output areas - middle layer,305,"L Public administration and defence, social security",156
37,2001,E02000328,2001 super output areas - middle layer,305,M Education,320
38,2001,E02000328,2001 super output areas - middle layer,305,N Health and social work,326
39,2001,E02000328,2001 super output areas - middle layer,305,"O,P,Q Other",294
40,2001,E02000329,2001 super output areas - middle layer,305,All categories: Industry,2725
41,2001,E02000329,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",8
42,2001,E02000329,2001 super output areas - middle layer,305,B Fishing,0
43,2001,E02000329,2001 super output areas - middle layer,305,C Mining and quarrying,0
44,2001,E02000329,2001 super output areas - middle layer,305,D Manufacturing,187
45,2001,E02000329,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",12
46,2001,E02000329,2001 super output areas - middle layer,305,F Constructiion,259
47,2001,E02000329,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",432
48,2001,E02000329,2001 super output areas - middle layer,305,H Hotels and restaurants,98
49,2001,E02000329,2001 super output areas - middle layer,305,I Transport storage and communications,224
50,2001,E02000329,2001 super output areas - middle layer,305,J Financial Intermediation,145
51,2001,E02000329,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",384
52,2001,E02000329,2001 super output areas - middle layer,305,"L Public administration and defence, social security",217
53,2001,E02000329,2001 super output areas - middle layer,305,M Education,253
54,2001,E02000329,2001 super output areas - middle layer,305,N Health and social work,314
55,2001,E02000329,2001 super output areas - middle layer,305,"O,P,Q Other",192
56,2001,E02000330,2001 super output areas - middle layer,305,All categories: Industry,5453
57,2001,E02000330,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",13
58,2001,E02000330,2001 super output areas - middle layer,305,B Fishing,0
59,2001,E02000330,2001 super output areas - middle layer,305,C Mining and quarrying,13
60,2001,E02000330,2001 super output areas - middle layer,305,D Manufacturing,379
61,2001,E02000330,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",20
62,2001,E02000330,2001 super output areas - middle layer,305,F Constructiion,186
63,2001,E02000330,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",530
64,2001,E02000330,2001 super output areas - middle layer,305,H Hotels and restaurants,240
65,2001,E02000330,2001 super output areas - middle layer,305,I Transport storage and communications,333
66,2001,E02000330,2001 super output areas - middle layer,305,J Financial Intermediation,670
67,2001,E02000330,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",1261
68,2001,E02000330,2001 super output areas - middle layer,305,"L Public administration and defence, social security",276
69,2001,E02000330,2001 super output areas - middle layer,305,M Education,476
70,2001,E02000330,2001 super output areas - middle layer,305,N Health and social work,535
71,2001,E02000330,2001 super output areas - middle layer,305,"O,P,Q Other",521
72,2001,E02000331,2001 super output areas - middle layer,305,All categories: Industry,2545
73,2001,E02000331,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",10
74,2001,E02000331,2001 super output areas - middle layer,305,B Fishing,0
75,2001,E02000331,2001 super output areas - middle layer,305,C Mining and quarrying,6
76,2001,E02000331,2001 super output areas - middle layer,305,D Manufacturing,180
77,2001,E02000331,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",7
78,2001,E02000331,2001 super output areas - middle layer,305,F Constructiion,201
79,2001,E02000331,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",363
80,2001,E02000331,2001 super output areas - middle layer,305,H Hotels and restaurants,113
81,2001,E02000331,2001 super output areas - middle layer,305,I Transport storage and communications,218
82,2001,E02000331,2001 super output areas - middle layer,305,J Financial Intermediation,163
83,2001,E02000331,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",423
84,2001,E02000331,2001 super output areas - middle layer,305,"L Public administration and defence, social security",126
85,2001,E02000331,2001 super output areas - middle layer,305,M Education,181
86,2001,E02000331,2001 super output areas - middle layer,305,N Health and social work,328
87,2001,E02000331,2001 super output areas - middle layer,305,"O,P,Q Other",226
88,2001,E02000332,2001 super output areas - middle layer,305,All categories: Industry,3231
89,2001,E02000332,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",8
90,2001,E02000332,2001 super output areas - middle layer,305,B Fishing,0
91,2001,E02000332,2001 super output areas - middle layer,305,C Mining and quarrying,3
92,2001,E02000332,2001 super output areas - middle layer,305,D Manufacturing,228
93,2001,E02000332,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",13
94,2001,E02000332,2001 super output areas - middle layer,305,F Constructiion,250
95,2001,E02000332,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",410
96,2001,E02000332,2001 super output areas - middle layer,305,H Hotels and restaurants,101
97,2001,E02000332,2001 super output areas - middle layer,305,I Transport storage and communications,231
98,2001,E02000332,2001 super output areas - middle layer,305,J Financial Intermediation,203
99,2001,E02000332,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",502
100,2001,E02000332,2001 super output areas - middle layer,305,"L Public administration and defence, social security",248
101,2001,E02000332,2001 super output areas - middle layer,305,M Education,395
102,2001,E02000332,2001 super output areas - middle layer,305,N Health and social work,367
103,2001,E02000332,2001 super output areas - middle layer,305,"O,P,Q Other",272
104,2001,E02000333,2001 super output areas - middle layer,305,All categories: Industry,3189
105,2001,E02000333,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",4
106,2001,E02000333,2001 super output areas - middle layer,305,B Fishing,0
107,2001,E02000333,2001 super output areas - middle layer,305,C Mining and quarrying,3
108,2001,E02000333,2001 super output areas - middle layer,305,D Manufacturing,209
109,2001,E02000333,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",7
110,2001,E02000333,2001 super output areas - middle layer,305,F Constructiion,91
111,2001,E02000333,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",232
112,2001,E02000333,2001 super output areas - middle layer,305,H Hotels and restaurants,65
113,2001,E02000333,2001 super output areas - middle layer,305,I Transport storage and communications,161
114,2001,E02000333,2001 super output areas - middle layer,305,J Financial Intermediation,442
115,2001,E02000333,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",782
116,2001,E02000333,2001 super output areas - middle layer,305,"L Public administration and defence, social security",203
117,2001,E02000333,2001 super output areas - middle layer,305,M Education,341
118,2001,E02000333,2001 super output areas - middle layer,305,N Health and social work,373
119,2001,E02000333,2001 super output areas - middle layer,305,"O,P,Q Other",276
120,2001,E02000334,2001 super output areas - middle layer,305,All categories: Industry,2567
121,2001,E02000334,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",11
122,2001,E02000334,2001 super output areas - middle layer,305,B Fishing,0
123,2001,E02000334,2001 super output areas - middle layer,305,C Mining and quarrying,3
124,2001,E02000334,2001 super output areas - middle layer,305,D Manufacturing,156
125,2001,E02000334,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",20
126,2001,E02000334,2001 super output areas - middle layer,305,F Constructiion,180
127,2001,E02000334,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",344
128,2001,E02000334,2001 super output areas - middle layer,305,H Hotels and restaurants,119
129,2001,E02000334,2001 super output areas - middle layer,305,I Transport storage and communications,218
130,2001,E02000334,2001 super output areas - middle layer,305,J Financial Intermediation,226
131,2001,E02000334,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",422
132,2001,E02000334,2001 super output areas - middle layer,305,"L Public administration and defence, social security",152
133,2001,E02000334,2001 super output areas - middle layer,305,M Education,195
134,2001,E02000334,2001 super output areas - middle layer,305,N Health and social work,333
135,2001,E02000334,2001 super output areas - middle layer,305,"O,P,Q Other",188
136,2001,E02000335,2001 super output areas - middle layer,305,All categories: Industry,3018
137,2001,E02000335,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",14
138,2001,E02000335,2001 super output areas - middle layer,305,B Fishing,0
139,2001,E02000335,2001 super output areas - middle layer,305,C Mining and quarrying,3
140,2001,E02000335,2001 super output areas - middle layer,305,D Manufacturing,196
141,2001,E02000335,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",11
142,2001,E02000335,2001 super output areas - middle layer,305,F Constructiion,292
143,2001,E02000335,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",418
144,2001,E02000335,2001 super output areas - middle layer,305,H Hotels and restaurants,95
145,2001,E02000335,2001 super output areas - middle layer,305,I Transport storage and communications,236
146,2001,E02000335,2001 super output areas - middle layer,305,J Financial Intermediation,291
147,2001,E02000335,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",478
148,2001,E02000335,2001 super output areas - middle layer,305,"L Public administration and defence, social security",220
149,2001,E02000335,2001 super output areas - middle layer,305,M Education,299
150,2001,E02000335,2001 super output areas - middle layer,305,N Health and social work,292
151,2001,E02000335,2001 super output areas - middle layer,305,"O,P,Q Other",173
152,2001,E02000336,2001 super output areas - middle layer,305,All categories: Industry,1989
153,2001,E02000336,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",5
154,2001,E02000336,2001 super output areas - middle layer,305,B Fishing,0
155,2001,E02000336,2001 super output areas - middle layer,305,C Mining and quarrying,3
156,2001,E02000336,2001 super output areas - middle layer,305,D Manufacturing,170
157,2001,E02000336,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",9
158,2001,E02000336,2001 super output areas - middle layer,305,F Constructiion,166
159,2001,E02000336,2001 super output areas - middle layer,305,"G Wholesale and retail trade, repair of motor vehicles",385
160,2001,E02000336,2001 super output areas - middle layer,305,H Hotels and restaurants,121
161,2001,E02000336,2001 super output areas - middle layer,305,I Transport storage and communications,182
162,2001,E02000336,2001 super output areas - middle layer,305,J Financial Intermediation,83
163,2001,E02000336,2001 super output areas - middle layer,305,"K Real estate,renting and business activities",268
164,2001,E02000336,2001 super output areas - middle layer,305,"L Public administration and defence, social security",116
165,2001,E02000336,2001 super output areas - middle layer,305,M Education,118
166,2001,E02000336,2001 super output areas - middle layer,305,N Health and social work,236
167,2001,E02000336,2001 super output areas - middle layer,305,"O,P,Q Other",127
168,2001,E02000337,2001 super output areas - middle layer,305,All categories: Industry,3125
169,2001,E02000337,2001 super output areas - middle layer,305,"A Agriculture, hunting, forestry",23
170,2001,E02000337,2001 super output areas - middle layer,305,B Fishing,0
171,2001,E02000337,2001 super output areas - middle layer,305,C Mining and quarrying,5
172,2001,E02000337,2001 super output areas - middle layer,305,D Manufacturing,238
173,2001,E02000337,2001 super output areas - middle layer,305,"E Electricity, gas and water supply",12
