,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHCHUK11_NAME,OBS_VALUE
62,2001,E02002564,2001 super output areas - middle layer,305,Average number of rooms per household,5.05
63,2001,E02002564,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,183.0
64,2001,E02002564,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3859.0
65,2001,E02002564,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
66,2001,E02002564,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,105.0
67,2001,E02002564,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
68,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,5.0
69,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3690.0
70,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,272.0
71,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,3.0
72,2001,E02002565,2001 super output areas - middle layer,305,All households,2597.0
73,2001,E02002565,2001 super output areas - middle layer,305,Average household size,2.12
74,2001,E02002565,2001 super output areas - middle layer,305,Average number of rooms per household,5.14
75,2001,E02002565,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,72.0
76,2001,E02002565,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2265.0
77,2001,E02002565,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
78,2001,E02002565,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,327.0
79,2001,E02002565,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
80,2001,E02002565,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,15.0
81,2001,E02002565,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2505.0
82,2001,E02002565,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,76.0
83,2001,E02002565,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,3.0
84,2001,E02002566,2001 super output areas - middle layer,305,All households,2984.0
85,2001,E02002566,2001 super output areas - middle layer,305,Average household size,2.03
86,2001,E02002566,2001 super output areas - middle layer,305,Average number of rooms per household,4.77
87,2001,E02002566,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,280.0
88,2001,E02002566,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2440.0
89,2001,E02002566,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,33.0
90,2001,E02002566,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,489.0
91,2001,E02002566,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,22.0
92,2001,E02002566,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,128.0
93,2001,E02002566,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2409.0
94,2001,E02002566,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,447.0
95,2001,E02002566,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
96,2001,E02002567,2001 super output areas - middle layer,305,All households,2850.0
97,2001,E02002567,2001 super output areas - middle layer,305,Average household size,2.33
98,2001,E02002567,2001 super output areas - middle layer,305,Average number of rooms per household,4.96
99,2001,E02002567,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,140.0
100,2001,E02002567,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2634.0
101,2001,E02002567,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
102,2001,E02002567,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,212.0
103,2001,E02002567,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
104,2001,E02002567,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,8.0
105,2001,E02002567,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2686.0
106,2001,E02002567,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,156.0
107,2001,E02002567,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
108,2001,E02002568,2001 super output areas - middle layer,305,All households,2322.0
109,2001,E02002568,2001 super output areas - middle layer,305,Average household size,2.23
110,2001,E02002568,2001 super output areas - middle layer,305,Average number of rooms per household,6.19
111,2001,E02002568,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,114.0
112,2001,E02002568,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2230.0
113,2001,E02002568,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
114,2001,E02002568,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,85.0
115,2001,E02002568,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
116,2001,E02002568,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,123.0
117,2001,E02002568,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),1933.0
118,2001,E02002568,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,264.0
119,2001,E02002568,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,3.0
120,2001,E02002569,2001 super output areas - middle layer,305,All households,3866.0
121,2001,E02002569,2001 super output areas - middle layer,305,Average household size,2.32
122,2001,E02002569,2001 super output areas - middle layer,305,Average number of rooms per household,6.19
123,2001,E02002569,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,35.0
124,2001,E02002569,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3776.0
125,2001,E02002569,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
126,2001,E02002569,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,67.0
127,2001,E02002569,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,23.0
128,2001,E02002569,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,8.0
129,2001,E02002569,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3707.0
130,2001,E02002569,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,151.0
131,2001,E02002569,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
132,2001,E02002570,2001 super output areas - middle layer,305,All households,3280.0
133,2001,E02002570,2001 super output areas - middle layer,305,Average household size,2.15
134,2001,E02002570,2001 super output areas - middle layer,305,Average number of rooms per household,4.76
135,2001,E02002570,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,202.0
136,2001,E02002570,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2832.0
137,2001,E02002570,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,4.0
138,2001,E02002570,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,436.0
139,2001,E02002570,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,8.0
140,2001,E02002570,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,6.0
141,2001,E02002570,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2972.0
142,2001,E02002570,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,302.0
143,2001,E02002570,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
144,2001,E02002571,2001 super output areas - middle layer,305,All households,2220.0
145,2001,E02002571,2001 super output areas - middle layer,305,Average household size,2.29
146,2001,E02002571,2001 super output areas - middle layer,305,Average number of rooms per household,4.83
147,2001,E02002571,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,151.0
148,2001,E02002571,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2084.0
149,2001,E02002571,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
150,2001,E02002571,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,135.0
151,2001,E02002571,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,0.0
152,2001,E02002571,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,3.0
153,2001,E02002571,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2105.0
154,2001,E02002571,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,113.0
155,2001,E02002571,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
156,2001,E02002572,2001 super output areas - middle layer,305,All households,2620.0
157,2001,E02002572,2001 super output areas - middle layer,305,Average household size,2.3
158,2001,E02002572,2001 super output areas - middle layer,305,Average number of rooms per household,5.13
159,2001,E02002572,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,170.0
160,2001,E02002572,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2301.0
161,2001,E02002572,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,6.0
162,2001,E02002572,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,312.0
163,2001,E02002572,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
164,2001,E02002572,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,59.0
165,2001,E02002572,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2336.0
166,2001,E02002572,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,225.0
167,2001,E02002572,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
168,2001,E02002573,2001 super output areas - middle layer,305,All households,2864.0
169,2001,E02002573,2001 super output areas - middle layer,305,Average household size,2.41
170,2001,E02002573,2001 super output areas - middle layer,305,Average number of rooms per household,6.06
171,2001,E02002573,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,67.0
172,2001,E02002573,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2767.0
173,2001,E02002573,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
174,2001,E02002573,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,92.0
175,2001,E02002573,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
176,2001,E02002573,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,53.0
177,2001,E02002573,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2734.0
178,2001,E02002573,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,77.0
179,2001,E02002573,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
180,2001,E02002483,2001 super output areas - middle layer,305,All households,2966.0
181,2001,E02002483,2001 super output areas - middle layer,305,Average household size,2.47
182,2001,E02002483,2001 super output areas - middle layer,305,Average number of rooms per household,5.37
183,2001,E02002483,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,109.0
184,2001,E02002483,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2863.0
185,2001,E02002483,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
186,2001,E02002483,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,102.0
187,2001,E02002483,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,0.0
188,2001,E02002483,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,11.0
189,2001,E02002483,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2837.0
190,2001,E02002483,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,118.0
191,2001,E02002483,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
192,2001,E02002484,2001 super output areas - middle layer,305,All households,4251.0
193,2001,E02002484,2001 super output areas - middle layer,305,Average household size,2.23
194,2001,E02002484,2001 super output areas - middle layer,305,Average number of rooms per household,4.87
195,2001,E02002484,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,283.0
196,2001,E02002484,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,4041.0
197,2001,E02002484,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
198,2001,E02002484,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,203.0
199,2001,E02002484,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,7.0
200,2001,E02002484,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,74.0
201,2001,E02002484,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3789.0
202,2001,E02002484,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,388.0
203,2001,E02002484,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
204,2001,E02002485,2001 super output areas - middle layer,305,All households,3709.0
205,2001,E02002485,2001 super output areas - middle layer,305,Average household size,2.4
206,2001,E02002485,2001 super output areas - middle layer,305,Average number of rooms per household,5.03
207,2001,E02002485,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,221.0
208,2001,E02002485,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3535.0
209,2001,E02002485,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
210,2001,E02002485,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,162.0
211,2001,E02002485,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,12.0
212,2001,E02002485,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,16.0
213,2001,E02002485,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3467.0
214,2001,E02002485,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,219.0
215,2001,E02002485,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,7.0
216,2001,E02002486,2001 super output areas - middle layer,305,All households,2239.0
217,2001,E02002486,2001 super output areas - middle layer,305,Average household size,2.55
218,2001,E02002486,2001 super output areas - middle layer,305,Average number of rooms per household,6.52
219,2001,E02002486,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,27.0
220,2001,E02002486,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2212.0
221,2001,E02002486,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
222,2001,E02002486,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,24.0
223,2001,E02002486,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
224,2001,E02002486,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,6.0
225,2001,E02002486,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2214.0
