,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_SEX_NAME,OBS_VALUE
103,2021,E01011995,2021 super output areas - lower layer,151,Female,0
104,2021,E01011995,2021 super output areas - lower layer,151,Male,0
105,2021,E01011996,2021 super output areas - lower layer,151,All persons,0
106,2021,E01011996,2021 super output areas - lower layer,151,Female,0
107,2021,E01011996,2021 super output areas - lower layer,151,Male,0
108,2021,E01011997,2021 super output areas - lower layer,151,All persons,0
109,2021,E01011997,2021 super output areas - lower layer,151,Female,0
110,2021,E01011997,2021 super output areas - lower layer,151,Male,0
111,2021,E01011998,2021 super output areas - lower layer,151,All persons,0
112,2021,E01011998,2021 super output areas - lower layer,151,Female,0
113,2021,E01011998,2021 super output areas - lower layer,151,Male,0
114,2021,E01011961,2021 super output areas - lower layer,151,All persons,0
115,2021,E01011961,2021 super output areas - lower layer,151,Female,0
116,2021,E01011961,2021 super output areas - lower layer,151,Male,0
117,2021,E01011962,2021 super output areas - lower layer,151,All persons,0
118,2021,E01011962,2021 super output areas - lower layer,151,Female,0
119,2021,E01011962,2021 super output areas - lower layer,151,Male,0
120,2021,E01011977,2021 super output areas - lower layer,151,All persons,0
121,2021,E01011977,2021 super output areas - lower layer,151,Female,0
122,2021,E01011977,2021 super output areas - lower layer,151,Male,0
123,2021,E01011978,2021 super output areas - lower layer,151,All persons,3
124,2021,E01011978,2021 super output areas - lower layer,151,Female,1
125,2021,E01011978,2021 super output areas - lower layer,151,Male,2
126,2021,E01011979,2021 super output areas - lower layer,151,All persons,0
127,2021,E01011979,2021 super output areas - lower layer,151,Female,0
128,2021,E01011979,2021 super output areas - lower layer,151,Male,0
129,2021,E01011959,2021 super output areas - lower layer,151,All persons,0
130,2021,E01011959,2021 super output areas - lower layer,151,Female,0
131,2021,E01011959,2021 super output areas - lower layer,151,Male,0
132,2021,E01011960,2021 super output areas - lower layer,151,All persons,0
133,2021,E01011960,2021 super output areas - lower layer,151,Female,0
134,2021,E01011960,2021 super output areas - lower layer,151,Male,0
135,2021,E01011963,2021 super output areas - lower layer,151,All persons,0
136,2021,E01011963,2021 super output areas - lower layer,151,Female,0
137,2021,E01011963,2021 super output areas - lower layer,151,Male,0
138,2021,E01011968,2021 super output areas - lower layer,151,All persons,0
139,2021,E01011968,2021 super output areas - lower layer,151,Female,0
140,2021,E01011968,2021 super output areas - lower layer,151,Male,0
141,2021,E01011982,2021 super output areas - lower layer,151,All persons,1
142,2021,E01011982,2021 super output areas - lower layer,151,Female,1
143,2021,E01011982,2021 super output areas - lower layer,151,Male,0
144,2021,E01012003,2021 super output areas - lower layer,151,All persons,0
145,2021,E01012003,2021 super output areas - lower layer,151,Female,0
146,2021,E01012003,2021 super output areas - lower layer,151,Male,0
147,2021,E01012005,2021 super output areas - lower layer,151,All persons,0
148,2021,E01012005,2021 super output areas - lower layer,151,Female,0
149,2021,E01012005,2021 super output areas - lower layer,151,Male,0
150,2021,E01011965,2021 super output areas - lower layer,151,All persons,0
151,2021,E01011965,2021 super output areas - lower layer,151,Female,0
152,2021,E01011965,2021 super output areas - lower layer,151,Male,0
153,2021,E01011966,2021 super output areas - lower layer,151,All persons,0
154,2021,E01011966,2021 super output areas - lower layer,151,Female,0
155,2021,E01011966,2021 super output areas - lower layer,151,Male,0
156,2021,E01011974,2021 super output areas - lower layer,151,All persons,2
157,2021,E01011974,2021 super output areas - lower layer,151,Female,0
158,2021,E01011974,2021 super output areas - lower layer,151,Male,2
159,2021,E01011975,2021 super output areas - lower layer,151,All persons,2
160,2021,E01011975,2021 super output areas - lower layer,151,Female,1
161,2021,E01011975,2021 super output areas - lower layer,151,Male,1
162,2021,E01011983,2021 super output areas - lower layer,151,All persons,0
163,2021,E01011983,2021 super output areas - lower layer,151,Female,0
164,2021,E01011983,2021 super output areas - lower layer,151,Male,0
165,2021,E01012002,2021 super output areas - lower layer,151,All persons,3
166,2021,E01012002,2021 super output areas - lower layer,151,Female,0
167,2021,E01012002,2021 super output areas - lower layer,151,Male,3
168,2021,E01035188,2021 super output areas - lower layer,151,All persons,7
169,2021,E01035188,2021 super output areas - lower layer,151,Female,3
170,2021,E01035188,2021 super output areas - lower layer,151,Male,4
171,2021,E01012068,2021 super output areas - lower layer,151,All persons,65
172,2021,E01012068,2021 super output areas - lower layer,151,Female,32
173,2021,E01012068,2021 super output areas - lower layer,151,Male,33
174,2021,E01012092,2021 super output areas - lower layer,151,All persons,23
175,2021,E01012092,2021 super output areas - lower layer,151,Female,8
