,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E01000317,2021 super output areas - lower layer,151,Total: All usual residents,1583
1,2021,E01000317,2021 super output areas - lower layer,151,British only identity,914
2,2021,E01000317,2021 super output areas - lower layer,151,English only identity,77
3,2021,E01000317,2021 super output areas - lower layer,151,English and British only identity,108
4,2021,E01000317,2021 super output areas - lower layer,151,Welsh only identity,4
5,2021,E01000317,2021 super output areas - lower layer,151,Welsh and British only identity,2
6,2021,E01000317,2021 super output areas - lower layer,151,Any other combination of only UK identities,13
7,2021,E01000317,2021 super output areas - lower layer,151,Scottish only identity,8
8,2021,E01000317,2021 super output areas - lower layer,151,Scottish and British only identity,2
9,2021,E01000317,2021 super output areas - lower layer,151,Northern Irish only identity,1
10,2021,E01000317,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
11,2021,E01000317,2021 super output areas - lower layer,151,Cornish only identity,0
12,2021,E01000317,2021 super output areas - lower layer,151,Cornish and British only identity,0
13,2021,E01000317,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
14,2021,E01000317,2021 super output areas - lower layer,151,Irish only identity,23
15,2021,E01000317,2021 super output areas - lower layer,151,Irish and at least one UK identity,6
16,2021,E01000317,2021 super output areas - lower layer,151,Other identity only,323
17,2021,E01000317,2021 super output areas - lower layer,151,Other identity and at least one UK identity,113
18,2021,E01000317,2021 super output areas - lower layer,151,Non-UK identity only,346
19,2021,E01000317,2021 super output areas - lower layer,151,UK identity and non-UK identity,119
20,2021,E01000318,2021 super output areas - lower layer,151,Total: All usual residents,1925
21,2021,E01000318,2021 super output areas - lower layer,151,British only identity,1317
22,2021,E01000318,2021 super output areas - lower layer,151,English only identity,101
23,2021,E01000318,2021 super output areas - lower layer,151,English and British only identity,100
24,2021,E01000318,2021 super output areas - lower layer,151,Welsh only identity,0
25,2021,E01000318,2021 super output areas - lower layer,151,Welsh and British only identity,2
26,2021,E01000318,2021 super output areas - lower layer,151,Any other combination of only UK identities,4
27,2021,E01000318,2021 super output areas - lower layer,151,Scottish only identity,2
28,2021,E01000318,2021 super output areas - lower layer,151,Scottish and British only identity,0
29,2021,E01000318,2021 super output areas - lower layer,151,Northern Irish only identity,1
