,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
68,2021,W01000019,2021 super output areas - lower layer,151,Can speak Welsh,523
69,2021,W01000026,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
70,2021,W01000026,2021 super output areas - lower layer,151,Cannot speak Welsh,661
71,2021,W01000026,2021 super output areas - lower layer,151,Can speak Welsh,568
72,2021,W01000035,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1743
73,2021,W01000035,2021 super output areas - lower layer,151,Cannot speak Welsh,796
74,2021,W01000035,2021 super output areas - lower layer,151,Can speak Welsh,947
75,2021,W01000006,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1494
76,2021,W01000006,2021 super output areas - lower layer,151,Cannot speak Welsh,417
77,2021,W01000006,2021 super output areas - lower layer,151,Can speak Welsh,1077
78,2021,W01000012,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1656
79,2021,W01000012,2021 super output areas - lower layer,151,Cannot speak Welsh,454
80,2021,W01000012,2021 super output areas - lower layer,151,Can speak Welsh,1202
81,2021,W01000014,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2128
82,2021,W01000014,2021 super output areas - lower layer,151,Cannot speak Welsh,455
83,2021,W01000014,2021 super output areas - lower layer,151,Can speak Welsh,1673
84,2021,W01000041,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1529
85,2021,W01000041,2021 super output areas - lower layer,151,Cannot speak Welsh,385
86,2021,W01000041,2021 super output areas - lower layer,151,Can speak Welsh,1144
87,2021,W01000009,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1818
88,2021,W01000009,2021 super output areas - lower layer,151,Cannot speak Welsh,571
89,2021,W01000009,2021 super output areas - lower layer,151,Can speak Welsh,1247
90,2021,W01000023,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1525
91,2021,W01000023,2021 super output areas - lower layer,151,Cannot speak Welsh,528
92,2021,W01000023,2021 super output areas - lower layer,151,Can speak Welsh,997
93,2021,W01000024,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1293
94,2021,W01000024,2021 super output areas - lower layer,151,Cannot speak Welsh,812
95,2021,W01000024,2021 super output areas - lower layer,151,Can speak Welsh,481
96,2021,W01002008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2046
97,2021,W01002008,2021 super output areas - lower layer,151,Cannot speak Welsh,1001
98,2021,W01002008,2021 super output areas - lower layer,151,Can speak Welsh,1045
99,2021,W01000008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1417
100,2021,W01000008,2021 super output areas - lower layer,151,Cannot speak Welsh,385
101,2021,W01000008,2021 super output areas - lower layer,151,Can speak Welsh,1032
102,2021,W01000011,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,999
103,2021,W01000011,2021 super output areas - lower layer,151,Cannot speak Welsh,542
104,2021,W01000011,2021 super output areas - lower layer,151,Can speak Welsh,457
105,2021,W01000015,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1431
106,2021,W01000015,2021 super output areas - lower layer,151,Cannot speak Welsh,456
107,2021,W01000015,2021 super output areas - lower layer,151,Can speak Welsh,975
108,2021,W01000042,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1982
109,2021,W01000042,2021 super output areas - lower layer,151,Cannot speak Welsh,828
110,2021,W01000042,2021 super output areas - lower layer,151,Can speak Welsh,1154
111,2021,W01000007,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1738
112,2021,W01000007,2021 super output areas - lower layer,151,Cannot speak Welsh,624
113,2021,W01000007,2021 super output areas - lower layer,151,Can speak Welsh,1114
114,2021,W01000025,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2097
115,2021,W01000025,2021 super output areas - lower layer,151,Cannot speak Welsh,520
116,2021,W01000025,2021 super output areas - lower layer,151,Can speak Welsh,1577
117,2021,W01000027,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1812
118,2021,W01000027,2021 super output areas - lower layer,151,Cannot speak Welsh,656
119,2021,W01000027,2021 super output areas - lower layer,151,Can speak Welsh,1156
120,2021,W01000038,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2179
121,2021,W01000038,2021 super output areas - lower layer,151,Cannot speak Welsh,846
122,2021,W01000038,2021 super output areas - lower layer,151,Can speak Welsh,1333
123,2021,W01000062,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1964
124,2021,W01000062,2021 super output areas - lower layer,151,Cannot speak Welsh,1579
125,2021,W01000062,2021 super output areas - lower layer,151,Can speak Welsh,385
126,2021,W01000076,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1273
127,2021,W01000076,2021 super output areas - lower layer,151,Cannot speak Welsh,853
128,2021,W01000076,2021 super output areas - lower layer,151,Can speak Welsh,420
129,2021,W01000077,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1146
130,2021,W01000077,2021 super output areas - lower layer,151,Cannot speak Welsh,743
131,2021,W01000077,2021 super output areas - lower layer,151,Can speak Welsh,403
132,2021,W01000091,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1048
133,2021,W01000091,2021 super output areas - lower layer,151,Cannot speak Welsh,542
134,2021,W01000091,2021 super output areas - lower layer,151,Can speak Welsh,506
135,2021,W01000092,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,3034
136,2021,W01000092,2021 super output areas - lower layer,151,Cannot speak Welsh,2353
137,2021,W01000092,2021 super output areas - lower layer,151,Can speak Welsh,681
138,2021,W01000064,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1943
139,2021,W01000064,2021 super output areas - lower layer,151,Cannot speak Welsh,937
140,2021,W01000064,2021 super output areas - lower layer,151,Can speak Welsh,1006
141,2021,W01000072,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1632
142,2021,W01000072,2021 super output areas - lower layer,151,Cannot speak Welsh,767
143,2021,W01000072,2021 super output areas - lower layer,151,Can speak Welsh,865
144,2021,W01000075,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1367
145,2021,W01000075,2021 super output areas - lower layer,151,Cannot speak Welsh,843
146,2021,W01000075,2021 super output areas - lower layer,151,Can speak Welsh,524
147,2021,W01000090,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1315
148,2021,W01000090,2021 super output areas - lower layer,151,Cannot speak Welsh,638
149,2021,W01000090,2021 super output areas - lower layer,151,Can speak Welsh,677
150,2021,W01000102,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1832
151,2021,W01000102,2021 super output areas - lower layer,151,Cannot speak Welsh,690
152,2021,W01000102,2021 super output areas - lower layer,151,Can speak Welsh,1142
153,2021,W01000050,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1400
154,2021,W01000050,2021 super output areas - lower layer,151,Cannot speak Welsh,591
155,2021,W01000050,2021 super output areas - lower layer,151,Can speak Welsh,809
156,2021,W01000071,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2174
157,2021,W01000071,2021 super output areas - lower layer,151,Cannot speak Welsh,583
158,2021,W01000071,2021 super output areas - lower layer,151,Can speak Welsh,1591
159,2021,W01000096,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1220
160,2021,W01000096,2021 super output areas - lower layer,151,Cannot speak Welsh,229
161,2021,W01000096,2021 super output areas - lower layer,151,Can speak Welsh,991
162,2021,W01000097,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1104
163,2021,W01000097,2021 super output areas - lower layer,151,Cannot speak Welsh,286
164,2021,W01000097,2021 super output areas - lower layer,151,Can speak Welsh,818
165,2021,W01000115,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2066
166,2021,W01000115,2021 super output areas - lower layer,151,Cannot speak Welsh,667
167,2021,W01000115,2021 super output areas - lower layer,151,Can speak Welsh,1399
168,2021,W01000052,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1061
169,2021,W01000052,2021 super output areas - lower layer,151,Cannot speak Welsh,150
170,2021,W01000052,2021 super output areas - lower layer,151,Can speak Welsh,911
171,2021,W01000053,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1144
172,2021,W01000053,2021 super output areas - lower layer,151,Cannot speak Welsh,354
173,2021,W01000053,2021 super output areas - lower layer,151,Can speak Welsh,790
174,2021,W01000087,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1780
175,2021,W01000087,2021 super output areas - lower layer,151,Cannot speak Welsh,249
176,2021,W01000087,2021 super output areas - lower layer,151,Can speak Welsh,1531
177,2021,W01000119,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2257
178,2021,W01000119,2021 super output areas - lower layer,151,Cannot speak Welsh,715
179,2021,W01000119,2021 super output areas - lower layer,151,Can speak Welsh,1542
180,2021,W01000063,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1847
181,2021,W01000063,2021 super output areas - lower layer,151,Cannot speak Welsh,494
182,2021,W01000063,2021 super output areas - lower layer,151,Can speak Welsh,1353
183,2021,W01000081,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1958
184,2021,W01000081,2021 super output areas - lower layer,151,Cannot speak Welsh,597
185,2021,W01000081,2021 super output areas - lower layer,151,Can speak Welsh,1361
186,2021,W01000099,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1617
187,2021,W01000099,2021 super output areas - lower layer,151,Cannot speak Welsh,525
188,2021,W01000099,2021 super output areas - lower layer,151,Can speak Welsh,1092
189,2021,W01000103,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1141
190,2021,W01000103,2021 super output areas - lower layer,151,Cannot speak Welsh,487
191,2021,W01000103,2021 super output areas - lower layer,151,Can speak Welsh,654
192,2021,W01000059,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2027
193,2021,W01000059,2021 super output areas - lower layer,151,Cannot speak Welsh,385
194,2021,W01000059,2021 super output areas - lower layer,151,Can speak Welsh,1642
195,2021,W01000093,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2184
196,2021,W01000093,2021 super output areas - lower layer,151,Cannot speak Welsh,472
197,2021,W01000093,2021 super output areas - lower layer,151,Can speak Welsh,1712
198,2021,W01000098,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2422
199,2021,W01000098,2021 super output areas - lower layer,151,Cannot speak Welsh,373
200,2021,W01000098,2021 super output areas - lower layer,151,Can speak Welsh,2049
201,2021,W01000110,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1544
202,2021,W01000110,2021 super output areas - lower layer,151,Cannot speak Welsh,212
203,2021,W01000110,2021 super output areas - lower layer,151,Can speak Welsh,1332
204,2021,W01000054,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,988
205,2021,W01000054,2021 super output areas - lower layer,151,Cannot speak Welsh,172
206,2021,W01000054,2021 super output areas - lower layer,151,Can speak Welsh,816
207,2021,W01000088,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2009
208,2021,W01000088,2021 super output areas - lower layer,151,Cannot speak Welsh,380
209,2021,W01000088,2021 super output areas - lower layer,151,Can speak Welsh,1629
210,2021,W01000111,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1530
211,2021,W01000111,2021 super output areas - lower layer,151,Cannot speak Welsh,365
212,2021,W01000111,2021 super output areas - lower layer,151,Can speak Welsh,1165
213,2021,W01000118,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1653
214,2021,W01000118,2021 super output areas - lower layer,151,Cannot speak Welsh,436
215,2021,W01000118,2021 super output areas - lower layer,151,Can speak Welsh,1217
216,2021,W01000073,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1620
217,2021,W01000073,2021 super output areas - lower layer,151,Cannot speak Welsh,373
218,2021,W01000073,2021 super output areas - lower layer,151,Can speak Welsh,1247
219,2021,W01000086,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2113
220,2021,W01000086,2021 super output areas - lower layer,151,Cannot speak Welsh,605
221,2021,W01000086,2021 super output areas - lower layer,151,Can speak Welsh,1508
222,2021,W01000104,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1743
223,2021,W01000104,2021 super output areas - lower layer,151,Cannot speak Welsh,296
224,2021,W01000104,2021 super output areas - lower layer,151,Can speak Welsh,1447
225,2021,W01000112,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1877
226,2021,W01000112,2021 super output areas - lower layer,151,Cannot speak Welsh,566
227,2021,W01000112,2021 super output areas - lower layer,151,Can speak Welsh,1311
228,2021,W01000056,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1720
229,2021,W01000056,2021 super output areas - lower layer,151,Cannot speak Welsh,407
230,2021,W01000056,2021 super output areas - lower layer,151,Can speak Welsh,1313
231,2021,W01000065,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,995
232,2021,W01000065,2021 super output areas - lower layer,151,Cannot speak Welsh,268
233,2021,W01000065,2021 super output areas - lower layer,151,Can speak Welsh,727
234,2021,W01000113,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1790
235,2021,W01000113,2021 super output areas - lower layer,151,Cannot speak Welsh,456
236,2021,W01000113,2021 super output areas - lower layer,151,Can speak Welsh,1334
237,2021,W01000114,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1378
238,2021,W01000114,2021 super output areas - lower layer,151,Cannot speak Welsh,376
239,2021,W01000114,2021 super output areas - lower layer,151,Can speak Welsh,1002
240,2021,W01000066,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1143
241,2021,W01000066,2021 super output areas - lower layer,151,Cannot speak Welsh,393
242,2021,W01000066,2021 super output areas - lower layer,151,Can speak Welsh,750
243,2021,W01000100,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1032
244,2021,W01000100,2021 super output areas - lower layer,151,Cannot speak Welsh,312
245,2021,W01000100,2021 super output areas - lower layer,151,Can speak Welsh,720
246,2021,W01000105,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1689
247,2021,W01000105,2021 super output areas - lower layer,151,Cannot speak Welsh,395
248,2021,W01000105,2021 super output areas - lower layer,151,Can speak Welsh,1294
249,2021,W01000106,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1475
250,2021,W01000106,2021 super output areas - lower layer,151,Cannot speak Welsh,652
251,2021,W01000106,2021 super output areas - lower layer,151,Can speak Welsh,823
252,2021,W01000107,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1168
253,2021,W01000107,2021 super output areas - lower layer,151,Cannot speak Welsh,401
254,2021,W01000107,2021 super output areas - lower layer,151,Can speak Welsh,767
255,2021,W01000047,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1233
256,2021,W01000047,2021 super output areas - lower layer,151,Cannot speak Welsh,277
257,2021,W01000047,2021 super output areas - lower layer,151,Can speak Welsh,956
258,2021,W01000061,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1697
259,2021,W01000061,2021 super output areas - lower layer,151,Cannot speak Welsh,671
