,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E01030348,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,131
1,2021,E01030348,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,130
2,2021,E01030348,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
3,2021,E01030348,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,60
4,2021,E01030348,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,60
5,2021,E01030348,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
6,2021,E01030349,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1396
7,2021,E01030349,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,293
8,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership,844
9,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,840
10,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,835
11,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,5
12,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,4
13,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
14,2021,E01030349,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,4
15,2021,E01030349,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",24
16,2021,E01030349,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",24
17,2021,E01030349,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
18,2021,E01030349,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,116
19,2021,E01030349,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,116
20,2021,E01030349,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
21,2021,E01030349,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,119
22,2021,E01030349,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,118
23,2021,E01030349,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,1
24,2021,E01030300,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1309
25,2021,E01030300,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,440
26,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership,539
27,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,537
28,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,535
29,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,2
30,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,2
31,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
32,2021,E01030300,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
33,2021,E01030300,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",31
34,2021,E01030300,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",31
