,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E01007637,2021 super output areas - lower layer,151,Total: All usual residents,1535
1,2021,E01007637,2021 super output areas - lower layer,151,British only identity,841
2,2021,E01007637,2021 super output areas - lower layer,151,English only identity,283
3,2021,E01007637,2021 super output areas - lower layer,151,English and British only identity,236
4,2021,E01007637,2021 super output areas - lower layer,151,Welsh only identity,0
5,2021,E01007637,2021 super output areas - lower layer,151,Welsh and British only identity,0
6,2021,E01007637,2021 super output areas - lower layer,151,Any other combination of only UK identities,10
7,2021,E01007637,2021 super output areas - lower layer,151,Scottish only identity,3
8,2021,E01007637,2021 super output areas - lower layer,151,Scottish and British only identity,1
9,2021,E01007637,2021 super output areas - lower layer,151,Northern Irish only identity,2
10,2021,E01007637,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
11,2021,E01007637,2021 super output areas - lower layer,151,Cornish only identity,0
12,2021,E01007637,2021 super output areas - lower layer,151,Cornish and British only identity,0
13,2021,E01007637,2021 super output areas - lower layer,151,Any other combination of only UK identities ,4
14,2021,E01007637,2021 super output areas - lower layer,151,Irish only identity,0
15,2021,E01007637,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
16,2021,E01007637,2021 super output areas - lower layer,151,Other identity only,158
17,2021,E01007637,2021 super output areas - lower layer,151,Other identity and at least one UK identity,7
18,2021,E01007637,2021 super output areas - lower layer,151,Non-UK identity only,158
19,2021,E01007637,2021 super output areas - lower layer,151,UK identity and non-UK identity,7
20,2021,E01007638,2021 super output areas - lower layer,151,Total: All usual residents,1531
21,2021,E01007638,2021 super output areas - lower layer,151,British only identity,847
22,2021,E01007638,2021 super output areas - lower layer,151,English only identity,276
23,2021,E01007638,2021 super output areas - lower layer,151,English and British only identity,285
24,2021,E01007638,2021 super output areas - lower layer,151,Welsh only identity,3
25,2021,E01007638,2021 super output areas - lower layer,151,Welsh and British only identity,0
26,2021,E01007638,2021 super output areas - lower layer,151,Any other combination of only UK identities,17
27,2021,E01007638,2021 super output areas - lower layer,151,Scottish only identity,6
28,2021,E01007638,2021 super output areas - lower layer,151,Scottish and British only identity,1
29,2021,E01007638,2021 super output areas - lower layer,151,Northern Irish only identity,1
30,2021,E01007638,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
31,2021,E01007638,2021 super output areas - lower layer,151,Cornish only identity,0
32,2021,E01007638,2021 super output areas - lower layer,151,Cornish and British only identity,0
33,2021,E01007638,2021 super output areas - lower layer,151,Any other combination of only UK identities ,8
34,2021,E01007638,2021 super output areas - lower layer,151,Irish only identity,2
35,2021,E01007638,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
36,2021,E01007638,2021 super output areas - lower layer,151,Other identity only,89
37,2021,E01007638,2021 super output areas - lower layer,151,Other identity and at least one UK identity,12
38,2021,E01007638,2021 super output areas - lower layer,151,Non-UK identity only,91
39,2021,E01007638,2021 super output areas - lower layer,151,UK identity and non-UK identity,12
40,2021,E01007639,2021 super output areas - lower layer,151,Total: All usual residents,2155
41,2021,E01007639,2021 super output areas - lower layer,151,British only identity,1148
42,2021,E01007639,2021 super output areas - lower layer,151,English only identity,419
43,2021,E01007639,2021 super output areas - lower layer,151,English and British only identity,421
44,2021,E01007639,2021 super output areas - lower layer,151,Welsh only identity,1
45,2021,E01007639,2021 super output areas - lower layer,151,Welsh and British only identity,3
46,2021,E01007639,2021 super output areas - lower layer,151,Any other combination of only UK identities,18
47,2021,E01007639,2021 super output areas - lower layer,151,Scottish only identity,12
48,2021,E01007639,2021 super output areas - lower layer,151,Scottish and British only identity,1
49,2021,E01007639,2021 super output areas - lower layer,151,Northern Irish only identity,1
50,2021,E01007639,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
51,2021,E01007639,2021 super output areas - lower layer,151,Cornish only identity,1
52,2021,E01007639,2021 super output areas - lower layer,151,Cornish and British only identity,0
53,2021,E01007639,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
54,2021,E01007639,2021 super output areas - lower layer,151,Irish only identity,2
55,2021,E01007639,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
56,2021,E01007639,2021 super output areas - lower layer,151,Other identity only,130
57,2021,E01007639,2021 super output areas - lower layer,151,Other identity and at least one UK identity,13
58,2021,E01007639,2021 super output areas - lower layer,151,Non-UK identity only,132
59,2021,E01007639,2021 super output areas - lower layer,151,UK identity and non-UK identity,13
60,2021,E01007640,2021 super output areas - lower layer,151,Total: All usual residents,1571
61,2021,E01007640,2021 super output areas - lower layer,151,British only identity,827
62,2021,E01007640,2021 super output areas - lower layer,151,English only identity,407
63,2021,E01007640,2021 super output areas - lower layer,151,English and British only identity,290
64,2021,E01007640,2021 super output areas - lower layer,151,Welsh only identity,3
65,2021,E01007640,2021 super output areas - lower layer,151,Welsh and British only identity,0
66,2021,E01007640,2021 super output areas - lower layer,151,Any other combination of only UK identities,10
67,2021,E01007640,2021 super output areas - lower layer,151,Scottish only identity,7
68,2021,E01007640,2021 super output areas - lower layer,151,Scottish and British only identity,3
69,2021,E01007640,2021 super output areas - lower layer,151,Northern Irish only identity,0
70,2021,E01007640,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
71,2021,E01007640,2021 super output areas - lower layer,151,Cornish only identity,0
72,2021,E01007640,2021 super output areas - lower layer,151,Cornish and British only identity,0
73,2021,E01007640,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
74,2021,E01007640,2021 super output areas - lower layer,151,Irish only identity,1
75,2021,E01007640,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
76,2021,E01007640,2021 super output areas - lower layer,151,Other identity only,27
77,2021,E01007640,2021 super output areas - lower layer,151,Other identity and at least one UK identity,6
78,2021,E01007640,2021 super output areas - lower layer,151,Non-UK identity only,28
79,2021,E01007640,2021 super output areas - lower layer,151,UK identity and non-UK identity,6
80,2021,E01007641,2021 super output areas - lower layer,151,Total: All usual residents,1422
81,2021,E01007641,2021 super output areas - lower layer,151,British only identity,807
82,2021,E01007641,2021 super output areas - lower layer,151,English only identity,254
83,2021,E01007641,2021 super output areas - lower layer,151,English and British only identity,312
84,2021,E01007641,2021 super output areas - lower layer,151,Welsh only identity,4
85,2021,E01007641,2021 super output areas - lower layer,151,Welsh and British only identity,0
86,2021,E01007641,2021 super output areas - lower layer,151,Any other combination of only UK identities,8
87,2021,E01007641,2021 super output areas - lower layer,151,Scottish only identity,4
88,2021,E01007641,2021 super output areas - lower layer,151,Scottish and British only identity,4
89,2021,E01007641,2021 super output areas - lower layer,151,Northern Irish only identity,0
90,2021,E01007641,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
91,2021,E01007641,2021 super output areas - lower layer,151,Cornish only identity,0
92,2021,E01007641,2021 super output areas - lower layer,151,Cornish and British only identity,0
93,2021,E01007641,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
