,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
0,2021,E01014089,2021 super output areas - lower layer,151,Total: All usual residents,1397
1,2021,E01014089,2021 super output areas - lower layer,151,Born in the UK,1288
2,2021,E01014089,2021 super output areas - lower layer,151,10 years or more,66
3,2021,E01014089,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",32
4,2021,E01014089,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",8
5,2021,E01014089,2021 super output areas - lower layer,151,Less than 2 years,3
6,2021,E01013987,2021 super output areas - lower layer,151,Total: All usual residents,1594
7,2021,E01013987,2021 super output areas - lower layer,151,Born in the UK,1420
8,2021,E01013987,2021 super output areas - lower layer,151,10 years or more,128
9,2021,E01013987,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",20
10,2021,E01013987,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",7
11,2021,E01013987,2021 super output areas - lower layer,151,Less than 2 years,19
12,2021,E01013988,2021 super output areas - lower layer,151,Total: All usual residents,1817
13,2021,E01013988,2021 super output areas - lower layer,151,Born in the UK,1626
14,2021,E01013988,2021 super output areas - lower layer,151,10 years or more,110
15,2021,E01013988,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",31
16,2021,E01013988,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",23
17,2021,E01013988,2021 super output areas - lower layer,151,Less than 2 years,27
18,2021,E01014095,2021 super output areas - lower layer,151,Total: All usual residents,1397
19,2021,E01014095,2021 super output areas - lower layer,151,Born in the UK,1224
20,2021,E01014095,2021 super output areas - lower layer,151,10 years or more,85
21,2021,E01014095,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",29
22,2021,E01014095,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",26
23,2021,E01014095,2021 super output areas - lower layer,151,Less than 2 years,33
24,2021,E01035055,2021 super output areas - lower layer,151,Total: All usual residents,1596
25,2021,E01035055,2021 super output areas - lower layer,151,Born in the UK,1462
26,2021,E01035055,2021 super output areas - lower layer,151,10 years or more,80
27,2021,E01035055,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",23
28,2021,E01035055,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",17
29,2021,E01035055,2021 super output areas - lower layer,151,Less than 2 years,14
30,2021,E01035056,2021 super output areas - lower layer,151,Total: All usual residents,1523
31,2021,E01035056,2021 super output areas - lower layer,151,Born in the UK,1418
32,2021,E01035056,2021 super output areas - lower layer,151,10 years or more,62
33,2021,E01035056,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",19
34,2021,E01035056,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",21
35,2021,E01035056,2021 super output areas - lower layer,151,Less than 2 years,3
36,2021,E01013986,2021 super output areas - lower layer,151,Total: All usual residents,1626
37,2021,E01013986,2021 super output areas - lower layer,151,Born in the UK,1420
38,2021,E01013986,2021 super output areas - lower layer,151,10 years or more,97
39,2021,E01013986,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",46
40,2021,E01013986,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",32
41,2021,E01013986,2021 super output areas - lower layer,151,Less than 2 years,31
42,2021,E01013989,2021 super output areas - lower layer,151,Total: All usual residents,1546
43,2021,E01013989,2021 super output areas - lower layer,151,Born in the UK,1351
44,2021,E01013989,2021 super output areas - lower layer,151,10 years or more,116
45,2021,E01013989,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",25
46,2021,E01013989,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",23
47,2021,E01013989,2021 super output areas - lower layer,151,Less than 2 years,31
48,2021,E01014010,2021 super output areas - lower layer,151,Total: All usual residents,1831
49,2021,E01014010,2021 super output areas - lower layer,151,Born in the UK,1267
50,2021,E01014010,2021 super output areas - lower layer,151,10 years or more,180
51,2021,E01014010,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",114
52,2021,E01014010,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",120
53,2021,E01014010,2021 super output areas - lower layer,151,Less than 2 years,150
54,2021,E01014011,2021 super output areas - lower layer,151,Total: All usual residents,1475
55,2021,E01014011,2021 super output areas - lower layer,151,Born in the UK,1219
56,2021,E01014011,2021 super output areas - lower layer,151,10 years or more,118
57,2021,E01014011,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",62
58,2021,E01014011,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",29
59,2021,E01014011,2021 super output areas - lower layer,151,Less than 2 years,47
60,2021,E01014086,2021 super output areas - lower layer,151,Total: All usual residents,1475
61,2021,E01014086,2021 super output areas - lower layer,151,Born in the UK,1135
62,2021,E01014086,2021 super output areas - lower layer,151,10 years or more,150
63,2021,E01014086,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",103
64,2021,E01014086,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",46
65,2021,E01014086,2021 super output areas - lower layer,151,Less than 2 years,41
