,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
65,2021,W01000013,2021 super output areas - lower layer,151,Can understand spoken Welsh,1363
66,2021,W01000019,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1322
67,2021,W01000019,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,723
68,2021,W01000019,2021 super output areas - lower layer,151,Can understand spoken Welsh,599
69,2021,W01000026,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
70,2021,W01000026,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,568
71,2021,W01000026,2021 super output areas - lower layer,151,Can understand spoken Welsh,661
72,2021,W01000035,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1743
73,2021,W01000035,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,693
74,2021,W01000035,2021 super output areas - lower layer,151,Can understand spoken Welsh,1050
75,2021,W01000006,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1494
76,2021,W01000006,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,395
77,2021,W01000006,2021 super output areas - lower layer,151,Can understand spoken Welsh,1099
78,2021,W01000012,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1656
79,2021,W01000012,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,403
80,2021,W01000012,2021 super output areas - lower layer,151,Can understand spoken Welsh,1253
81,2021,W01000014,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2128
82,2021,W01000014,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,448
83,2021,W01000014,2021 super output areas - lower layer,151,Can understand spoken Welsh,1680
84,2021,W01000041,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1529
85,2021,W01000041,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,323
86,2021,W01000041,2021 super output areas - lower layer,151,Can understand spoken Welsh,1206
87,2021,W01000009,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1818
88,2021,W01000009,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,531
89,2021,W01000009,2021 super output areas - lower layer,151,Can understand spoken Welsh,1287
90,2021,W01000023,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1526
91,2021,W01000023,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,444
92,2021,W01000023,2021 super output areas - lower layer,151,Can understand spoken Welsh,1082
93,2021,W01000024,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1293
94,2021,W01000024,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,704
95,2021,W01000024,2021 super output areas - lower layer,151,Can understand spoken Welsh,589
96,2021,W01002008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2047
97,2021,W01002008,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,890
98,2021,W01002008,2021 super output areas - lower layer,151,Can understand spoken Welsh,1157
99,2021,W01000008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1418
100,2021,W01000008,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,340
101,2021,W01000008,2021 super output areas - lower layer,151,Can understand spoken Welsh,1078
102,2021,W01000011,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,999
103,2021,W01000011,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,458
104,2021,W01000011,2021 super output areas - lower layer,151,Can understand spoken Welsh,541
105,2021,W01000015,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1431
106,2021,W01000015,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,395
107,2021,W01000015,2021 super output areas - lower layer,151,Can understand spoken Welsh,1036
108,2021,W01000042,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1982
