,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_27_NAME,OBS_VALUE
0,2021,E01015768,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
1,2021,E01015768,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,0
2,2021,E01015768,2021 super output areas - lower layer,151,Africa,14
3,2021,E01015768,2021 super output areas - lower layer,151,Africa: North Africa,0
4,2021,E01015768,2021 super output areas - lower layer,151,Africa: Central and Western Africa,5
5,2021,E01015768,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,9
6,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia,52
7,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,4
8,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
9,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,47
10,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,1
11,2021,E01015768,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
12,2021,E01015768,2021 super output areas - lower layer,151,The Americas and the Caribbean,6
13,2021,E01015768,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,4
14,2021,E01015768,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,2
15,2021,E01015768,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
16,2021,E01015768,2021 super output areas - lower layer,151,British Overseas Territories,0
17,2021,E01015768,2021 super output areas - lower layer,151,No passport held,145
18,2021,E01015783,2021 super output areas - lower layer,151,Total: All usual residents,1797
19,2021,E01015783,2021 super output areas - lower layer,151,Europe,1540
20,2021,E01015783,2021 super output areas - lower layer,151,Europe: United Kingdom,1276
21,2021,E01015783,2021 super output areas - lower layer,151,Europe: Ireland,52
22,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe,212
23,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,208
24,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,0
25,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,1
26,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,12
27,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,15
28,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,11
29,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,1
30,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,31
31,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,85
32,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,52
33,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,4
34,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
35,2021,E01015783,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,4
36,2021,E01015783,2021 super output areas - lower layer,151,Africa,7
37,2021,E01015783,2021 super output areas - lower layer,151,Africa: North Africa,0
38,2021,E01015783,2021 super output areas - lower layer,151,Africa: Central and Western Africa,4
39,2021,E01015783,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,3
40,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia,110
41,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,0
42,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
43,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,110
44,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,0
45,2021,E01015783,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
46,2021,E01015783,2021 super output areas - lower layer,151,The Americas and the Caribbean,4
47,2021,E01015783,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,4
48,2021,E01015783,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,0
49,2021,E01015783,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
50,2021,E01015783,2021 super output areas - lower layer,151,British Overseas Territories,0
51,2021,E01015783,2021 super output areas - lower layer,151,No passport held,136
52,2021,E01015785,2021 super output areas - lower layer,151,Total: All usual residents,2633
53,2021,E01015785,2021 super output areas - lower layer,151,Europe,2064
54,2021,E01015785,2021 super output areas - lower layer,151,Europe: United Kingdom,1640
55,2021,E01015785,2021 super output areas - lower layer,151,Europe: Ireland,63
56,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe,361
57,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,350
58,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,5
59,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,9
60,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,46
61,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,13
62,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,22
63,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,12
64,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,101
65,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,87
66,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,55
67,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,11
68,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
69,2021,E01015785,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,11
70,2021,E01015785,2021 super output areas - lower layer,151,Africa,57
71,2021,E01015785,2021 super output areas - lower layer,151,Africa: North Africa,5
72,2021,E01015785,2021 super output areas - lower layer,151,Africa: Central and Western Africa,33
73,2021,E01015785,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,19
74,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia,166
75,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,6
76,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
77,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,158
78,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,2
79,2021,E01015785,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
80,2021,E01015785,2021 super output areas - lower layer,151,The Americas and the Caribbean,18
81,2021,E01015785,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,17
82,2021,E01015785,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,1
83,2021,E01015785,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
84,2021,E01015785,2021 super output areas - lower layer,151,British Overseas Territories,0
85,2021,E01015785,2021 super output areas - lower layer,151,No passport held,328
86,2021,E01015693,2021 super output areas - lower layer,151,Total: All usual residents,1755
87,2021,E01015693,2021 super output areas - lower layer,151,Europe,1615
88,2021,E01015693,2021 super output areas - lower layer,151,Europe: United Kingdom,1511
89,2021,E01015693,2021 super output areas - lower layer,151,Europe: Ireland,30
90,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe,74
91,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,73
92,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,4
93,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,3
94,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,13
95,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,4
96,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,1
97,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,4
98,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,18
99,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,17
100,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,9
101,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,1
102,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
103,2021,E01015693,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,1
104,2021,E01015693,2021 super output areas - lower layer,151,Africa,7
105,2021,E01015693,2021 super output areas - lower layer,151,Africa: North Africa,1
106,2021,E01015693,2021 super output areas - lower layer,151,Africa: Central and Western Africa,2
107,2021,E01015693,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,4
108,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia,30
109,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,1
110,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,1
111,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,27
112,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,1
113,2021,E01015693,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
114,2021,E01015693,2021 super output areas - lower layer,151,The Americas and the Caribbean,5
115,2021,E01015693,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,4
116,2021,E01015693,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,1
