,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
0,2021,E01026020,2021 super output areas - lower layer,151,Arrived 1981 to 1990,11
1,2021,E01026020,2021 super output areas - lower layer,151,Arrived 1991 to 2000,27
2,2021,E01026020,2021 super output areas - lower layer,151,Arrived 2001 to 2010,162
3,2021,E01026020,2021 super output areas - lower layer,151,Arrived 2011 to 2013,78
4,2021,E01026020,2021 super output areas - lower layer,151,Arrived 2014 to 2016,63
5,2021,E01026020,2021 super output areas - lower layer,151,Arrived 2017 to 2019,43
6,2021,E01026020,2021 super output areas - lower layer,151,Arrived 2020 to 2021,33
7,2021,E01026041,2021 super output areas - lower layer,151,Total: All usual residents,1380
8,2021,E01026041,2021 super output areas - lower layer,151,Born in the UK,1231
9,2021,E01026041,2021 super output areas - lower layer,151,Arrived before 1951,3
10,2021,E01026041,2021 super output areas - lower layer,151,Arrived 1951 to 1960,0
11,2021,E01026041,2021 super output areas - lower layer,151,Arrived 1961 to 1970,2
12,2021,E01026041,2021 super output areas - lower layer,151,Arrived 1971 to 1980,4
13,2021,E01026041,2021 super output areas - lower layer,151,Arrived 1981 to 1990,2
14,2021,E01026041,2021 super output areas - lower layer,151,Arrived 1991 to 2000,6
15,2021,E01026041,2021 super output areas - lower layer,151,Arrived 2001 to 2010,74
16,2021,E01026041,2021 super output areas - lower layer,151,Arrived 2011 to 2013,34
17,2021,E01026041,2021 super output areas - lower layer,151,Arrived 2014 to 2016,13
18,2021,E01026041,2021 super output areas - lower layer,151,Arrived 2017 to 2019,10
19,2021,E01026041,2021 super output areas - lower layer,151,Arrived 2020 to 2021,1
20,2021,E01026013,2021 super output areas - lower layer,151,Total: All usual residents,1450
21,2021,E01026013,2021 super output areas - lower layer,151,Born in the UK,1274
22,2021,E01026013,2021 super output areas - lower layer,151,Arrived before 1951,1
23,2021,E01026013,2021 super output areas - lower layer,151,Arrived 1951 to 1960,4
24,2021,E01026013,2021 super output areas - lower layer,151,Arrived 1961 to 1970,6
25,2021,E01026013,2021 super output areas - lower layer,151,Arrived 1971 to 1980,8
26,2021,E01026013,2021 super output areas - lower layer,151,Arrived 1981 to 1990,5
27,2021,E01026013,2021 super output areas - lower layer,151,Arrived 1991 to 2000,10
28,2021,E01026013,2021 super output areas - lower layer,151,Arrived 2001 to 2010,78
29,2021,E01026013,2021 super output areas - lower layer,151,Arrived 2011 to 2013,20
30,2021,E01026013,2021 super output areas - lower layer,151,Arrived 2014 to 2016,14
31,2021,E01026013,2021 super output areas - lower layer,151,Arrived 2017 to 2019,22
32,2021,E01026013,2021 super output areas - lower layer,151,Arrived 2020 to 2021,8
33,2021,E01026014,2021 super output areas - lower layer,151,Total: All usual residents,1945
34,2021,E01026014,2021 super output areas - lower layer,151,Born in the UK,1684
35,2021,E01026014,2021 super output areas - lower layer,151,Arrived before 1951,0
36,2021,E01026014,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
37,2021,E01026014,2021 super output areas - lower layer,151,Arrived 1961 to 1970,11
38,2021,E01026014,2021 super output areas - lower layer,151,Arrived 1971 to 1980,6
39,2021,E01026014,2021 super output areas - lower layer,151,Arrived 1981 to 1990,5
40,2021,E01026014,2021 super output areas - lower layer,151,Arrived 1991 to 2000,7
41,2021,E01026014,2021 super output areas - lower layer,151,Arrived 2001 to 2010,97
42,2021,E01026014,2021 super output areas - lower layer,151,Arrived 2011 to 2013,53
43,2021,E01026014,2021 super output areas - lower layer,151,Arrived 2014 to 2016,45
44,2021,E01026014,2021 super output areas - lower layer,151,Arrived 2017 to 2019,27
45,2021,E01026014,2021 super output areas - lower layer,151,Arrived 2020 to 2021,4
46,2021,E01026022,2021 super output areas - lower layer,151,Total: All usual residents,2306
47,2021,E01026022,2021 super output areas - lower layer,151,Born in the UK,1686
48,2021,E01026022,2021 super output areas - lower layer,151,Arrived before 1951,2
49,2021,E01026022,2021 super output areas - lower layer,151,Arrived 1951 to 1960,7
50,2021,E01026022,2021 super output areas - lower layer,151,Arrived 1961 to 1970,8
51,2021,E01026022,2021 super output areas - lower layer,151,Arrived 1971 to 1980,8
52,2021,E01026022,2021 super output areas - lower layer,151,Arrived 1981 to 1990,10
53,2021,E01026022,2021 super output areas - lower layer,151,Arrived 1991 to 2000,41
54,2021,E01026022,2021 super output areas - lower layer,151,Arrived 2001 to 2010,217
55,2021,E01026022,2021 super output areas - lower layer,151,Arrived 2011 to 2013,55
56,2021,E01026022,2021 super output areas - lower layer,151,Arrived 2014 to 2016,83
57,2021,E01026022,2021 super output areas - lower layer,151,Arrived 2017 to 2019,116
58,2021,E01026022,2021 super output areas - lower layer,151,Arrived 2020 to 2021,73
59,2021,E01026038,2021 super output areas - lower layer,151,Total: All usual residents,1444
60,2021,E01026038,2021 super output areas - lower layer,151,Born in the UK,1127
61,2021,E01026038,2021 super output areas - lower layer,151,Arrived before 1951,2
62,2021,E01026038,2021 super output areas - lower layer,151,Arrived 1951 to 1960,1
63,2021,E01026038,2021 super output areas - lower layer,151,Arrived 1961 to 1970,5
64,2021,E01026038,2021 super output areas - lower layer,151,Arrived 1971 to 1980,3
65,2021,E01026038,2021 super output areas - lower layer,151,Arrived 1981 to 1990,1
66,2021,E01026038,2021 super output areas - lower layer,151,Arrived 1991 to 2000,11
67,2021,E01026038,2021 super output areas - lower layer,151,Arrived 2001 to 2010,119
68,2021,E01026038,2021 super output areas - lower layer,151,Arrived 2011 to 2013,59
69,2021,E01026038,2021 super output areas - lower layer,151,Arrived 2014 to 2016,67
70,2021,E01026038,2021 super output areas - lower layer,151,Arrived 2017 to 2019,40
71,2021,E01026038,2021 super output areas - lower layer,151,Arrived 2020 to 2021,9
72,2021,E01026040,2021 super output areas - lower layer,151,Total: All usual residents,1708
73,2021,E01026040,2021 super output areas - lower layer,151,Born in the UK,1448
74,2021,E01026040,2021 super output areas - lower layer,151,Arrived before 1951,0
