,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEALTH_6_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All usual residents,1380
1,2021,E01016217,2021 super output areas - lower layer,151,Very good health,659
2,2021,E01016217,2021 super output areas - lower layer,151,Good health,511
3,2021,E01016217,2021 super output areas - lower layer,151,Fair health,154
4,2021,E01016217,2021 super output areas - lower layer,151,Bad health,39
5,2021,E01016217,2021 super output areas - lower layer,151,Very bad health,17
6,2021,E01016218,2021 super output areas - lower layer,151,Total: All usual residents,1388
7,2021,E01016218,2021 super output areas - lower layer,151,Very good health,620
8,2021,E01016218,2021 super output areas - lower layer,151,Good health,488
9,2021,E01016218,2021 super output areas - lower layer,151,Fair health,211
10,2021,E01016218,2021 super output areas - lower layer,151,Bad health,57
11,2021,E01016218,2021 super output areas - lower layer,151,Very bad health,12
12,2021,E01016231,2021 super output areas - lower layer,151,Total: All usual residents,1953
13,2021,E01016231,2021 super output areas - lower layer,151,Very good health,1000
14,2021,E01016231,2021 super output areas - lower layer,151,Good health,686
15,2021,E01016231,2021 super output areas - lower layer,151,Fair health,199
16,2021,E01016231,2021 super output areas - lower layer,151,Bad health,56
17,2021,E01016231,2021 super output areas - lower layer,151,Very bad health,12
18,2021,E01016232,2021 super output areas - lower layer,151,Total: All usual residents,1432
19,2021,E01016232,2021 super output areas - lower layer,151,Very good health,663
20,2021,E01016232,2021 super output areas - lower layer,151,Good health,521
21,2021,E01016232,2021 super output areas - lower layer,151,Fair health,190
22,2021,E01016232,2021 super output areas - lower layer,151,Bad health,42
23,2021,E01016232,2021 super output areas - lower layer,151,Very bad health,16
24,2021,E01016212,2021 super output areas - lower layer,151,Total: All usual residents,1338
25,2021,E01016212,2021 super output areas - lower layer,151,Very good health,641
26,2021,E01016212,2021 super output areas - lower layer,151,Good health,486
27,2021,E01016212,2021 super output areas - lower layer,151,Fair health,159
28,2021,E01016212,2021 super output areas - lower layer,151,Bad health,33
29,2021,E01016212,2021 super output areas - lower layer,151,Very bad health,19
30,2021,E01016216,2021 super output areas - lower layer,151,Total: All usual residents,1349
31,2021,E01016216,2021 super output areas - lower layer,151,Very good health,628
32,2021,E01016216,2021 super output areas - lower layer,151,Good health,530
33,2021,E01016216,2021 super output areas - lower layer,151,Fair health,143
34,2021,E01016216,2021 super output areas - lower layer,151,Bad health,38
35,2021,E01016216,2021 super output areas - lower layer,151,Very bad health,10
36,2021,E01016219,2021 super output areas - lower layer,151,Total: All usual residents,1326
37,2021,E01016219,2021 super output areas - lower layer,151,Very good health,606
38,2021,E01016219,2021 super output areas - lower layer,151,Good health,503
39,2021,E01016219,2021 super output areas - lower layer,151,Fair health,173
40,2021,E01016219,2021 super output areas - lower layer,151,Bad health,32
41,2021,E01016219,2021 super output areas - lower layer,151,Very bad health,12
42,2021,E01016220,2021 super output areas - lower layer,151,Total: All usual residents,1423
43,2021,E01016220,2021 super output areas - lower layer,151,Very good health,685
44,2021,E01016220,2021 super output areas - lower layer,151,Good health,536
45,2021,E01016220,2021 super output areas - lower layer,151,Fair health,148
