,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E01034006,2021 super output areas - lower layer,151,Total: All usual residents,2503
1,2021,E01034006,2021 super output areas - lower layer,151,British only identity,1733
2,2021,E01034006,2021 super output areas - lower layer,151,English only identity,205
3,2021,E01034006,2021 super output areas - lower layer,151,English and British only identity,300
4,2021,E01034006,2021 super output areas - lower layer,151,Welsh only identity,4
5,2021,E01034006,2021 super output areas - lower layer,151,Welsh and British only identity,0
6,2021,E01034006,2021 super output areas - lower layer,151,Any other combination of only UK identities,8
7,2021,E01034006,2021 super output areas - lower layer,151,Scottish only identity,2
8,2021,E01034006,2021 super output areas - lower layer,151,Scottish and British only identity,1
9,2021,E01034006,2021 super output areas - lower layer,151,Northern Irish only identity,2
10,2021,E01034006,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
11,2021,E01034006,2021 super output areas - lower layer,151,Cornish only identity,0
12,2021,E01034006,2021 super output areas - lower layer,151,Cornish and British only identity,0
13,2021,E01034006,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
14,2021,E01034006,2021 super output areas - lower layer,151,Irish only identity,3
15,2021,E01034006,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
16,2021,E01034006,2021 super output areas - lower layer,151,Other identity only,181
17,2021,E01034006,2021 super output areas - lower layer,151,Other identity and at least one UK identity,68
18,2021,E01034006,2021 super output areas - lower layer,151,Non-UK identity only,184
19,2021,E01034006,2021 super output areas - lower layer,151,UK identity and non-UK identity,69
20,2021,E01034007,2021 super output areas - lower layer,151,Total: All usual residents,1766
21,2021,E01034007,2021 super output areas - lower layer,151,British only identity,1112
22,2021,E01034007,2021 super output areas - lower layer,151,English only identity,297
23,2021,E01034007,2021 super output areas - lower layer,151,English and British only identity,209
24,2021,E01034007,2021 super output areas - lower layer,151,Welsh only identity,5
25,2021,E01034007,2021 super output areas - lower layer,151,Welsh and British only identity,0
26,2021,E01034007,2021 super output areas - lower layer,151,Any other combination of only UK identities,5
27,2021,E01034007,2021 super output areas - lower layer,151,Scottish only identity,2
28,2021,E01034007,2021 super output areas - lower layer,151,Scottish and British only identity,2
29,2021,E01034007,2021 super output areas - lower layer,151,Northern Irish only identity,1
30,2021,E01034007,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
31,2021,E01034007,2021 super output areas - lower layer,151,Cornish only identity,0
32,2021,E01034007,2021 super output areas - lower layer,151,Cornish and British only identity,0
33,2021,E01034007,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
34,2021,E01034007,2021 super output areas - lower layer,151,Irish only identity,5
35,2021,E01034007,2021 super output areas - lower layer,151,Irish and at least one UK identity,2
36,2021,E01034007,2021 super output areas - lower layer,151,Other identity only,73
37,2021,E01034007,2021 super output areas - lower layer,151,Other identity and at least one UK identity,58
38,2021,E01034007,2021 super output areas - lower layer,151,Non-UK identity only,78
39,2021,E01034007,2021 super output areas - lower layer,151,UK identity and non-UK identity,60
40,2021,E01025678,2021 super output areas - lower layer,151,Total: All usual residents,1752
41,2021,E01025678,2021 super output areas - lower layer,151,British only identity,1052
42,2021,E01025678,2021 super output areas - lower layer,151,English only identity,359
43,2021,E01025678,2021 super output areas - lower layer,151,English and British only identity,230
44,2021,E01025678,2021 super output areas - lower layer,151,Welsh only identity,3
45,2021,E01025678,2021 super output areas - lower layer,151,Welsh and British only identity,1
46,2021,E01025678,2021 super output areas - lower layer,151,Any other combination of only UK identities,5
47,2021,E01025678,2021 super output areas - lower layer,151,Scottish only identity,2
48,2021,E01025678,2021 super output areas - lower layer,151,Scottish and British only identity,2
49,2021,E01025678,2021 super output areas - lower layer,151,Northern Irish only identity,0
50,2021,E01025678,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
51,2021,E01025678,2021 super output areas - lower layer,151,Cornish only identity,0
52,2021,E01025678,2021 super output areas - lower layer,151,Cornish and British only identity,0
53,2021,E01025678,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
54,2021,E01025678,2021 super output areas - lower layer,151,Irish only identity,7
55,2021,E01025678,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
56,2021,E01025678,2021 super output areas - lower layer,151,Other identity only,56
57,2021,E01025678,2021 super output areas - lower layer,151,Other identity and at least one UK identity,38
58,2021,E01025678,2021 super output areas - lower layer,151,Non-UK identity only,63
59,2021,E01025678,2021 super output areas - lower layer,151,UK identity and non-UK identity,39
60,2021,E01025683,2021 super output areas - lower layer,151,Total: All usual residents,1645
61,2021,E01025683,2021 super output areas - lower layer,151,British only identity,961
62,2021,E01025683,2021 super output areas - lower layer,151,English only identity,362
63,2021,E01025683,2021 super output areas - lower layer,151,English and British only identity,240
64,2021,E01025683,2021 super output areas - lower layer,151,Welsh only identity,3
65,2021,E01025683,2021 super output areas - lower layer,151,Welsh and British only identity,1
66,2021,E01025683,2021 super output areas - lower layer,151,Any other combination of only UK identities,11
67,2021,E01025683,2021 super output areas - lower layer,151,Scottish only identity,6
68,2021,E01025683,2021 super output areas - lower layer,151,Scottish and British only identity,0
69,2021,E01025683,2021 super output areas - lower layer,151,Northern Irish only identity,1
70,2021,E01025683,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
71,2021,E01025683,2021 super output areas - lower layer,151,Cornish only identity,0
72,2021,E01025683,2021 super output areas - lower layer,151,Cornish and British only identity,0
73,2021,E01025683,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
74,2021,E01025683,2021 super output areas - lower layer,151,Irish only identity,3
75,2021,E01025683,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
76,2021,E01025683,2021 super output areas - lower layer,151,Other identity only,46
77,2021,E01025683,2021 super output areas - lower layer,151,Other identity and at least one UK identity,18
78,2021,E01025683,2021 super output areas - lower layer,151,Non-UK identity only,49
79,2021,E01025683,2021 super output areas - lower layer,151,UK identity and non-UK identity,18
80,2021,E01025684,2021 super output areas - lower layer,151,Total: All usual residents,1864
81,2021,E01025684,2021 super output areas - lower layer,151,British only identity,1041
82,2021,E01025684,2021 super output areas - lower layer,151,English only identity,406
83,2021,E01025684,2021 super output areas - lower layer,151,English and British only identity,243
84,2021,E01025684,2021 super output areas - lower layer,151,Welsh only identity,3
85,2021,E01025684,2021 super output areas - lower layer,151,Welsh and British only identity,1
86,2021,E01025684,2021 super output areas - lower layer,151,Any other combination of only UK identities,9
87,2021,E01025684,2021 super output areas - lower layer,151,Scottish only identity,6
88,2021,E01025684,2021 super output areas - lower layer,151,Scottish and British only identity,1
89,2021,E01025684,2021 super output areas - lower layer,151,Northern Irish only identity,0
90,2021,E01025684,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
91,2021,E01025684,2021 super output areas - lower layer,151,Cornish only identity,0
92,2021,E01025684,2021 super output areas - lower layer,151,Cornish and British only identity,0
93,2021,E01025684,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
94,2021,E01025684,2021 super output areas - lower layer,151,Irish only identity,5
95,2021,E01025684,2021 super output areas - lower layer,151,Irish and at least one UK identity,2
96,2021,E01025684,2021 super output areas - lower layer,151,Other identity only,119
97,2021,E01025684,2021 super output areas - lower layer,151,Other identity and at least one UK identity,35
98,2021,E01025684,2021 super output areas - lower layer,151,Non-UK identity only,124
99,2021,E01025684,2021 super output areas - lower layer,151,UK identity and non-UK identity,37
100,2021,E01025762,2021 super output areas - lower layer,151,Total: All usual residents,1582
101,2021,E01025762,2021 super output areas - lower layer,151,British only identity,939
102,2021,E01025762,2021 super output areas - lower layer,151,English only identity,316
103,2021,E01025762,2021 super output areas - lower layer,151,English and British only identity,191
104,2021,E01025762,2021 super output areas - lower layer,151,Welsh only identity,1
105,2021,E01025762,2021 super output areas - lower layer,151,Welsh and British only identity,0
106,2021,E01025762,2021 super output areas - lower layer,151,Any other combination of only UK identities,2
107,2021,E01025762,2021 super output areas - lower layer,151,Scottish only identity,1
108,2021,E01025762,2021 super output areas - lower layer,151,Scottish and British only identity,0
109,2021,E01025762,2021 super output areas - lower layer,151,Northern Irish only identity,1
110,2021,E01025762,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
111,2021,E01025762,2021 super output areas - lower layer,151,Cornish only identity,0
112,2021,E01025762,2021 super output areas - lower layer,151,Cornish and British only identity,0
113,2021,E01025762,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
114,2021,E01025762,2021 super output areas - lower layer,151,Irish only identity,3
115,2021,E01025762,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
116,2021,E01025762,2021 super output areas - lower layer,151,Other identity only,99
