,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
69,2021,E01021350,2021 super output areas - lower layer,151,Total: All usual residents,1819
70,2021,E01021350,2021 super output areas - lower layer,151,Born in the UK,1658
71,2021,E01021350,2021 super output areas - lower layer,151,Arrived before 1951,3
72,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
73,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1961 to 1970,12
74,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1971 to 1980,12
75,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1981 to 1990,11
76,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1991 to 2000,20
77,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2001 to 2010,45
78,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2011 to 2013,15
79,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2014 to 2016,15
80,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2017 to 2019,18
81,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2020 to 2021,4
82,2021,E01021353,2021 super output areas - lower layer,151,Total: All usual residents,1760
83,2021,E01021353,2021 super output areas - lower layer,151,Born in the UK,1602
84,2021,E01021353,2021 super output areas - lower layer,151,Arrived before 1951,5
85,2021,E01021353,2021 super output areas - lower layer,151,Arrived 1951 to 1960,5
86,2021,E01021353,2021 super output areas - lower layer,151,Arrived 1961 to 1970,10
87,2021,E01021353,2021 super output areas - lower layer,151,Arrived 1971 to 1980,5
88,2021,E01021353,2021 super output areas - lower layer,151,Arrived 1981 to 1990,10
89,2021,E01021353,2021 super output areas - lower layer,151,Arrived 1991 to 2000,19
90,2021,E01021353,2021 super output areas - lower layer,151,Arrived 2001 to 2010,51
91,2021,E01021353,2021 super output areas - lower layer,151,Arrived 2011 to 2013,16
92,2021,E01021353,2021 super output areas - lower layer,151,Arrived 2014 to 2016,14
93,2021,E01021353,2021 super output areas - lower layer,151,Arrived 2017 to 2019,18
94,2021,E01021353,2021 super output areas - lower layer,151,Arrived 2020 to 2021,5
95,2021,E01021365,2021 super output areas - lower layer,151,Total: All usual residents,2473
96,2021,E01021365,2021 super output areas - lower layer,151,Born in the UK,2064
97,2021,E01021365,2021 super output areas - lower layer,151,Arrived before 1951,5
98,2021,E01021365,2021 super output areas - lower layer,151,Arrived 1951 to 1960,5
99,2021,E01021365,2021 super output areas - lower layer,151,Arrived 1961 to 1970,14
100,2021,E01021365,2021 super output areas - lower layer,151,Arrived 1971 to 1980,12
101,2021,E01021365,2021 super output areas - lower layer,151,Arrived 1981 to 1990,10
102,2021,E01021365,2021 super output areas - lower layer,151,Arrived 1991 to 2000,24
103,2021,E01021365,2021 super output areas - lower layer,151,Arrived 2001 to 2010,107
