,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGEARRUK_18_NAME,OBS_VALUE
0,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 30 to 44 years,174
1,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 45 to 59 years,46
2,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 60 to 64 years,6
3,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 65 to 74 years,8
4,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 75 to 84 years,4
5,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 85 to 89 years,0
6,2021,E01001329,2021 super output areas - lower layer,151,Arrived in the UK: Aged 90 years and over,0
7,2021,E01001331,2021 super output areas - lower layer,151,Total: All usual residents,1796
8,2021,E01001331,2021 super output areas - lower layer,151,Born in the UK,919
9,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK,877
10,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 0 to 4 years,90
11,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 5 to 7 years,33
12,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 8 to 9 years,42
13,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 10 to 14 years,57
14,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 15 years,14
15,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 16 to 17 years,25
16,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 18 to 19 years,42
17,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 20 to 24 years,139
18,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 25 to 29 years,194
19,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 30 to 44 years,191
20,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 45 to 59 years,36
21,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 60 to 64 years,5
22,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 65 to 74 years,8
23,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 75 to 84 years,1
24,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 85 to 89 years,0
25,2021,E01001331,2021 super output areas - lower layer,151,Arrived in the UK: Aged 90 years and over,0
26,2021,E01001258,2021 super output areas - lower layer,151,Total: All usual residents,1870
27,2021,E01001258,2021 super output areas - lower layer,151,Born in the UK,919
28,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK,951
29,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 0 to 4 years,75
30,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 5 to 7 years,37
31,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 8 to 9 years,26
32,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 10 to 14 years,74
33,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 15 years,17
34,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 16 to 17 years,32
35,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 18 to 19 years,68
36,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 20 to 24 years,198
37,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 25 to 29 years,176
38,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 30 to 44 years,186
39,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 45 to 59 years,48
40,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 60 to 64 years,5
41,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 65 to 74 years,8
42,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 75 to 84 years,1
43,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 85 to 89 years,0
44,2021,E01001258,2021 super output areas - lower layer,151,Arrived in the UK: Aged 90 years and over,0
45,2021,E01001262,2021 super output areas - lower layer,151,Total: All usual residents,1620
46,2021,E01001262,2021 super output areas - lower layer,151,Born in the UK,838
47,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK,782
48,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 0 to 4 years,59
49,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 5 to 7 years,41
50,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 8 to 9 years,26
51,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 10 to 14 years,60
52,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 15 years,13
53,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 16 to 17 years,37
54,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 18 to 19 years,49
55,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 20 to 24 years,147
56,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 25 to 29 years,124
57,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 30 to 44 years,160
58,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 45 to 59 years,45
59,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 60 to 64 years,10
60,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 65 to 74 years,11
61,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 75 to 84 years,0
62,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 85 to 89 years,0
63,2021,E01001262,2021 super output areas - lower layer,151,Arrived in the UK: Aged 90 years and over,0
64,2021,E01001263,2021 super output areas - lower layer,151,Total: All usual residents,1950
65,2021,E01001263,2021 super output areas - lower layer,151,Born in the UK,1024
66,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK,926
67,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 0 to 4 years,54
68,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 5 to 7 years,31
69,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 8 to 9 years,23
70,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 10 to 14 years,83
71,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 15 years,17
72,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 16 to 17 years,43
73,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 18 to 19 years,57
74,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 20 to 24 years,192
75,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 25 to 29 years,161
76,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 30 to 44 years,190
77,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 45 to 59 years,58
78,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 60 to 64 years,7
79,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 65 to 74 years,6
80,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 75 to 84 years,4
81,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 85 to 89 years,0
82,2021,E01001263,2021 super output areas - lower layer,151,Arrived in the UK: Aged 90 years and over,0
