,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,W01000122,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,0
1,2021,W01000122,2021 super output areas - lower layer,151,Africa,5
2,2021,W01000122,2021 super output areas - lower layer,151,Middle East and Asia,6
3,2021,W01000122,2021 super output areas - lower layer,151,The Americas and the Caribbean,6
4,2021,W01000122,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,3
5,2021,W01000122,2021 super output areas - lower layer,151,British Overseas,0
6,2021,W01000159,2021 super output areas - lower layer,151,Total: All usual residents,1426
7,2021,W01000159,2021 super output areas - lower layer,151,Europe,1415
8,2021,W01000159,2021 super output areas - lower layer,151,Europe: United Kingdom,1387
9,2021,W01000159,2021 super output areas - lower layer,151,Europe: EU countries,27
10,2021,W01000159,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,26
11,2021,W01000159,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,1
12,2021,W01000159,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,0
13,2021,W01000159,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
14,2021,W01000159,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,1
15,2021,W01000159,2021 super output areas - lower layer,151,Africa,3
16,2021,W01000159,2021 super output areas - lower layer,151,Middle East and Asia,4
17,2021,W01000159,2021 super output areas - lower layer,151,The Americas and the Caribbean,3
18,2021,W01000159,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
19,2021,W01000159,2021 super output areas - lower layer,151,British Overseas,0
20,2021,W01000162,2021 super output areas - lower layer,151,Total: All usual residents,1819
21,2021,W01000162,2021 super output areas - lower layer,151,Europe,1790
22,2021,W01000162,2021 super output areas - lower layer,151,Europe: United Kingdom,1772
23,2021,W01000162,2021 super output areas - lower layer,151,Europe: EU countries,17
24,2021,W01000162,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,11
25,2021,W01000162,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,2
26,2021,W01000162,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,3
27,2021,W01000162,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
28,2021,W01000162,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,1
29,2021,W01000162,2021 super output areas - lower layer,151,Africa,8
30,2021,W01000162,2021 super output areas - lower layer,151,Middle East and Asia,5
31,2021,W01000162,2021 super output areas - lower layer,151,The Americas and the Caribbean,13
32,2021,W01000162,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,3
33,2021,W01000162,2021 super output areas - lower layer,151,British Overseas,0
34,2021,W01000190,2021 super output areas - lower layer,151,Total: All usual residents,1400
35,2021,W01000190,2021 super output areas - lower layer,151,Europe,1390
36,2021,W01000190,2021 super output areas - lower layer,151,Europe: United Kingdom,1361
37,2021,W01000190,2021 super output areas - lower layer,151,Europe: EU countries,28
38,2021,W01000190,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,13
39,2021,W01000190,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,9
40,2021,W01000190,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,4
41,2021,W01000190,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
42,2021,W01000190,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,1
43,2021,W01000190,2021 super output areas - lower layer,151,Africa,1
44,2021,W01000190,2021 super output areas - lower layer,151,Middle East and Asia,3
45,2021,W01000190,2021 super output areas - lower layer,151,The Americas and the Caribbean,2
46,2021,W01000190,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,3
47,2021,W01000190,2021 super output areas - lower layer,151,British Overseas,1
48,2021,W01000121,2021 super output areas - lower layer,151,Total: All usual residents,1149
49,2021,W01000121,2021 super output areas - lower layer,151,Europe,1120
50,2021,W01000121,2021 super output areas - lower layer,151,Europe: United Kingdom,1099
51,2021,W01000121,2021 super output areas - lower layer,151,Europe: EU countries,18
52,2021,W01000121,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,9
53,2021,W01000121,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,7
54,2021,W01000121,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,1
55,2021,W01000121,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
56,2021,W01000121,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
57,2021,W01000121,2021 super output areas - lower layer,151,Africa,5
58,2021,W01000121,2021 super output areas - lower layer,151,Middle East and Asia,12
59,2021,W01000121,2021 super output areas - lower layer,151,The Americas and the Caribbean,10
60,2021,W01000121,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
61,2021,W01000121,2021 super output areas - lower layer,151,British Overseas,0
62,2021,W01000134,2021 super output areas - lower layer,151,Total: All usual residents,2045
63,2021,W01000134,2021 super output areas - lower layer,151,Europe,2015
64,2021,W01000134,2021 super output areas - lower layer,151,Europe: United Kingdom,1965
65,2021,W01000134,2021 super output areas - lower layer,151,Europe: EU countries,42
66,2021,W01000134,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,20
67,2021,W01000134,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,16
68,2021,W01000134,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,6
69,2021,W01000134,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
70,2021,W01000134,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,8
71,2021,W01000134,2021 super output areas - lower layer,151,Africa,8
72,2021,W01000134,2021 super output areas - lower layer,151,Middle East and Asia,6
73,2021,W01000134,2021 super output areas - lower layer,151,The Americas and the Caribbean,4
74,2021,W01000134,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,12
75,2021,W01000134,2021 super output areas - lower layer,151,British Overseas,0
76,2021,W01000137,2021 super output areas - lower layer,151,Total: All usual residents,1539
77,2021,W01000137,2021 super output areas - lower layer,151,Europe,1519
78,2021,W01000137,2021 super output areas - lower layer,151,Europe: United Kingdom,1497
79,2021,W01000137,2021 super output areas - lower layer,151,Europe: EU countries,22
80,2021,W01000137,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,18
81,2021,W01000137,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,3
82,2021,W01000137,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,1
83,2021,W01000137,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
84,2021,W01000137,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,0
85,2021,W01000137,2021 super output areas - lower layer,151,Africa,5
86,2021,W01000137,2021 super output areas - lower layer,151,Middle East and Asia,6
87,2021,W01000137,2021 super output areas - lower layer,151,The Americas and the Caribbean,4
88,2021,W01000137,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,5
89,2021,W01000137,2021 super output areas - lower layer,151,British Overseas,0
90,2021,W01000148,2021 super output areas - lower layer,151,Total: All usual residents,1084
91,2021,W01000148,2021 super output areas - lower layer,151,Europe,1075
92,2021,W01000148,2021 super output areas - lower layer,151,Europe: United Kingdom,1040
93,2021,W01000148,2021 super output areas - lower layer,151,Europe: EU countries,33
94,2021,W01000148,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,16
95,2021,W01000148,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,9
96,2021,W01000148,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,7
97,2021,W01000148,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
98,2021,W01000148,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,2
99,2021,W01000148,2021 super output areas - lower layer,151,Africa,2
100,2021,W01000148,2021 super output areas - lower layer,151,Middle East and Asia,3
101,2021,W01000148,2021 super output areas - lower layer,151,The Americas and the Caribbean,3
102,2021,W01000148,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
103,2021,W01000148,2021 super output areas - lower layer,151,British Overseas,0
104,2021,W01000185,2021 super output areas - lower layer,151,Total: All usual residents,1238
105,2021,W01000185,2021 super output areas - lower layer,151,Europe,1217
106,2021,W01000185,2021 super output areas - lower layer,151,Europe: United Kingdom,1196
107,2021,W01000185,2021 super output areas - lower layer,151,Europe: EU countries,16
108,2021,W01000185,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,13
109,2021,W01000185,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,3
110,2021,W01000185,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,0
111,2021,W01000185,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
112,2021,W01000185,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,5
113,2021,W01000185,2021 super output areas - lower layer,151,Africa,6
114,2021,W01000185,2021 super output areas - lower layer,151,Middle East and Asia,12
115,2021,W01000185,2021 super output areas - lower layer,151,The Americas and the Caribbean,2
116,2021,W01000185,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
117,2021,W01000185,2021 super output areas - lower layer,151,British Overseas,0
118,2021,W01000189,2021 super output areas - lower layer,151,Total: All usual residents,1470
119,2021,W01000189,2021 super output areas - lower layer,151,Europe,1445
120,2021,W01000189,2021 super output areas - lower layer,151,Europe: United Kingdom,1417
121,2021,W01000189,2021 super output areas - lower layer,151,Europe: EU countries,26
122,2021,W01000189,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,20
123,2021,W01000189,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,6
124,2021,W01000189,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,0
125,2021,W01000189,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
126,2021,W01000189,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,2
127,2021,W01000189,2021 super output areas - lower layer,151,Africa,12
128,2021,W01000189,2021 super output areas - lower layer,151,Middle East and Asia,6
