,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
70,2021,E01000690,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",76
71,2021,E01000691,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,782
72,2021,E01000691,2021 super output areas - lower layer,151,Less than 2km,44
73,2021,E01000691,2021 super output areas - lower layer,151,2km to less than 5km,68
74,2021,E01000691,2021 super output areas - lower layer,151,5km to less than 10km,84
75,2021,E01000691,2021 super output areas - lower layer,151,10km to less than 20km,103
76,2021,E01000691,2021 super output areas - lower layer,151,20km to less than 30km,7
77,2021,E01000691,2021 super output areas - lower layer,151,30km to less than 40km,3
78,2021,E01000691,2021 super output areas - lower layer,151,40km to less than 60km,1
79,2021,E01000691,2021 super output areas - lower layer,151,60km and over,4
80,2021,E01000691,2021 super output areas - lower layer,151,Works mainly from home,356
81,2021,E01000691,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",112
82,2021,E01000692,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,831
83,2021,E01000692,2021 super output areas - lower layer,151,Less than 2km,34
84,2021,E01000692,2021 super output areas - lower layer,151,2km to less than 5km,80
85,2021,E01000692,2021 super output areas - lower layer,151,5km to less than 10km,77
86,2021,E01000692,2021 super output areas - lower layer,151,10km to less than 20km,102
87,2021,E01000692,2021 super output areas - lower layer,151,20km to less than 30km,17
88,2021,E01000692,2021 super output areas - lower layer,151,30km to less than 40km,8
89,2021,E01000692,2021 super output areas - lower layer,151,40km to less than 60km,5
90,2021,E01000692,2021 super output areas - lower layer,151,60km and over,1
91,2021,E01000692,2021 super output areas - lower layer,151,Works mainly from home,396
92,2021,E01000692,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",111
93,2021,E01000784,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,787
94,2021,E01000784,2021 super output areas - lower layer,151,Less than 2km,34
95,2021,E01000784,2021 super output areas - lower layer,151,2km to less than 5km,80
96,2021,E01000784,2021 super output areas - lower layer,151,5km to less than 10km,74
