,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E01006717,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",28
1,2021,E01006717,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
2,2021,E01006717,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,106
3,2021,E01006717,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,106
4,2021,E01006717,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
5,2021,E01006717,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,56
6,2021,E01006717,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,56
7,2021,E01006717,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
8,2021,E01006718,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1285
9,2021,E01006718,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,626
10,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership,457
11,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,455
12,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,453
13,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,2
14,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,2
15,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
16,2021,E01006718,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
17,2021,E01006718,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",23
18,2021,E01006718,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",23
19,2021,E01006718,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
20,2021,E01006718,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,101
21,2021,E01006718,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,101
22,2021,E01006718,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
23,2021,E01006718,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,78
24,2021,E01006718,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,78
25,2021,E01006718,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
26,2021,E01006719,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1114
27,2021,E01006719,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,536
28,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership,398
29,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,397
30,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,396
31,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,1
32,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,1
33,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
34,2021,E01006719,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,1
35,2021,E01006719,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",17
36,2021,E01006719,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",17
37,2021,E01006719,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
38,2021,E01006719,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,102
39,2021,E01006719,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,102
40,2021,E01006719,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
41,2021,E01006719,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,61
42,2021,E01006719,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,61
43,2021,E01006719,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
44,2021,E01032508,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1436
45,2021,E01032508,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,811
46,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership,377
47,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,377
48,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,373
49,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,4
50,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,0
51,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
52,2021,E01032508,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
53,2021,E01032508,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",50
54,2021,E01032508,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",50
55,2021,E01032508,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
56,2021,E01032508,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,134
57,2021,E01032508,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,126
