,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
0,2021,E01017393,2021 super output areas - lower layer,151,Not a student,1602
1,2021,E01017442,2021 super output areas - lower layer,151,Total,2606
2,2021,E01017442,2021 super output areas - lower layer,151,Student,558
3,2021,E01017442,2021 super output areas - lower layer,151,Not a student,2048
4,2021,E01017443,2021 super output areas - lower layer,151,Total,1514
5,2021,E01017443,2021 super output areas - lower layer,151,Student,240
6,2021,E01017443,2021 super output areas - lower layer,151,Not a student,1274
7,2021,E01017446,2021 super output areas - lower layer,151,Total,1686
8,2021,E01017446,2021 super output areas - lower layer,151,Student,297
9,2021,E01017446,2021 super output areas - lower layer,151,Not a student,1389
10,2021,E01017447,2021 super output areas - lower layer,151,Total,2412
11,2021,E01017447,2021 super output areas - lower layer,151,Student,450
12,2021,E01017447,2021 super output areas - lower layer,151,Not a student,1962
13,2021,E01017449,2021 super output areas - lower layer,151,Total,2000
14,2021,E01017449,2021 super output areas - lower layer,151,Student,393
15,2021,E01017449,2021 super output areas - lower layer,151,Not a student,1607
16,2021,E01033188,2021 super output areas - lower layer,151,Total,1419
17,2021,E01033188,2021 super output areas - lower layer,151,Student,281
18,2021,E01033188,2021 super output areas - lower layer,151,Not a student,1138
19,2021,E01033189,2021 super output areas - lower layer,151,Total,2641
20,2021,E01033189,2021 super output areas - lower layer,151,Student,658
21,2021,E01033189,2021 super output areas - lower layer,151,Not a student,1983
22,2021,E01033190,2021 super output areas - lower layer,151,Total,1425
23,2021,E01033190,2021 super output areas - lower layer,151,Student,345
24,2021,E01033190,2021 super output areas - lower layer,151,Not a student,1080
25,2021,E01017399,2021 super output areas - lower layer,151,Total,1376
26,2021,E01017399,2021 super output areas - lower layer,151,Student,257
27,2021,E01017399,2021 super output areas - lower layer,151,Not a student,1119
28,2021,E01017400,2021 super output areas - lower layer,151,Total,1467
29,2021,E01017400,2021 super output areas - lower layer,151,Student,291
30,2021,E01017400,2021 super output areas - lower layer,151,Not a student,1176
31,2021,E01017401,2021 super output areas - lower layer,151,Total,1142
32,2021,E01017401,2021 super output areas - lower layer,151,Student,198
33,2021,E01017401,2021 super output areas - lower layer,151,Not a student,944
34,2021,E01017402,2021 super output areas - lower layer,151,Total,1480
35,2021,E01017402,2021 super output areas - lower layer,151,Student,208
36,2021,E01017402,2021 super output areas - lower layer,151,Not a student,1272
37,2021,E01017403,2021 super output areas - lower layer,151,Total,1356
38,2021,E01017403,2021 super output areas - lower layer,151,Student,211
39,2021,E01017403,2021 super output areas - lower layer,151,Not a student,1145
40,2021,E01017404,2021 super output areas - lower layer,151,Total,1204
41,2021,E01017404,2021 super output areas - lower layer,151,Student,204
42,2021,E01017404,2021 super output areas - lower layer,151,Not a student,1000
43,2021,E01017405,2021 super output areas - lower layer,151,Total,1303
44,2021,E01017405,2021 super output areas - lower layer,151,Student,214
45,2021,E01017405,2021 super output areas - lower layer,151,Not a student,1089
46,2021,E01017406,2021 super output areas - lower layer,151,Total,2366
47,2021,E01017406,2021 super output areas - lower layer,151,Student,456
48,2021,E01017406,2021 super output areas - lower layer,151,Not a student,1910
49,2021,E01017407,2021 super output areas - lower layer,151,Total,1417
50,2021,E01017407,2021 super output areas - lower layer,151,Student,222
