,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
75,2021,E01021618,2021 super output areas - lower layer,151,Irish and at least one UK identity,2
76,2021,E01021618,2021 super output areas - lower layer,151,Other identity only,70
77,2021,E01021618,2021 super output areas - lower layer,151,Other identity and at least one UK identity,13
78,2021,E01021618,2021 super output areas - lower layer,151,Non-UK identity only,74
79,2021,E01021618,2021 super output areas - lower layer,151,UK identity and non-UK identity,15
80,2021,E01021621,2021 super output areas - lower layer,151,Total: All usual residents,1580
81,2021,E01021621,2021 super output areas - lower layer,151,British only identity,841
82,2021,E01021621,2021 super output areas - lower layer,151,English only identity,266
83,2021,E01021621,2021 super output areas - lower layer,151,English and British only identity,269
84,2021,E01021621,2021 super output areas - lower layer,151,Welsh only identity,2
85,2021,E01021621,2021 super output areas - lower layer,151,Welsh and British only identity,0
86,2021,E01021621,2021 super output areas - lower layer,151,Any other combination of only UK identities,16
87,2021,E01021621,2021 super output areas - lower layer,151,Scottish only identity,3
88,2021,E01021621,2021 super output areas - lower layer,151,Scottish and British only identity,3
89,2021,E01021621,2021 super output areas - lower layer,151,Northern Irish only identity,1
90,2021,E01021621,2021 super output areas - lower layer,151,Northern Irish and British only identity,4
91,2021,E01021621,2021 super output areas - lower layer,151,Cornish only identity,2
92,2021,E01021621,2021 super output areas - lower layer,151,Cornish and British only identity,0
93,2021,E01021621,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
94,2021,E01021621,2021 super output areas - lower layer,151,Irish only identity,3
95,2021,E01021621,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
96,2021,E01021621,2021 super output areas - lower layer,151,Other identity only,154
97,2021,E01021621,2021 super output areas - lower layer,151,Other identity and at least one UK identity,29
98,2021,E01021621,2021 super output areas - lower layer,151,Non-UK identity only,157
99,2021,E01021621,2021 super output areas - lower layer,151,UK identity and non-UK identity,29
100,2021,E01021622,2021 super output areas - lower layer,151,Total: All usual residents,1523
101,2021,E01021622,2021 super output areas - lower layer,151,British only identity,852
102,2021,E01021622,2021 super output areas - lower layer,151,English only identity,307
103,2021,E01021622,2021 super output areas - lower layer,151,English and British only identity,233
104,2021,E01021622,2021 super output areas - lower layer,151,Welsh only identity,7
105,2021,E01021622,2021 super output areas - lower layer,151,Welsh and British only identity,2
106,2021,E01021622,2021 super output areas - lower layer,151,Any other combination of only UK identities,18
107,2021,E01021622,2021 super output areas - lower layer,151,Scottish only identity,8
108,2021,E01021622,2021 super output areas - lower layer,151,Scottish and British only identity,3
109,2021,E01021622,2021 super output areas - lower layer,151,Northern Irish only identity,2
110,2021,E01021622,2021 super output areas - lower layer,151,Northern Irish and British only identity,3
111,2021,E01021622,2021 super output areas - lower layer,151,Cornish only identity,0
112,2021,E01021622,2021 super output areas - lower layer,151,Cornish and British only identity,0
113,2021,E01021622,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
114,2021,E01021622,2021 super output areas - lower layer,151,Irish only identity,5
115,2021,E01021622,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
116,2021,E01021622,2021 super output areas - lower layer,151,Other identity only,72
117,2021,E01021622,2021 super output areas - lower layer,151,Other identity and at least one UK identity,26
118,2021,E01021622,2021 super output areas - lower layer,151,Non-UK identity only,77
119,2021,E01021622,2021 super output areas - lower layer,151,UK identity and non-UK identity,27
120,2021,E01021625,2021 super output areas - lower layer,151,Total: All usual residents,1448
121,2021,E01021625,2021 super output areas - lower layer,151,British only identity,825
122,2021,E01021625,2021 super output areas - lower layer,151,English only identity,281
123,2021,E01021625,2021 super output areas - lower layer,151,English and British only identity,230
124,2021,E01021625,2021 super output areas - lower layer,151,Welsh only identity,6
125,2021,E01021625,2021 super output areas - lower layer,151,Welsh and British only identity,3
126,2021,E01021625,2021 super output areas - lower layer,151,Any other combination of only UK identities,8
127,2021,E01021625,2021 super output areas - lower layer,151,Scottish only identity,3
128,2021,E01021625,2021 super output areas - lower layer,151,Scottish and British only identity,2
