,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,E01011713,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,6
1,2021,E01011713,2021 super output areas - lower layer,151,Africa,11
2,2021,E01011713,2021 super output areas - lower layer,151,Middle East and Asia,36
3,2021,E01011713,2021 super output areas - lower layer,151,The Americas and the Caribbean,14
4,2021,E01011713,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,5
5,2021,E01011713,2021 super output areas - lower layer,151,British Overseas,1
6,2021,E01011570,2021 super output areas - lower layer,151,Total: All usual residents,2305
7,2021,E01011570,2021 super output areas - lower layer,151,Europe,2245
8,2021,E01011570,2021 super output areas - lower layer,151,Europe: United Kingdom,2196
9,2021,E01011570,2021 super output areas - lower layer,151,Europe: EU countries,46
10,2021,E01011570,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,35
11,2021,E01011570,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,6
12,2021,E01011570,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,3
13,2021,E01011570,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
14,2021,E01011570,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
15,2021,E01011570,2021 super output areas - lower layer,151,Africa,25
16,2021,E01011570,2021 super output areas - lower layer,151,Middle East and Asia,22
17,2021,E01011570,2021 super output areas - lower layer,151,The Americas and the Caribbean,9
18,2021,E01011570,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,4
19,2021,E01011570,2021 super output areas - lower layer,151,British Overseas,0
20,2021,E01011576,2021 super output areas - lower layer,151,Total: All usual residents,1460
21,2021,E01011576,2021 super output areas - lower layer,151,Europe,1382
22,2021,E01011576,2021 super output areas - lower layer,151,Europe: United Kingdom,1350
23,2021,E01011576,2021 super output areas - lower layer,151,Europe: EU countries,29
24,2021,E01011576,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,20
25,2021,E01011576,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,5
26,2021,E01011576,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,0
27,2021,E01011576,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,4
28,2021,E01011576,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
29,2021,E01011576,2021 super output areas - lower layer,151,Africa,11
30,2021,E01011576,2021 super output areas - lower layer,151,Middle East and Asia,46
31,2021,E01011576,2021 super output areas - lower layer,151,The Americas and the Caribbean,9
32,2021,E01011576,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,7
33,2021,E01011576,2021 super output areas - lower layer,151,British Overseas,5
34,2021,E01032503,2021 super output areas - lower layer,151,Total: All usual residents,1446
35,2021,E01032503,2021 super output areas - lower layer,151,Europe,1406
36,2021,E01032503,2021 super output areas - lower layer,151,Europe: United Kingdom,1384
37,2021,E01032503,2021 super output areas - lower layer,151,Europe: EU countries,19
38,2021,E01032503,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,17
