,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
0,2021,E01011954,2021 super output areas - lower layer,151,Number of households,966
1,2021,E01011969,2021 super output areas - lower layer,151,Number of households,601
2,2021,E01011970,2021 super output areas - lower layer,151,Number of households,485
3,2021,E01011971,2021 super output areas - lower layer,151,Number of households,520
4,2021,E01033465,2021 super output areas - lower layer,151,Number of households,740
5,2021,E01033467,2021 super output areas - lower layer,151,Number of households,1021
6,2021,E01011952,2021 super output areas - lower layer,151,Number of households,665
7,2021,E01011953,2021 super output areas - lower layer,151,Number of households,825
8,2021,E01011991,2021 super output areas - lower layer,151,Number of households,754
9,2021,E01011992,2021 super output areas - lower layer,151,Number of households,851
10,2021,E01011993,2021 super output areas - lower layer,151,Number of households,853
11,2021,E01011994,2021 super output areas - lower layer,151,Number of households,646
12,2021,E01011955,2021 super output areas - lower layer,151,Number of households,582
13,2021,E01011957,2021 super output areas - lower layer,151,Number of households,542
14,2021,E01032540,2021 super output areas - lower layer,151,Number of households,453
15,2021,E01032541,2021 super output areas - lower layer,151,Number of households,979
16,2021,E01033466,2021 super output areas - lower layer,151,Number of households,983
17,2021,E01011951,2021 super output areas - lower layer,151,Number of households,638
18,2021,E01011964,2021 super output areas - lower layer,151,Number of households,494
19,2021,E01011967,2021 super output areas - lower layer,151,Number of households,530
20,2021,E01011999,2021 super output areas - lower layer,151,Number of households,858
21,2021,E01012000,2021 super output areas - lower layer,151,Number of households,720
22,2021,E01011950,2021 super output areas - lower layer,151,Number of households,554
23,2021,E01011986,2021 super output areas - lower layer,151,Number of households,535
24,2021,E01011987,2021 super output areas - lower layer,151,Number of households,606
25,2021,E01012001,2021 super output areas - lower layer,151,Number of households,951
26,2021,E01011949,2021 super output areas - lower layer,151,Number of households,757
27,2021,E01011980,2021 super output areas - lower layer,151,Number of households,774
28,2021,E01011981,2021 super output areas - lower layer,151,Number of households,697
29,2021,E01011984,2021 super output areas - lower layer,151,Number of households,583
30,2021,E01011985,2021 super output areas - lower layer,151,Number of households,573
31,2021,E01011988,2021 super output areas - lower layer,151,Number of households,830
32,2021,E01011989,2021 super output areas - lower layer,151,Number of households,820
33,2021,E01011990,2021 super output areas - lower layer,151,Number of households,752
34,2021,E01011995,2021 super output areas - lower layer,151,Number of households,572
35,2021,E01011996,2021 super output areas - lower layer,151,Number of households,634
36,2021,E01011997,2021 super output areas - lower layer,151,Number of households,819
37,2021,E01011998,2021 super output areas - lower layer,151,Number of households,930
38,2021,E01011961,2021 super output areas - lower layer,151,Number of households,615
39,2021,E01011962,2021 super output areas - lower layer,151,Number of households,612
40,2021,E01011977,2021 super output areas - lower layer,151,Number of households,739
41,2021,E01011978,2021 super output areas - lower layer,151,Number of households,801
42,2021,E01011979,2021 super output areas - lower layer,151,Number of households,624
43,2021,E01011959,2021 super output areas - lower layer,151,Number of households,1132
44,2021,E01011960,2021 super output areas - lower layer,151,Number of households,613
45,2021,E01011963,2021 super output areas - lower layer,151,Number of households,662
46,2021,E01011968,2021 super output areas - lower layer,151,Number of households,949
47,2021,E01011982,2021 super output areas - lower layer,151,Number of households,676
48,2021,E01012003,2021 super output areas - lower layer,151,Number of households,754
49,2021,E01012005,2021 super output areas - lower layer,151,Number of households,722
50,2021,E01011965,2021 super output areas - lower layer,151,Number of households,650
51,2021,E01011966,2021 super output areas - lower layer,151,Number of households,608
52,2021,E01011974,2021 super output areas - lower layer,151,Number of households,905
53,2021,E01011975,2021 super output areas - lower layer,151,Number of households,560
54,2021,E01011983,2021 super output areas - lower layer,151,Number of households,652
55,2021,E01012002,2021 super output areas - lower layer,151,Number of households,632
56,2021,E01035188,2021 super output areas - lower layer,151,Number of households,935
57,2021,E01012068,2021 super output areas - lower layer,151,Number of households,697
58,2021,E01012092,2021 super output areas - lower layer,151,Number of households,631
59,2021,E01012093,2021 super output areas - lower layer,151,Number of households,690
60,2021,E01035189,2021 super output areas - lower layer,151,Number of households,678
61,2021,E01035190,2021 super output areas - lower layer,151,Number of households,649
62,2021,E01035191,2021 super output areas - lower layer,151,Number of households,695
63,2021,E01035192,2021 super output areas - lower layer,151,Number of households,420
64,2021,E01012058,2021 super output areas - lower layer,151,Number of households,773
65,2021,E01012059,2021 super output areas - lower layer,151,Number of households,778
66,2021,E01012060,2021 super output areas - lower layer,151,Number of households,691
67,2021,E01012061,2021 super output areas - lower layer,151,Number of households,502
68,2021,E01012036,2021 super output areas - lower layer,151,Number of households,624
69,2021,E01012037,2021 super output areas - lower layer,151,Number of households,649
70,2021,E01012038,2021 super output areas - lower layer,151,Number of households,602
71,2021,E01012039,2021 super output areas - lower layer,151,Number of households,586
72,2021,E01012040,2021 super output areas - lower layer,151,Number of households,573
73,2021,E01012041,2021 super output areas - lower layer,151,Number of households,609
74,2021,E01012074,2021 super output areas - lower layer,151,Number of households,623
75,2021,E01012075,2021 super output areas - lower layer,151,Number of households,623
76,2021,E01012076,2021 super output areas - lower layer,151,Number of households,513
77,2021,E01012077,2021 super output areas - lower layer,151,Number of households,650
78,2021,E01012088,2021 super output areas - lower layer,151,Number of households,655
79,2021,E01012078,2021 super output areas - lower layer,151,Number of households,630
80,2021,E01012079,2021 super output areas - lower layer,151,Number of households,537
81,2021,E01012080,2021 super output areas - lower layer,151,Number of households,503
82,2021,E01012081,2021 super output areas - lower layer,151,Number of households,664
83,2021,E01012026,2021 super output areas - lower layer,151,Number of households,819
84,2021,E01012027,2021 super output areas - lower layer,151,Number of households,886
85,2021,E01033469,2021 super output areas - lower layer,151,Number of households,903
86,2021,E01012015,2021 super output areas - lower layer,151,Number of households,729
87,2021,E01012016,2021 super output areas - lower layer,151,Number of households,834
88,2021,E01012017,2021 super output areas - lower layer,151,Number of households,728
89,2021,E01012089,2021 super output areas - lower layer,151,Number of households,662
90,2021,E01012090,2021 super output areas - lower layer,151,Number of households,688
91,2021,E01012091,2021 super output areas - lower layer,151,Number of households,712
92,2021,E01012011,2021 super output areas - lower layer,151,Number of households,859
93,2021,E01012012,2021 super output areas - lower layer,151,Number of households,638
94,2021,E01012013,2021 super output areas - lower layer,151,Number of households,614
95,2021,E01012014,2021 super output areas - lower layer,151,Number of households,629
96,2021,E01012053,2021 super output areas - lower layer,151,Number of households,635
97,2021,E01012054,2021 super output areas - lower layer,151,Number of households,637
98,2021,E01012055,2021 super output areas - lower layer,151,Number of households,763
99,2021,E01012056,2021 super output areas - lower layer,151,Number of households,994
100,2021,E01012057,2021 super output areas - lower layer,151,Number of households,748
101,2021,E01012082,2021 super output areas - lower layer,151,Number of households,644
102,2021,E01012083,2021 super output areas - lower layer,151,Number of households,642
103,2021,E01012084,2021 super output areas - lower layer,151,Number of households,724
104,2021,E01012085,2021 super output areas - lower layer,151,Number of households,635
105,2021,E01012018,2021 super output areas - lower layer,151,Number of households,643
106,2021,E01012019,2021 super output areas - lower layer,151,Number of households,559
107,2021,E01012020,2021 super output areas - lower layer,151,Number of households,598
108,2021,E01012021,2021 super output areas - lower layer,151,Number of households,530
109,2021,E01012007,2021 super output areas - lower layer,151,Number of households,648
110,2021,E01012008,2021 super output areas - lower layer,151,Number of households,539
111,2021,E01012009,2021 super output areas - lower layer,151,Number of households,821
112,2021,E01012010,2021 super output areas - lower layer,151,Number of households,549
113,2021,E01012046,2021 super output areas - lower layer,151,Number of households,946
114,2021,E01012047,2021 super output areas - lower layer,151,Number of households,580
115,2021,E01012048,2021 super output areas - lower layer,151,Number of households,753
116,2021,E01012049,2021 super output areas - lower layer,151,Number of households,611
117,2021,E01012050,2021 super output areas - lower layer,151,Number of households,613
118,2021,E01012051,2021 super output areas - lower layer,151,Number of households,500
119,2021,E01012052,2021 super output areas - lower layer,151,Number of households,529
120,2021,E01012022,2021 super output areas - lower layer,151,Number of households,1160
121,2021,E01012023,2021 super output areas - lower layer,151,Number of households,747
122,2021,E01012024,2021 super output areas - lower layer,151,Number of households,687
123,2021,E01012025,2021 super output areas - lower layer,151,Number of households,523
124,2021,E01012065,2021 super output areas - lower layer,151,Number of households,837
125,2021,E01012066,2021 super output areas - lower layer,151,Number of households,729
126,2021,E01012067,2021 super output areas - lower layer,151,Number of households,740
127,2021,E01012042,2021 super output areas - lower layer,151,Number of households,719
128,2021,E01012043,2021 super output areas - lower layer,151,Number of households,609
129,2021,E01012044,2021 super output areas - lower layer,151,Number of households,653
130,2021,E01012045,2021 super output areas - lower layer,151,Number of households,612
131,2021,E01032552,2021 super output areas - lower layer,151,Number of households,667
132,2021,E01035193,2021 super output areas - lower layer,151,Number of households,696
133,2021,E01035194,2021 super output areas - lower layer,151,Number of households,574
134,2021,E01012030,2021 super output areas - lower layer,151,Number of households,633
135,2021,E01012031,2021 super output areas - lower layer,151,Number of households,751
136,2021,E01012032,2021 super output areas - lower layer,151,Number of households,620
137,2021,E01012033,2021 super output areas - lower layer,151,Number of households,626
138,2021,E01012034,2021 super output areas - lower layer,151,Number of households,555
139,2021,E01012035,2021 super output areas - lower layer,151,Number of households,604
140,2021,E01012062,2021 super output areas - lower layer,151,Number of households,765
141,2021,E01012063,2021 super output areas - lower layer,151,Number of households,647
142,2021,E01012071,2021 super output areas - lower layer,151,Number of households,571
143,2021,E01012073,2021 super output areas - lower layer,151,Number of households,592
144,2021,E01032593,2021 super output areas - lower layer,151,Number of households,946
145,2021,E01035195,2021 super output areas - lower layer,151,Number of households,628
146,2021,E01035196,2021 super output areas - lower layer,151,Number of households,582
147,2021,E01012100,2021 super output areas - lower layer,151,Number of households,850
148,2021,E01012101,2021 super output areas - lower layer,151,Number of households,691
149,2021,E01012102,2021 super output areas - lower layer,151,Number of households,979
150,2021,E01012184,2021 super output areas - lower layer,151,Number of households,614
151,2021,E01012105,2021 super output areas - lower layer,151,Number of households,594
152,2021,E01012142,2021 super output areas - lower layer,151,Number of households,709
153,2021,E01012143,2021 super output areas - lower layer,151,Number of households,645
154,2021,E01012144,2021 super output areas - lower layer,151,Number of households,616
155,2021,E01012106,2021 super output areas - lower layer,151,Number of households,593
156,2021,E01012107,2021 super output areas - lower layer,151,Number of households,653
157,2021,E01032560,2021 super output areas - lower layer,151,Number of households,510
158,2021,E01032561,2021 super output areas - lower layer,151,Number of households,630
159,2021,E01012176,2021 super output areas - lower layer,151,Number of households,674
160,2021,E01012177,2021 super output areas - lower layer,151,Number of households,607
161,2021,E01012178,2021 super output areas - lower layer,151,Number of households,602
162,2021,E01012179,2021 super output areas - lower layer,151,Number of households,907
163,2021,E01012180,2021 super output areas - lower layer,151,Number of households,607
164,2021,E01012185,2021 super output areas - lower layer,151,Number of households,618
165,2021,E01012186,2021 super output areas - lower layer,151,Number of households,750
166,2021,E01012127,2021 super output areas - lower layer,151,Number of households,520
167,2021,E01012128,2021 super output areas - lower layer,151,Number of households,634
168,2021,E01012129,2021 super output areas - lower layer,151,Number of households,1010
169,2021,E01012130,2021 super output areas - lower layer,151,Number of households,586
170,2021,E01012131,2021 super output areas - lower layer,151,Number of households,644
171,2021,E01012138,2021 super output areas - lower layer,151,Number of households,1168
172,2021,E01012139,2021 super output areas - lower layer,151,Number of households,772
173,2021,E01012140,2021 super output areas - lower layer,151,Number of households,601
174,2021,E01012141,2021 super output areas - lower layer,151,Number of households,487
175,2021,E01012154,2021 super output areas - lower layer,151,Number of households,590
176,2021,E01012155,2021 super output areas - lower layer,151,Number of households,874
177,2021,E01012156,2021 super output areas - lower layer,151,Number of households,720
178,2021,E01012157,2021 super output areas - lower layer,151,Number of households,742
179,2021,E01012158,2021 super output areas - lower layer,151,Number of households,649
180,2021,E01012159,2021 super output areas - lower layer,151,Number of households,819
181,2021,E01012160,2021 super output areas - lower layer,151,Number of households,729
182,2021,E01012161,2021 super output areas - lower layer,151,Number of households,670
183,2021,E01012113,2021 super output areas - lower layer,151,Number of households,543
184,2021,E01012114,2021 super output areas - lower layer,151,Number of households,640
185,2021,E01012175,2021 super output areas - lower layer,151,Number of households,650
186,2021,E01033471,2021 super output areas - lower layer,151,Number of households,840
187,2021,E01012095,2021 super output areas - lower layer,151,Number of households,529
188,2021,E01012097,2021 super output areas - lower layer,151,Number of households,508
189,2021,E01012098,2021 super output areas - lower layer,151,Number of households,679
190,2021,E01012099,2021 super output areas - lower layer,151,Number of households,663
191,2021,E01012108,2021 super output areas - lower layer,151,Number of households,615
192,2021,E01012109,2021 super output areas - lower layer,151,Number of households,615
193,2021,E01012110,2021 super output areas - lower layer,151,Number of households,611
194,2021,E01012111,2021 super output areas - lower layer,151,Number of households,624
195,2021,E01012171,2021 super output areas - lower layer,151,Number of households,719
196,2021,E01012172,2021 super output areas - lower layer,151,Number of households,613
197,2021,E01012162,2021 super output areas - lower layer,151,Number of households,620
198,2021,E01012163,2021 super output areas - lower layer,151,Number of households,962
199,2021,E01012164,2021 super output areas - lower layer,151,Number of households,741
200,2021,E01012165,2021 super output areas - lower layer,151,Number of households,1062
201,2021,E01012096,2021 super output areas - lower layer,151,Number of households,674
202,2021,E01012136,2021 super output areas - lower layer,151,Number of households,637
203,2021,E01033473,2021 super output areas - lower layer,151,Number of households,912
204,2021,E01012112,2021 super output areas - lower layer,151,Number of households,715
205,2021,E01012145,2021 super output areas - lower layer,151,Number of households,659
206,2021,E01012147,2021 super output areas - lower layer,151,Number of households,741
