,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
97,2021,E01016336,2021 super output areas - lower layer,151,Number of households,533
98,2021,E01016333,2021 super output areas - lower layer,151,Number of households,505
99,2021,E01016335,2021 super output areas - lower layer,151,Number of households,600
100,2021,E01016337,2021 super output areas - lower layer,151,Number of households,918
101,2021,E01016338,2021 super output areas - lower layer,151,Number of households,741
102,2021,E01016300,2021 super output areas - lower layer,151,Number of households,637
103,2021,E01016301,2021 super output areas - lower layer,151,Number of households,870
104,2021,E01016302,2021 super output areas - lower layer,151,Number of households,640
105,2021,E01016326,2021 super output areas - lower layer,151,Number of households,563
106,2021,E01016346,2021 super output areas - lower layer,151,Number of households,782
107,2021,E01016348,2021 super output areas - lower layer,151,Number of households,1110
108,2021,E01033852,2021 super output areas - lower layer,151,Number of households,654
109,2021,E01033853,2021 super output areas - lower layer,151,Number of households,682
110,2021,E01033854,2021 super output areas - lower layer,151,Number of households,797
111,2021,E01033855,2021 super output areas - lower layer,151,Number of households,712
112,2021,E01033856,2021 super output areas - lower layer,151,Number of households,613
113,2021,E01016294,2021 super output areas - lower layer,151,Number of households,652
114,2021,E01016295,2021 super output areas - lower layer,151,Number of households,621
115,2021,E01016312,2021 super output areas - lower layer,151,Number of households,878
116,2021,E01016319,2021 super output areas - lower layer,151,Number of households,847
117,2021,E01016320,2021 super output areas - lower layer,151,Number of households,662
118,2021,E01016289,2021 super output areas - lower layer,151,Number of households,581
119,2021,E01016290,2021 super output areas - lower layer,151,Number of households,627
120,2021,E01016291,2021 super output areas - lower layer,151,Number of households,736
121,2021,E01016292,2021 super output areas - lower layer,151,Number of households,608
122,2021,E01016321,2021 super output areas - lower layer,151,Number of households,685
123,2021,E01016322,2021 super output areas - lower layer,151,Number of households,512
124,2021,E01016307,2021 super output areas - lower layer,151,Number of households,730
125,2021,E01016308,2021 super output areas - lower layer,151,Number of households,804
126,2021,E01016309,2021 super output areas - lower layer,151,Number of households,964
127,2021,E01016407,2021 super output areas - lower layer,151,Number of households,653
128,2021,E01016408,2021 super output areas - lower layer,151,Number of households,576
129,2021,E01016410,2021 super output areas - lower layer,151,Number of households,715
130,2021,E01016411,2021 super output areas - lower layer,151,Number of households,668
