,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
0,2021,E01001175,2021 super output areas - lower layer,151,10 years or more,531
1,2021,E01001175,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",119
2,2021,E01001175,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",111
3,2021,E01001175,2021 super output areas - lower layer,151,Less than 2 years,89
4,2021,E01001176,2021 super output areas - lower layer,151,Total: All usual residents,1847
5,2021,E01001176,2021 super output areas - lower layer,151,Born in the UK,995
6,2021,E01001176,2021 super output areas - lower layer,151,10 years or more,588
7,2021,E01001176,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",132
8,2021,E01001176,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",60
9,2021,E01001176,2021 super output areas - lower layer,151,Less than 2 years,72
10,2021,E01001182,2021 super output areas - lower layer,151,Total: All usual residents,1357
11,2021,E01001182,2021 super output areas - lower layer,151,Born in the UK,623
12,2021,E01001182,2021 super output areas - lower layer,151,10 years or more,523
13,2021,E01001182,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",94
14,2021,E01001182,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",69
15,2021,E01001182,2021 super output areas - lower layer,151,Less than 2 years,48
16,2021,E01001183,2021 super output areas - lower layer,151,Total: All usual residents,1818
17,2021,E01001183,2021 super output areas - lower layer,151,Born in the UK,867
18,2021,E01001183,2021 super output areas - lower layer,151,10 years or more,612
19,2021,E01001183,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",154
20,2021,E01001183,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",97
21,2021,E01001183,2021 super output areas - lower layer,151,Less than 2 years,88
22,2021,E01001184,2021 super output areas - lower layer,151,Total: All usual residents,1299
23,2021,E01001184,2021 super output areas - lower layer,151,Born in the UK,674
24,2021,E01001184,2021 super output areas - lower layer,151,10 years or more,457
25,2021,E01001184,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",74
26,2021,E01001184,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",53
27,2021,E01001184,2021 super output areas - lower layer,151,Less than 2 years,41
28,2021,E01001001,2021 super output areas - lower layer,151,Total: All usual residents,1412
29,2021,E01001001,2021 super output areas - lower layer,151,Born in the UK,735
30,2021,E01001001,2021 super output areas - lower layer,151,10 years or more,391
31,2021,E01001001,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",123
32,2021,E01001001,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",96
33,2021,E01001001,2021 super output areas - lower layer,151,Less than 2 years,67
34,2021,E01001109,2021 super output areas - lower layer,151,Total: All usual residents,2350
35,2021,E01001109,2021 super output areas - lower layer,151,Born in the UK,1412
36,2021,E01001109,2021 super output areas - lower layer,151,10 years or more,603
37,2021,E01001109,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",175
38,2021,E01001109,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",93
39,2021,E01001109,2021 super output areas - lower layer,151,Less than 2 years,67
40,2021,E01001112,2021 super output areas - lower layer,151,Total: All usual residents,2016
41,2021,E01001112,2021 super output areas - lower layer,151,Born in the UK,1245
42,2021,E01001112,2021 super output areas - lower layer,151,10 years or more,539
43,2021,E01001112,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",139
44,2021,E01001112,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",49
45,2021,E01001112,2021 super output areas - lower layer,151,Less than 2 years,44
46,2021,E01001113,2021 super output areas - lower layer,151,Total: All usual residents,2004
47,2021,E01001113,2021 super output areas - lower layer,151,Born in the UK,1206
48,2021,E01001113,2021 super output areas - lower layer,151,10 years or more,484
49,2021,E01001113,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",183
50,2021,E01001113,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",69
51,2021,E01001113,2021 super output areas - lower layer,151,Less than 2 years,62
52,2021,E01001114,2021 super output areas - lower layer,151,Total: All usual residents,1513
53,2021,E01001114,2021 super output areas - lower layer,151,Born in the UK,875
54,2021,E01001114,2021 super output areas - lower layer,151,10 years or more,438
55,2021,E01001114,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",102
56,2021,E01001114,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",50
