,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
69,2021,W01000026,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
70,2021,W01000026,2021 super output areas - lower layer,151,Cannot write Welsh,784
71,2021,W01000026,2021 super output areas - lower layer,151,Can write Welsh,445
72,2021,W01000035,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1743
73,2021,W01000035,2021 super output areas - lower layer,151,Cannot write Welsh,953
74,2021,W01000035,2021 super output areas - lower layer,151,Can write Welsh,790
75,2021,W01000006,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1494
76,2021,W01000006,2021 super output areas - lower layer,151,Cannot write Welsh,537
77,2021,W01000006,2021 super output areas - lower layer,151,Can write Welsh,957
78,2021,W01000012,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1656
79,2021,W01000012,2021 super output areas - lower layer,151,Cannot write Welsh,593
80,2021,W01000012,2021 super output areas - lower layer,151,Can write Welsh,1063
81,2021,W01000014,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2128
82,2021,W01000014,2021 super output areas - lower layer,151,Cannot write Welsh,615
83,2021,W01000014,2021 super output areas - lower layer,151,Can write Welsh,1513
84,2021,W01000041,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1529
85,2021,W01000041,2021 super output areas - lower layer,151,Cannot write Welsh,571
86,2021,W01000041,2021 super output areas - lower layer,151,Can write Welsh,958
87,2021,W01000009,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1818
88,2021,W01000009,2021 super output areas - lower layer,151,Cannot write Welsh,713
89,2021,W01000009,2021 super output areas - lower layer,151,Can write Welsh,1105
90,2021,W01000023,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1525
91,2021,W01000023,2021 super output areas - lower layer,151,Cannot write Welsh,638
92,2021,W01000023,2021 super output areas - lower layer,151,Can write Welsh,887
93,2021,W01000024,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1293
94,2021,W01000024,2021 super output areas - lower layer,151,Cannot write Welsh,885
95,2021,W01000024,2021 super output areas - lower layer,151,Can write Welsh,408
96,2021,W01002008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2047
97,2021,W01002008,2021 super output areas - lower layer,151,Cannot write Welsh,1173
98,2021,W01002008,2021 super output areas - lower layer,151,Can write Welsh,874
99,2021,W01000008,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1417
100,2021,W01000008,2021 super output areas - lower layer,151,Cannot write Welsh,522
101,2021,W01000008,2021 super output areas - lower layer,151,Can write Welsh,895
102,2021,W01000011,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,999
103,2021,W01000011,2021 super output areas - lower layer,151,Cannot write Welsh,621
104,2021,W01000011,2021 super output areas - lower layer,151,Can write Welsh,378
105,2021,W01000015,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1431
106,2021,W01000015,2021 super output areas - lower layer,151,Cannot write Welsh,577
107,2021,W01000015,2021 super output areas - lower layer,151,Can write Welsh,854
108,2021,W01000042,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1982
109,2021,W01000042,2021 super output areas - lower layer,151,Cannot write Welsh,1042
110,2021,W01000042,2021 super output areas - lower layer,151,Can write Welsh,940
111,2021,W01000007,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1738
112,2021,W01000007,2021 super output areas - lower layer,151,Cannot write Welsh,760
113,2021,W01000007,2021 super output areas - lower layer,151,Can write Welsh,978
114,2021,W01000025,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2097
115,2021,W01000025,2021 super output areas - lower layer,151,Cannot write Welsh,691
116,2021,W01000025,2021 super output areas - lower layer,151,Can write Welsh,1406
117,2021,W01000027,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1812
118,2021,W01000027,2021 super output areas - lower layer,151,Cannot write Welsh,828
119,2021,W01000027,2021 super output areas - lower layer,151,Can write Welsh,984
120,2021,W01000038,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2178
121,2021,W01000038,2021 super output areas - lower layer,151,Cannot write Welsh,1007
122,2021,W01000038,2021 super output areas - lower layer,151,Can write Welsh,1171
123,2021,W01000062,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1964
124,2021,W01000062,2021 super output areas - lower layer,151,Cannot write Welsh,1637
125,2021,W01000062,2021 super output areas - lower layer,151,Can write Welsh,327
126,2021,W01000076,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1273
127,2021,W01000076,2021 super output areas - lower layer,151,Cannot write Welsh,924
128,2021,W01000076,2021 super output areas - lower layer,151,Can write Welsh,349
129,2021,W01000077,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1146
130,2021,W01000077,2021 super output areas - lower layer,151,Cannot write Welsh,823
131,2021,W01000077,2021 super output areas - lower layer,151,Can write Welsh,323
132,2021,W01000091,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1048
133,2021,W01000091,2021 super output areas - lower layer,151,Cannot write Welsh,647
134,2021,W01000091,2021 super output areas - lower layer,151,Can write Welsh,401
135,2021,W01000092,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,3035
136,2021,W01000092,2021 super output areas - lower layer,151,Cannot write Welsh,2404
137,2021,W01000092,2021 super output areas - lower layer,151,Can write Welsh,631
138,2021,W01000064,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1943
139,2021,W01000064,2021 super output areas - lower layer,151,Cannot write Welsh,1137
140,2021,W01000064,2021 super output areas - lower layer,151,Can write Welsh,806
141,2021,W01000072,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1633
142,2021,W01000072,2021 super output areas - lower layer,151,Cannot write Welsh,900
143,2021,W01000072,2021 super output areas - lower layer,151,Can write Welsh,733
144,2021,W01000075,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1369
145,2021,W01000075,2021 super output areas - lower layer,151,Cannot write Welsh,972
146,2021,W01000075,2021 super output areas - lower layer,151,Can write Welsh,397
147,2021,W01000090,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1315
148,2021,W01000090,2021 super output areas - lower layer,151,Cannot write Welsh,774
149,2021,W01000090,2021 super output areas - lower layer,151,Can write Welsh,541
150,2021,W01000102,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1832
