,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E01025863,2021 super output areas - lower layer,151,40km to less than 60km,9
1,2021,E01025863,2021 super output areas - lower layer,151,60km and over,6
2,2021,E01025863,2021 super output areas - lower layer,151,Works mainly from home,155
3,2021,E01025863,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",105
4,2021,E01025865,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,896
5,2021,E01025865,2021 super output areas - lower layer,151,Less than 2km,172
6,2021,E01025865,2021 super output areas - lower layer,151,2km to less than 5km,96
7,2021,E01025865,2021 super output areas - lower layer,151,5km to less than 10km,65
8,2021,E01025865,2021 super output areas - lower layer,151,10km to less than 20km,135
9,2021,E01025865,2021 super output areas - lower layer,151,20km to less than 30km,29
10,2021,E01025865,2021 super output areas - lower layer,151,30km to less than 40km,12
11,2021,E01025865,2021 super output areas - lower layer,151,40km to less than 60km,11
12,2021,E01025865,2021 super output areas - lower layer,151,60km and over,4
13,2021,E01025865,2021 super output areas - lower layer,151,Works mainly from home,236
14,2021,E01025865,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",136
15,2021,E01025854,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1239
16,2021,E01025854,2021 super output areas - lower layer,151,Less than 2km,261
17,2021,E01025854,2021 super output areas - lower layer,151,2km to less than 5km,93
18,2021,E01025854,2021 super output areas - lower layer,151,5km to less than 10km,73
19,2021,E01025854,2021 super output areas - lower layer,151,10km to less than 20km,188
20,2021,E01025854,2021 super output areas - lower layer,151,20km to less than 30km,84
21,2021,E01025854,2021 super output areas - lower layer,151,30km to less than 40km,16
22,2021,E01025854,2021 super output areas - lower layer,151,40km to less than 60km,15
23,2021,E01025854,2021 super output areas - lower layer,151,60km and over,11
24,2021,E01025854,2021 super output areas - lower layer,151,Works mainly from home,344
25,2021,E01025854,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",154
26,2021,E01025855,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,777
27,2021,E01025855,2021 super output areas - lower layer,151,Less than 2km,155
28,2021,E01025855,2021 super output areas - lower layer,151,2km to less than 5km,67
29,2021,E01025855,2021 super output areas - lower layer,151,5km to less than 10km,53
30,2021,E01025855,2021 super output areas - lower layer,151,10km to less than 20km,121
31,2021,E01025855,2021 super output areas - lower layer,151,20km to less than 30km,37
32,2021,E01025855,2021 super output areas - lower layer,151,30km to less than 40km,8
33,2021,E01025855,2021 super output areas - lower layer,151,40km to less than 60km,10
34,2021,E01025855,2021 super output areas - lower layer,151,60km and over,16
35,2021,E01025855,2021 super output areas - lower layer,151,Works mainly from home,196
36,2021,E01025855,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",114
37,2021,E01025866,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,847
38,2021,E01025866,2021 super output areas - lower layer,151,Less than 2km,175
39,2021,E01025866,2021 super output areas - lower layer,151,2km to less than 5km,112
40,2021,E01025866,2021 super output areas - lower layer,151,5km to less than 10km,58
41,2021,E01025866,2021 super output areas - lower layer,151,10km to less than 20km,116
42,2021,E01025866,2021 super output areas - lower layer,151,20km to less than 30km,45
43,2021,E01025866,2021 super output areas - lower layer,151,30km to less than 40km,19
44,2021,E01025866,2021 super output areas - lower layer,151,40km to less than 60km,11
45,2021,E01025866,2021 super output areas - lower layer,151,60km and over,8
46,2021,E01025866,2021 super output areas - lower layer,151,Works mainly from home,183
47,2021,E01025866,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",120
48,2021,E01025867,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,680
49,2021,E01025867,2021 super output areas - lower layer,151,Less than 2km,158
50,2021,E01025867,2021 super output areas - lower layer,151,2km to less than 5km,62
51,2021,E01025867,2021 super output areas - lower layer,151,5km to less than 10km,49
52,2021,E01025867,2021 super output areas - lower layer,151,10km to less than 20km,92
53,2021,E01025867,2021 super output areas - lower layer,151,20km to less than 30km,31
54,2021,E01025867,2021 super output areas - lower layer,151,30km to less than 40km,11
55,2021,E01025867,2021 super output areas - lower layer,151,40km to less than 60km,7
56,2021,E01025867,2021 super output areas - lower layer,151,60km and over,8
57,2021,E01025867,2021 super output areas - lower layer,151,Works mainly from home,149
58,2021,E01025867,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",113
59,2021,E01035096,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,813
60,2021,E01035096,2021 super output areas - lower layer,151,Less than 2km,116
61,2021,E01035096,2021 super output areas - lower layer,151,2km to less than 5km,110
62,2021,E01035096,2021 super output areas - lower layer,151,5km to less than 10km,52
63,2021,E01035096,2021 super output areas - lower layer,151,10km to less than 20km,124
64,2021,E01035096,2021 super output areas - lower layer,151,20km to less than 30km,56
65,2021,E01035096,2021 super output areas - lower layer,151,30km to less than 40km,8
66,2021,E01035096,2021 super output areas - lower layer,151,40km to less than 60km,6
67,2021,E01035096,2021 super output areas - lower layer,151,60km and over,12
68,2021,E01035096,2021 super output areas - lower layer,151,Works mainly from home,218
69,2021,E01035096,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",111
70,2021,E01035097,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,868
71,2021,E01035097,2021 super output areas - lower layer,151,Less than 2km,84
72,2021,E01035097,2021 super output areas - lower layer,151,2km to less than 5km,100
73,2021,E01035097,2021 super output areas - lower layer,151,5km to less than 10km,62
74,2021,E01035097,2021 super output areas - lower layer,151,10km to less than 20km,121
75,2021,E01035097,2021 super output areas - lower layer,151,20km to less than 30km,56
76,2021,E01035097,2021 super output areas - lower layer,151,30km to less than 40km,17
