,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
0,2021,E01015226,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1218
1,2021,E01015226,2021 super output areas - lower layer,151,No qualifications,211
2,2021,E01015226,2021 super output areas - lower layer,151,Level 1 and entry level qualifications,142
3,2021,E01015226,2021 super output areas - lower layer,151,Level 2 qualifications,171
4,2021,E01015226,2021 super output areas - lower layer,151,Apprenticeship,86
5,2021,E01015226,2021 super output areas - lower layer,151,Level 3 qualifications,217
6,2021,E01015226,2021 super output areas - lower layer,151,Level 4 qualifications or above,365
7,2021,E01015226,2021 super output areas - lower layer,151,Other qualifications,26
8,2021,E01015227,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1328
9,2021,E01015227,2021 super output areas - lower layer,151,No qualifications,204
10,2021,E01015227,2021 super output areas - lower layer,151,Level 1 and entry level qualifications,134
11,2021,E01015227,2021 super output areas - lower layer,151,Level 2 qualifications,183
12,2021,E01015227,2021 super output areas - lower layer,151,Apprenticeship,94
13,2021,E01015227,2021 super output areas - lower layer,151,Level 3 qualifications,249
14,2021,E01015227,2021 super output areas - lower layer,151,Level 4 qualifications or above,426
15,2021,E01015227,2021 super output areas - lower layer,151,Other qualifications,38
16,2021,E01015228,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1336
17,2021,E01015228,2021 super output areas - lower layer,151,No qualifications,337
18,2021,E01015228,2021 super output areas - lower layer,151,Level 1 and entry level qualifications,149
19,2021,E01015228,2021 super output areas - lower layer,151,Level 2 qualifications,178
20,2021,E01015228,2021 super output areas - lower layer,151,Apprenticeship,112
21,2021,E01015228,2021 super output areas - lower layer,151,Level 3 qualifications,202
22,2021,E01015228,2021 super output areas - lower layer,151,Level 4 qualifications or above,311
23,2021,E01015228,2021 super output areas - lower layer,151,Other qualifications,47
24,2021,E01015230,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1227
25,2021,E01015230,2021 super output areas - lower layer,151,No qualifications,224
26,2021,E01015230,2021 super output areas - lower layer,151,Level 1 and entry level qualifications,138
27,2021,E01015230,2021 super output areas - lower layer,151,Level 2 qualifications,170
28,2021,E01015230,2021 super output areas - lower layer,151,Apprenticeship,129
29,2021,E01015230,2021 super output areas - lower layer,151,Level 3 qualifications,229
30,2021,E01015230,2021 super output areas - lower layer,151,Level 4 qualifications or above,287
