,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,E01027654,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,15
1,2021,E01027654,2021 super output areas - lower layer,151,British Overseas,0
2,2021,E01027698,2021 super output areas - lower layer,151,Total: All usual residents,1548
3,2021,E01027698,2021 super output areas - lower layer,151,Europe,1439
4,2021,E01027698,2021 super output areas - lower layer,151,Europe: United Kingdom,1385
5,2021,E01027698,2021 super output areas - lower layer,151,Europe: EU countries,49
6,2021,E01027698,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,37
7,2021,E01027698,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,8
8,2021,E01027698,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,1
9,2021,E01027698,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,3
10,2021,E01027698,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,5
11,2021,E01027698,2021 super output areas - lower layer,151,Africa,24
12,2021,E01027698,2021 super output areas - lower layer,151,Middle East and Asia,42
13,2021,E01027698,2021 super output areas - lower layer,151,The Americas and the Caribbean,33
14,2021,E01027698,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,10
15,2021,E01027698,2021 super output areas - lower layer,151,British Overseas,0
16,2021,E01027716,2021 super output areas - lower layer,151,Total: All usual residents,1505
17,2021,E01027716,2021 super output areas - lower layer,151,Europe,1402
18,2021,E01027716,2021 super output areas - lower layer,151,Europe: United Kingdom,1350
19,2021,E01027716,2021 super output areas - lower layer,151,Europe: EU countries,46
20,2021,E01027716,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,35
21,2021,E01027716,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,7
22,2021,E01027716,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,1
23,2021,E01027716,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,3
24,2021,E01027716,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,6
25,2021,E01027716,2021 super output areas - lower layer,151,Africa,10
26,2021,E01027716,2021 super output areas - lower layer,151,Middle East and Asia,36
27,2021,E01027716,2021 super output areas - lower layer,151,The Americas and the Caribbean,53
28,2021,E01027716,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,4
29,2021,E01027716,2021 super output areas - lower layer,151,British Overseas,0
30,2021,E01027717,2021 super output areas - lower layer,151,Total: All usual residents,1583
31,2021,E01027717,2021 super output areas - lower layer,151,Europe,1508
32,2021,E01027717,2021 super output areas - lower layer,151,Europe: United Kingdom,1451
33,2021,E01027717,2021 super output areas - lower layer,151,Europe: EU countries,54
34,2021,E01027717,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,32
35,2021,E01027717,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,9
36,2021,E01027717,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,13
37,2021,E01027717,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
38,2021,E01027717,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
39,2021,E01027717,2021 super output areas - lower layer,151,Africa,16
40,2021,E01027717,2021 super output areas - lower layer,151,Middle East and Asia,31
41,2021,E01027717,2021 super output areas - lower layer,151,The Americas and the Caribbean,16
42,2021,E01027717,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,12
43,2021,E01027717,2021 super output areas - lower layer,151,British Overseas,0
44,2021,E01027718,2021 super output areas - lower layer,151,Total: All usual residents,2027
45,2021,E01027718,2021 super output areas - lower layer,151,Europe,1904
46,2021,E01027718,2021 super output areas - lower layer,151,Europe: United Kingdom,1813
47,2021,E01027718,2021 super output areas - lower layer,151,Europe: EU countries,81
48,2021,E01027718,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,41
49,2021,E01027718,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,31
50,2021,E01027718,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,7
51,2021,E01027718,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
52,2021,E01027718,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,10
53,2021,E01027718,2021 super output areas - lower layer,151,Africa,21
54,2021,E01027718,2021 super output areas - lower layer,151,Middle East and Asia,52
55,2021,E01027718,2021 super output areas - lower layer,151,The Americas and the Caribbean,43
56,2021,E01027718,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,7
57,2021,E01027718,2021 super output areas - lower layer,151,British Overseas,0
58,2021,E01027719,2021 super output areas - lower layer,151,Total: All usual residents,1509
59,2021,E01027719,2021 super output areas - lower layer,151,Europe,1395
60,2021,E01027719,2021 super output areas - lower layer,151,Europe: United Kingdom,1348
61,2021,E01027719,2021 super output areas - lower layer,151,Europe: EU countries,38
62,2021,E01027719,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,23
63,2021,E01027719,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,12
64,2021,E01027719,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,3
65,2021,E01027719,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
66,2021,E01027719,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,9
67,2021,E01027719,2021 super output areas - lower layer,151,Africa,13
68,2021,E01027719,2021 super output areas - lower layer,151,Middle East and Asia,71
69,2021,E01027719,2021 super output areas - lower layer,151,The Americas and the Caribbean,23
70,2021,E01027719,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,6
71,2021,E01027719,2021 super output areas - lower layer,151,British Overseas,1
72,2021,E01027699,2021 super output areas - lower layer,151,Total: All usual residents,1323
73,2021,E01027699,2021 super output areas - lower layer,151,Europe,1263
74,2021,E01027699,2021 super output areas - lower layer,151,Europe: United Kingdom,1229
75,2021,E01027699,2021 super output areas - lower layer,151,Europe: EU countries,25
76,2021,E01027699,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,21
77,2021,E01027699,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,3
78,2021,E01027699,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,0
79,2021,E01027699,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
80,2021,E01027699,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,9
81,2021,E01027699,2021 super output areas - lower layer,151,Africa,15
82,2021,E01027699,2021 super output areas - lower layer,151,Middle East and Asia,10
83,2021,E01027699,2021 super output areas - lower layer,151,The Americas and the Caribbean,29
84,2021,E01027699,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,6
85,2021,E01027699,2021 super output areas - lower layer,151,British Overseas,0
86,2021,E01027700,2021 super output areas - lower layer,151,Total: All usual residents,1568
87,2021,E01027700,2021 super output areas - lower layer,151,Europe,1516
88,2021,E01027700,2021 super output areas - lower layer,151,Europe: United Kingdom,1477
89,2021,E01027700,2021 super output areas - lower layer,151,Europe: EU countries,36
90,2021,E01027700,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,28
91,2021,E01027700,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,7
92,2021,E01027700,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,1
93,2021,E01027700,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
94,2021,E01027700,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
95,2021,E01027700,2021 super output areas - lower layer,151,Africa,10
96,2021,E01027700,2021 super output areas - lower layer,151,Middle East and Asia,18
97,2021,E01027700,2021 super output areas - lower layer,151,The Americas and the Caribbean,19
98,2021,E01027700,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,5
99,2021,E01027700,2021 super output areas - lower layer,151,British Overseas,0
100,2021,E01027724,2021 super output areas - lower layer,151,Total: All usual residents,1683
101,2021,E01027724,2021 super output areas - lower layer,151,Europe,1633
102,2021,E01027724,2021 super output areas - lower layer,151,Europe: United Kingdom,1600
103,2021,E01027724,2021 super output areas - lower layer,151,Europe: EU countries,30
104,2021,E01027724,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,24
105,2021,E01027724,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,3
106,2021,E01027724,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,3
107,2021,E01027724,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
108,2021,E01027724,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,3
