,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
54,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,151
55,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,151
56,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
57,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,115
58,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,115
59,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
60,2021,E01005130,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1192
61,2021,E01005130,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,745
62,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership,261
63,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,257
64,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,248
65,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,9
66,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,4
67,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
68,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,4
69,2021,E01005130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",38
70,2021,E01005130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",36
71,2021,E01005130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",2
72,2021,E01005130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,101
73,2021,E01005130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,101
74,2021,E01005130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
75,2021,E01005130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,47
76,2021,E01005130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,47
77,2021,E01005130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
78,2021,E01033651,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1626
79,2021,E01033651,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1344
80,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership,217
81,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,212
82,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,206
83,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,6
84,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,5
85,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,4
86,2021,E01033651,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,1
87,2021,E01033651,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",17
88,2021,E01033651,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",17
89,2021,E01033651,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
90,2021,E01033651,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,38
91,2021,E01033651,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,38
92,2021,E01033651,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
93,2021,E01033651,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,10
94,2021,E01033651,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,9
95,2021,E01033651,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,1
96,2021,E01033658,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1286
97,2021,E01033658,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1017
98,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership,198
99,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,179
100,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,169
101,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,10
102,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,19
103,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,6
104,2021,E01033658,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,13
105,2021,E01033658,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",15
106,2021,E01033658,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",15
107,2021,E01033658,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
