msoa,occupation_11,qualification_11,log_med_house_price_11,log_med_income_11,score_11,occupation_21,qualification_21,log_med_house_price_21,log_med_income_21,score_21,rank_11,rank_21,ses_asc,score_pr_11,score_pr_21,score_pr_asc
E02001023,0.4435131195335277,0.2927198098941456,11.775297421715827,10.623301006492076,-11.813317502125225,0.47995090016366615,0.3336987502740627,12.567240979056246,10.698762529141884,-11.972112635637183,2022.0,1528.0,-0.1587951335119584,38.00613496932515,46.87116564417178,8.86503067484663
E02001024,0.42444861567339265,0.2693664672495781,11.782960235741939,10.530521639636548,-11.717612810921528,0.47962690230731464,0.3191103041307308,12.240478903153711,10.691967639914864,-11.932730493659975,1712.0,1409.0,-0.21511768273844645,47.51533742331288,43.22085889570552,-4.29447852760736
E02001025,0.2857142857142856,0.1499578770008424,11.324859440268714,10.185692150979541,-11.302222587910114,0.3394034536891678,0.2146271510516252,11.904974309480183,10.454523783963511,-11.635520258873902,506.0,577.0,-0.3332976709637876,84.50920245398773,17.699386503067487,-66.80981595092024
E02001026,0.23045491691637138,0.1453090909090909,11.342741943268393,10.082512013210788,-11.194807405415869,0.2889887640449437,0.2392366767512218,11.665655135642039,10.39516093745751,-11.551371242470799,259.0,359.0,-0.3565638370549298,92.08588957055215,11.012269938650308,-81.07361963190185
E02001027,0.3440459110473456,0.2049180327868852,11.58989576532275,10.279214842380336,-11.434093718972228,0.4032666854407208,0.2736696613683483,11.918397239722838,10.5610334618531,-11.757749732255808,818.0,933.0,-0.3236560132835802,74.93865030674847,28.619631901840492,-46.31901840490798
E02001028,0.4752840909090908,0.3156464759469394,12.088138973528705,10.635879484421974,-11.862577448490246,0.528584817244611,0.3500566434698171,12.560239196079042,10.837637848711049,-12.116064991257499,2199.0,2036.0,-0.25348754276725316,32.576687116564415,62.45398773006134,29.877300613496928
E02001029,0.2977325008215575,0.1867810845353295,11.49528070779676,10.261196961231647,-11.398653083249915,0.3363837172609655,0.2580376478427453,11.931642378754141,10.474495347310453,-11.663019401630084,734.0,654.0,-0.2643663183801692,77.51533742331289,20.061349693251536,-57.45398773006135
E02001031,0.3787192755498058,0.2292859870179457,11.652696102959753,10.364734201103053,-11.53165848074037,0.4182058047493403,0.2863926940639269,12.111767460549332,10.579005242826247,-11.797296557056248,1091.0,1032.0,-0.2656380763158772,66.56441717791411,31.656441717791413,-34.9079754601227
E02001035,0.4452700771649042,0.287115319580656,11.910029046074355,10.584587455185398,-11.787671483313483,0.5363662706461894,0.3467000835421888,12.468440756144114,10.785207543360087,-12.056885770334004,1939.0,1852.0,-0.26921428702052097,40.5521472392638,56.80981595092025,16.25766871165645
E02001041,0.4212684527063968,0.2804379800621016,11.693169865968983,10.412741942560633,-11.595260649644132,0.5331238544121497,0.3912427153882501,12.368408308235615,10.63106031411106,-11.902624015774707,1271.0,1314.0,-0.30736336613057524,61.04294478527608,40.306748466257666,-20.73619631901841
E02001042,0.5006195786864931,0.3495934959349593,11.921725007667265,10.502351525774941,-11.724761550846074,0.5817954332186424,0.4284907790741438,12.54254845357358,10.747229096720554,-12.044290613473152,1737.0,1804.0,-0.3195290626270779,46.74846625766872,55.33742331288344,8.58895705521472
E02001043,0.45308924485125845,0.2896458380329348,11.863589378812122,10.396994062531652,-11.601617664655818,0.5464601769911503,0.3951314931536622,12.52906515171705,10.729875458480967,-12.016586165426654,1294.0,1701.0,-0.41496850077083636,60.33742331288343,52.17791411042945,-8.159509202453982
