,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
88,2021,E02000974,2021 super output areas - middle layer,152,3 bedrooms,702
89,2021,E02000974,2021 super output areas - middle layer,152,4 or more bedrooms,436
90,2021,E02000975,2021 super output areas - middle layer,152,Total: All households,3802
91,2021,E02000975,2021 super output areas - middle layer,152,1 bedroom,1642
92,2021,E02000975,2021 super output areas - middle layer,152,2 bedrooms,1390
93,2021,E02000975,2021 super output areas - middle layer,152,3 bedrooms,557
94,2021,E02000975,2021 super output areas - middle layer,152,4 or more bedrooms,213
95,2021,E02000976,2021 super output areas - middle layer,152,Total: All households,4212
96,2021,E02000976,2021 super output areas - middle layer,152,1 bedroom,1725
97,2021,E02000976,2021 super output areas - middle layer,152,2 bedrooms,1446
98,2021,E02000976,2021 super output areas - middle layer,152,3 bedrooms,697
99,2021,E02000976,2021 super output areas - middle layer,152,4 or more bedrooms,344
100,2021,E02000977,2021 super output areas - middle layer,152,Total: All households,3435
101,2021,E02000977,2021 super output areas - middle layer,152,1 bedroom,1545
102,2021,E02000977,2021 super output areas - middle layer,152,2 bedrooms,1208
103,2021,E02000977,2021 super output areas - middle layer,152,3 bedrooms,469
104,2021,E02000977,2021 super output areas - middle layer,152,4 or more bedrooms,213
105,2021,E02000978,2021 super output areas - middle layer,152,Total: All households,2764
106,2021,E02000978,2021 super output areas - middle layer,152,1 bedroom,426
107,2021,E02000978,2021 super output areas - middle layer,152,2 bedrooms,869
108,2021,E02000978,2021 super output areas - middle layer,152,3 bedrooms,734
109,2021,E02000978,2021 super output areas - middle layer,152,4 or more bedrooms,735
110,2021,E02000979,2021 super output areas - middle layer,152,Total: All households,3927
111,2021,E02000979,2021 super output areas - middle layer,152,1 bedroom,1421
112,2021,E02000979,2021 super output areas - middle layer,152,2 bedrooms,1455
113,2021,E02000979,2021 super output areas - middle layer,152,3 bedrooms,792
114,2021,E02000979,2021 super output areas - middle layer,152,4 or more bedrooms,259
115,2021,E02000980,2021 super output areas - middle layer,152,Total: All households,4324
116,2021,E02000980,2021 super output areas - middle layer,152,1 bedroom,1682
117,2021,E02000980,2021 super output areas - middle layer,152,2 bedrooms,1753
118,2021,E02000980,2021 super output areas - middle layer,152,3 bedrooms,759
119,2021,E02000980,2021 super output areas - middle layer,152,4 or more bedrooms,130
120,2021,E02000981,2021 super output areas - middle layer,152,Total: All households,4159
121,2021,E02000981,2021 super output areas - middle layer,152,1 bedroom,1723
122,2021,E02000981,2021 super output areas - middle layer,152,2 bedrooms,1469
123,2021,E02000981,2021 super output areas - middle layer,152,3 bedrooms,599
124,2021,E02000981,2021 super output areas - middle layer,152,4 or more bedrooms,368
125,2021,E02000982,2021 super output areas - middle layer,152,Total: All households,3844
126,2021,E02000982,2021 super output areas - middle layer,152,1 bedroom,1621
127,2021,E02000982,2021 super output areas - middle layer,152,2 bedrooms,1267
128,2021,E02000982,2021 super output areas - middle layer,152,3 bedrooms,749
129,2021,E02000982,2021 super output areas - middle layer,152,4 or more bedrooms,207
130,2021,E02000983,2021 super output areas - middle layer,152,Total: All households,3757
131,2021,E02000983,2021 super output areas - middle layer,152,1 bedroom,1523
132,2021,E02000983,2021 super output areas - middle layer,152,2 bedrooms,1377
133,2021,E02000983,2021 super output areas - middle layer,152,3 bedrooms,702
134,2021,E02000983,2021 super output areas - middle layer,152,4 or more bedrooms,155
135,2021,E02003314,2021 super output areas - middle layer,152,Total: All households,2864
136,2021,E02003314,2021 super output areas - middle layer,152,1 bedroom,263
137,2021,E02003314,2021 super output areas - middle layer,152,2 bedrooms,794
138,2021,E02003314,2021 super output areas - middle layer,152,3 bedrooms,1302
139,2021,E02003314,2021 super output areas - middle layer,152,4 or more bedrooms,505
140,2021,E02003315,2021 super output areas - middle layer,152,Total: All households,2225
141,2021,E02003315,2021 super output areas - middle layer,152,1 bedroom,139
142,2021,E02003315,2021 super output areas - middle layer,152,2 bedrooms,325
143,2021,E02003315,2021 super output areas - middle layer,152,3 bedrooms,1066
144,2021,E02003315,2021 super output areas - middle layer,152,4 or more bedrooms,695
145,2021,E02003316,2021 super output areas - middle layer,152,Total: All households,4664
146,2021,E02003316,2021 super output areas - middle layer,152,1 bedroom,187
147,2021,E02003316,2021 super output areas - middle layer,152,2 bedrooms,1112
148,2021,E02003316,2021 super output areas - middle layer,152,3 bedrooms,2230
149,2021,E02003316,2021 super output areas - middle layer,152,4 or more bedrooms,1135
150,2021,E02003317,2021 super output areas - middle layer,152,Total: All households,2760
151,2021,E02003317,2021 super output areas - middle layer,152,1 bedroom,124
