,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
79,2021,E02002493,2021 super output areas - middle layer,152,Second address type not specified,0
80,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,239
81,2021,E02002494,2021 super output areas - middle layer,152,Armed forces base address,4
82,2021,E02002494,2021 super output areas - middle layer,152,Another address when working away from home,21
83,2021,E02002494,2021 super output areas - middle layer,152,Holiday home,15
84,2021,E02002494,2021 super output areas - middle layer,152,Student's term-time address,3
85,2021,E02002494,2021 super output areas - middle layer,152,Student's home address,4
86,2021,E02002494,2021 super output areas - middle layer,152,Another parent or guardian's address,134
87,2021,E02002494,2021 super output areas - middle layer,152,Partner's address,16
88,2021,E02002494,2021 super output areas - middle layer,152,Other,42
89,2021,E02002494,2021 super output areas - middle layer,152,Second address type not specified,0
90,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,504
91,2021,E02006909,2021 super output areas - middle layer,152,Armed forces base address,15
92,2021,E02006909,2021 super output areas - middle layer,152,Another address when working away from home,98
93,2021,E02006909,2021 super output areas - middle layer,152,Holiday home,117
94,2021,E02006909,2021 super output areas - middle layer,152,Student's term-time address,2
95,2021,E02006909,2021 super output areas - middle layer,152,Student's home address,2
96,2021,E02006909,2021 super output areas - middle layer,152,Another parent or guardian's address,169
97,2021,E02006909,2021 super output areas - middle layer,152,Partner's address,40
98,2021,E02006909,2021 super output areas - middle layer,152,Other,61
99,2021,E02006909,2021 super output areas - middle layer,152,Second address type not specified,0
100,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,411
101,2021,E02007059,2021 super output areas - middle layer,152,Armed forces base address,10
102,2021,E02007059,2021 super output areas - middle layer,152,Another address when working away from home,39
103,2021,E02007059,2021 super output areas - middle layer,152,Holiday home,63
104,2021,E02007059,2021 super output areas - middle layer,152,Student's term-time address,3
105,2021,E02007059,2021 super output areas - middle layer,152,Student's home address,32
106,2021,E02007059,2021 super output areas - middle layer,152,Another parent or guardian's address,153
107,2021,E02007059,2021 super output areas - middle layer,152,Partner's address,42
108,2021,E02007059,2021 super output areas - middle layer,152,Other,69
109,2021,E02007059,2021 super output areas - middle layer,152,Second address type not specified,0
110,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,1534
111,2021,E02002496,2021 super output areas - middle layer,152,Armed forces base address,1
112,2021,E02002496,2021 super output areas - middle layer,152,Another address when working away from home,24
113,2021,E02002496,2021 super output areas - middle layer,152,Holiday home,27
114,2021,E02002496,2021 super output areas - middle layer,152,Student's term-time address,2
115,2021,E02002496,2021 super output areas - middle layer,152,Student's home address,888
116,2021,E02002496,2021 super output areas - middle layer,152,Another parent or guardian's address,351
