,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
68,2021,W02000023,2021 super output areas - middle layer,152,Can write Welsh,3226
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot write Welsh,2151
71,2021,W02000024,2021 super output areas - middle layer,152,Can write Welsh,3406
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5996
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot write Welsh,3248
74,2021,W02000025,2021 super output areas - middle layer,152,Can write Welsh,2748
75,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6853
76,2021,W02000026,2021 super output areas - middle layer,152,Cannot write Welsh,4585
77,2021,W02000026,2021 super output areas - middle layer,152,Can write Welsh,2268
78,2021,W02000027,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8264
79,2021,W02000027,2021 super output areas - middle layer,152,Cannot write Welsh,7154
80,2021,W02000027,2021 super output areas - middle layer,152,Can write Welsh,1110
81,2021,W02000028,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6543
82,2021,W02000028,2021 super output areas - middle layer,152,Cannot write Welsh,5542
83,2021,W02000028,2021 super output areas - middle layer,152,Can write Welsh,1001
84,2021,W02000029,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5853
85,2021,W02000029,2021 super output areas - middle layer,152,Cannot write Welsh,4883
86,2021,W02000029,2021 super output areas - middle layer,152,Can write Welsh,970
87,2021,W02000030,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5759
88,2021,W02000030,2021 super output areas - middle layer,152,Cannot write Welsh,5002
89,2021,W02000030,2021 super output areas - middle layer,152,Can write Welsh,757
90,2021,W02000031,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7987
91,2021,W02000031,2021 super output areas - middle layer,152,Cannot write Welsh,7249
92,2021,W02000031,2021 super output areas - middle layer,152,Can write Welsh,738
93,2021,W02000032,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8181
94,2021,W02000032,2021 super output areas - middle layer,152,Cannot write Welsh,6604
95,2021,W02000032,2021 super output areas - middle layer,152,Can write Welsh,1577
96,2021,W02000033,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6729
97,2021,W02000033,2021 super output areas - middle layer,152,Cannot write Welsh,5686
98,2021,W02000033,2021 super output areas - middle layer,152,Can write Welsh,1043
99,2021,W02000034,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7497
100,2021,W02000034,2021 super output areas - middle layer,152,Cannot write Welsh,6190
101,2021,W02000034,2021 super output areas - middle layer,152,Can write Welsh,1307
102,2021,W02000035,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8639
103,2021,W02000035,2021 super output areas - middle layer,152,Cannot write Welsh,7299
104,2021,W02000035,2021 super output areas - middle layer,152,Can write Welsh,1340
105,2021,W02000036,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10982
106,2021,W02000036,2021 super output areas - middle layer,152,Cannot write Welsh,9161
107,2021,W02000036,2021 super output areas - middle layer,152,Can write Welsh,1821
108,2021,W02000037,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6945
109,2021,W02000037,2021 super output areas - middle layer,152,Cannot write Welsh,5434
110,2021,W02000037,2021 super output areas - middle layer,152,Can write Welsh,1511
111,2021,W02000038,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6071
112,2021,W02000038,2021 super output areas - middle layer,152,Cannot write Welsh,4568
113,2021,W02000038,2021 super output areas - middle layer,152,Can write Welsh,1503
114,2021,W02000039,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7619
115,2021,W02000039,2021 super output areas - middle layer,152,Cannot write Welsh,5391
116,2021,W02000039,2021 super output areas - middle layer,152,Can write Welsh,2228
117,2021,W02000040,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6435
118,2021,W02000040,2021 super output areas - middle layer,152,Cannot write Welsh,3185
119,2021,W02000040,2021 super output areas - middle layer,152,Can write Welsh,3250
120,2021,W02000041,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8302
121,2021,W02000041,2021 super output areas - middle layer,152,Cannot write Welsh,4447
122,2021,W02000041,2021 super output areas - middle layer,152,Can write Welsh,3855
123,2021,W02000042,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5705
124,2021,W02000042,2021 super output areas - middle layer,152,Cannot write Welsh,5137
125,2021,W02000042,2021 super output areas - middle layer,152,Can write Welsh,568
126,2021,W02000043,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5096
127,2021,W02000043,2021 super output areas - middle layer,152,Cannot write Welsh,4487
128,2021,W02000043,2021 super output areas - middle layer,152,Can write Welsh,609
129,2021,W02000044,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5186
130,2021,W02000044,2021 super output areas - middle layer,152,Cannot write Welsh,4470
131,2021,W02000044,2021 super output areas - middle layer,152,Can write Welsh,716
132,2021,W02000045,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9226
133,2021,W02000045,2021 super output areas - middle layer,152,Cannot write Welsh,8411
134,2021,W02000045,2021 super output areas - middle layer,152,Can write Welsh,815
135,2021,W02000047,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5340
136,2021,W02000047,2021 super output areas - middle layer,152,Cannot write Welsh,4779
137,2021,W02000047,2021 super output areas - middle layer,152,Can write Welsh,561
138,2021,W02000049,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6471
139,2021,W02000049,2021 super output areas - middle layer,152,Cannot write Welsh,5486
140,2021,W02000049,2021 super output areas - middle layer,152,Can write Welsh,985
141,2021,W02000050,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6223
142,2021,W02000050,2021 super output areas - middle layer,152,Cannot write Welsh,5369
143,2021,W02000050,2021 super output areas - middle layer,152,Can write Welsh,854
144,2021,W02000051,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5176
145,2021,W02000051,2021 super output areas - middle layer,152,Cannot write Welsh,4170
146,2021,W02000051,2021 super output areas - middle layer,152,Can write Welsh,1006
147,2021,W02000052,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4836
148,2021,W02000052,2021 super output areas - middle layer,152,Cannot write Welsh,3713
149,2021,W02000052,2021 super output areas - middle layer,152,Can write Welsh,1123
150,2021,W02000053,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6180
151,2021,W02000053,2021 super output areas - middle layer,152,Cannot write Welsh,3992
152,2021,W02000053,2021 super output areas - middle layer,152,Can write Welsh,2188
153,2021,W02000054,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5981
154,2021,W02000054,2021 super output areas - middle layer,152,Cannot write Welsh,4523
155,2021,W02000054,2021 super output areas - middle layer,152,Can write Welsh,1458
156,2021,W02000055,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5523
157,2021,W02000055,2021 super output areas - middle layer,152,Cannot write Welsh,3756
158,2021,W02000055,2021 super output areas - middle layer,152,Can write Welsh,1767
159,2021,W02000056,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5061
160,2021,W02000056,2021 super output areas - middle layer,152,Cannot write Welsh,3142
161,2021,W02000056,2021 super output areas - middle layer,152,Can write Welsh,1919
162,2021,W02000057,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6083
163,2021,W02000057,2021 super output areas - middle layer,152,Cannot write Welsh,4582
164,2021,W02000057,2021 super output areas - middle layer,152,Can write Welsh,1501
165,2021,W02000419,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10976
166,2021,W02000419,2021 super output areas - middle layer,152,Cannot write Welsh,9605
167,2021,W02000419,2021 super output areas - middle layer,152,Can write Welsh,1371
168,2021,W02000058,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4986
169,2021,W02000058,2021 super output areas - middle layer,152,Cannot write Welsh,4294
170,2021,W02000058,2021 super output areas - middle layer,152,Can write Welsh,692
171,2021,W02000059,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6382
172,2021,W02000059,2021 super output areas - middle layer,152,Cannot write Welsh,5575
173,2021,W02000059,2021 super output areas - middle layer,152,Can write Welsh,807
174,2021,W02000060,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10386
175,2021,W02000060,2021 super output areas - middle layer,152,Cannot write Welsh,9372
176,2021,W02000060,2021 super output areas - middle layer,152,Can write Welsh,1014
177,2021,W02000061,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7330
178,2021,W02000061,2021 super output areas - middle layer,152,Cannot write Welsh,6686
179,2021,W02000061,2021 super output areas - middle layer,152,Can write Welsh,644
180,2021,W02000062,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5946
181,2021,W02000062,2021 super output areas - middle layer,152,Cannot write Welsh,5385
182,2021,W02000062,2021 super output areas - middle layer,152,Can write Welsh,561
183,2021,W02000063,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7941
184,2021,W02000063,2021 super output areas - middle layer,152,Cannot write Welsh,6799
185,2021,W02000063,2021 super output areas - middle layer,152,Can write Welsh,1142
186,2021,W02000064,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5912
187,2021,W02000064,2021 super output areas - middle layer,152,Cannot write Welsh,5547
188,2021,W02000064,2021 super output areas - middle layer,152,Can write Welsh,365
189,2021,W02000065,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7037
190,2021,W02000065,2021 super output areas - middle layer,152,Cannot write Welsh,6542
191,2021,W02000065,2021 super output areas - middle layer,152,Can write Welsh,495
192,2021,W02000066,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9518
193,2021,W02000066,2021 super output areas - middle layer,152,Cannot write Welsh,8931
194,2021,W02000066,2021 super output areas - middle layer,152,Can write Welsh,587
195,2021,W02000067,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6637
196,2021,W02000067,2021 super output areas - middle layer,152,Cannot write Welsh,6130
197,2021,W02000067,2021 super output areas - middle layer,152,Can write Welsh,507
198,2021,W02000068,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5067
199,2021,W02000068,2021 super output areas - middle layer,152,Cannot write Welsh,4790
200,2021,W02000068,2021 super output areas - middle layer,152,Can write Welsh,277
201,2021,W02000069,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6116
202,2021,W02000069,2021 super output areas - middle layer,152,Cannot write Welsh,5495
203,2021,W02000069,2021 super output areas - middle layer,152,Can write Welsh,621
204,2021,W02000070,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10398
205,2021,W02000070,2021 super output areas - middle layer,152,Cannot write Welsh,9546
206,2021,W02000070,2021 super output areas - middle layer,152,Can write Welsh,852
207,2021,W02000071,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6883
208,2021,W02000071,2021 super output areas - middle layer,152,Cannot write Welsh,6173
209,2021,W02000071,2021 super output areas - middle layer,152,Can write Welsh,710
210,2021,W02000072,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,11309
211,2021,W02000072,2021 super output areas - middle layer,152,Cannot write Welsh,10744
212,2021,W02000072,2021 super output areas - middle layer,152,Can write Welsh,565
213,2021,W02000073,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9878
214,2021,W02000073,2021 super output areas - middle layer,152,Cannot write Welsh,8307
215,2021,W02000073,2021 super output areas - middle layer,152,Can write Welsh,1571
216,2021,W02000074,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9550
217,2021,W02000074,2021 super output areas - middle layer,152,Cannot write Welsh,8785
218,2021,W02000074,2021 super output areas - middle layer,152,Can write Welsh,765
219,2021,W02000075,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6218
220,2021,W02000075,2021 super output areas - middle layer,152,Cannot write Welsh,5646
221,2021,W02000075,2021 super output areas - middle layer,152,Can write Welsh,572
222,2021,W02000076,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7145
223,2021,W02000076,2021 super output areas - middle layer,152,Cannot write Welsh,6216
224,2021,W02000076,2021 super output areas - middle layer,152,Can write Welsh,929
225,2021,W02000077,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5923
226,2021,W02000077,2021 super output areas - middle layer,152,Cannot write Welsh,5286
227,2021,W02000077,2021 super output areas - middle layer,152,Can write Welsh,637
228,2021,W02000080,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7630
229,2021,W02000080,2021 super output areas - middle layer,152,Cannot write Welsh,6845
230,2021,W02000080,2021 super output areas - middle layer,152,Can write Welsh,785
231,2021,W02000081,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5723
232,2021,W02000081,2021 super output areas - middle layer,152,Cannot write Welsh,5093
233,2021,W02000081,2021 super output areas - middle layer,152,Can write Welsh,630
234,2021,W02000082,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7415
235,2021,W02000082,2021 super output areas - middle layer,152,Cannot write Welsh,6690
236,2021,W02000082,2021 super output areas - middle layer,152,Can write Welsh,725
237,2021,W02000083,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8376
238,2021,W02000083,2021 super output areas - middle layer,152,Cannot write Welsh,7338
239,2021,W02000083,2021 super output areas - middle layer,152,Can write Welsh,1038
240,2021,W02000085,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8719
241,2021,W02000085,2021 super output areas - middle layer,152,Cannot write Welsh,7924
242,2021,W02000085,2021 super output areas - middle layer,152,Can write Welsh,795
243,2021,W02000087,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6582
244,2021,W02000087,2021 super output areas - middle layer,152,Cannot write Welsh,6115
245,2021,W02000087,2021 super output areas - middle layer,152,Can write Welsh,467
246,2021,W02000088,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8414
247,2021,W02000088,2021 super output areas - middle layer,152,Cannot write Welsh,7507
248,2021,W02000088,2021 super output areas - middle layer,152,Can write Welsh,907
249,2021,W02000089,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8265
250,2021,W02000089,2021 super output areas - middle layer,152,Cannot write Welsh,7460
251,2021,W02000089,2021 super output areas - middle layer,152,Can write Welsh,805
252,2021,W02000090,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5539
253,2021,W02000090,2021 super output areas - middle layer,152,Cannot write Welsh,4745
254,2021,W02000090,2021 super output areas - middle layer,152,Can write Welsh,794
255,2021,W02000091,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6003
256,2021,W02000091,2021 super output areas - middle layer,152,Cannot write Welsh,5272
257,2021,W02000091,2021 super output areas - middle layer,152,Can write Welsh,731
258,2021,W02000092,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6508
259,2021,W02000092,2021 super output areas - middle layer,152,Cannot write Welsh,5411
260,2021,W02000092,2021 super output areas - middle layer,152,Can write Welsh,1097
261,2021,W02000093,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6383
262,2021,W02000093,2021 super output areas - middle layer,152,Cannot write Welsh,5750
263,2021,W02000093,2021 super output areas - middle layer,152,Can write Welsh,633
264,2021,W02000094,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8590
265,2021,W02000094,2021 super output areas - middle layer,152,Cannot write Welsh,7778
266,2021,W02000094,2021 super output areas - middle layer,152,Can write Welsh,812
267,2021,W02000095,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6259
268,2021,W02000095,2021 super output areas - middle layer,152,Cannot write Welsh,5876
269,2021,W02000095,2021 super output areas - middle layer,152,Can write Welsh,383
270,2021,W02000096,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6303
271,2021,W02000096,2021 super output areas - middle layer,152,Cannot write Welsh,5502
272,2021,W02000096,2021 super output areas - middle layer,152,Can write Welsh,801
