,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
76,2021,E02002491,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),247
77,2021,E02002491,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),11
78,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2976
79,2021,E02002492,2021 super output areas - middle layer,152,No central heating,26
80,2021,E02002492,2021 super output areas - middle layer,152,Mains gas only,2516
81,2021,E02002492,2021 super output areas - middle layer,152,Tank or bottled gas only,5
82,2021,E02002492,2021 super output areas - middle layer,152,Electric only,115
83,2021,E02002492,2021 super output areas - middle layer,152,Oil only,0
84,2021,E02002492,2021 super output areas - middle layer,152,Wood only,1
85,2021,E02002492,2021 super output areas - middle layer,152,Solid fuel only,1
86,2021,E02002492,2021 super output areas - middle layer,152,Renewable energy only,1
87,2021,E02002492,2021 super output areas - middle layer,152,District or communal heat networks only,13
88,2021,E02002492,2021 super output areas - middle layer,152,Other central heating only,36
89,2021,E02002492,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),249
90,2021,E02002492,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),13
91,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
92,2021,E02002493,2021 super output areas - middle layer,152,No central heating,14
93,2021,E02002493,2021 super output areas - middle layer,152,Mains gas only,2549
94,2021,E02002493,2021 super output areas - middle layer,152,Tank or bottled gas only,5
95,2021,E02002493,2021 super output areas - middle layer,152,Electric only,77
96,2021,E02002493,2021 super output areas - middle layer,152,Oil only,1
97,2021,E02002493,2021 super output areas - middle layer,152,Wood only,2
98,2021,E02002493,2021 super output areas - middle layer,152,Solid fuel only,1
99,2021,E02002493,2021 super output areas - middle layer,152,Renewable energy only,6
100,2021,E02002493,2021 super output areas - middle layer,152,District or communal heat networks only,21
101,2021,E02002493,2021 super output areas - middle layer,152,Other central heating only,11
