,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_SEX_NAME,OBS_VALUE
87,2021,E02006811,2021 super output areas - middle layer,152,All persons,11412
88,2021,E02006811,2021 super output areas - middle layer,152,Female,5822
89,2021,E02006811,2021 super output areas - middle layer,152,Male,5590
90,2021,E02002515,2021 super output areas - middle layer,152,All persons,6473
91,2021,E02002515,2021 super output areas - middle layer,152,Female,3270
92,2021,E02002515,2021 super output areas - middle layer,152,Male,3203
93,2021,E02002516,2021 super output areas - middle layer,152,All persons,5870
94,2021,E02002516,2021 super output areas - middle layer,152,Female,3031
95,2021,E02002516,2021 super output areas - middle layer,152,Male,2839
96,2021,E02002517,2021 super output areas - middle layer,152,All persons,5315
97,2021,E02002517,2021 super output areas - middle layer,152,Female,2744
98,2021,E02002517,2021 super output areas - middle layer,152,Male,2571
99,2021,E02002518,2021 super output areas - middle layer,152,All persons,10877
100,2021,E02002518,2021 super output areas - middle layer,152,Female,5554
101,2021,E02002518,2021 super output areas - middle layer,152,Male,5323
102,2021,E02002519,2021 super output areas - middle layer,152,All persons,7473
103,2021,E02002519,2021 super output areas - middle layer,152,Female,3891
104,2021,E02002519,2021 super output areas - middle layer,152,Male,3582
105,2021,E02002520,2021 super output areas - middle layer,152,All persons,13088
106,2021,E02002520,2021 super output areas - middle layer,152,Female,6742
107,2021,E02002520,2021 super output areas - middle layer,152,Male,6346
108,2021,E02002521,2021 super output areas - middle layer,152,All persons,5874
109,2021,E02002521,2021 super output areas - middle layer,152,Female,3052
110,2021,E02002521,2021 super output areas - middle layer,152,Male,2822
111,2021,E02002523,2021 super output areas - middle layer,152,All persons,6388
112,2021,E02002523,2021 super output areas - middle layer,152,Female,3332
113,2021,E02002523,2021 super output areas - middle layer,152,Male,3056
114,2021,E02002524,2021 super output areas - middle layer,152,All persons,5398
115,2021,E02002524,2021 super output areas - middle layer,152,Female,2751
116,2021,E02002524,2021 super output areas - middle layer,152,Male,2647
117,2021,E02002525,2021 super output areas - middle layer,152,All persons,7971
118,2021,E02002525,2021 super output areas - middle layer,152,Female,4237
119,2021,E02002525,2021 super output areas - middle layer,152,Male,3734
120,2021,E02002526,2021 super output areas - middle layer,152,All persons,7707
121,2021,E02002526,2021 super output areas - middle layer,152,Female,3951
122,2021,E02002526,2021 super output areas - middle layer,152,Male,3756
123,2021,E02002527,2021 super output areas - middle layer,152,All persons,5086
124,2021,E02002527,2021 super output areas - middle layer,152,Female,2574
125,2021,E02002527,2021 super output areas - middle layer,152,Male,2512
126,2021,E02002529,2021 super output areas - middle layer,152,All persons,5740
127,2021,E02002529,2021 super output areas - middle layer,152,Female,2958
128,2021,E02002529,2021 super output areas - middle layer,152,Male,2782
129,2021,E02002530,2021 super output areas - middle layer,152,All persons,6180
130,2021,E02002530,2021 super output areas - middle layer,152,Female,3117
131,2021,E02002530,2021 super output areas - middle layer,152,Male,3063
132,2021,E02002532,2021 super output areas - middle layer,152,All persons,6734
133,2021,E02002532,2021 super output areas - middle layer,152,Female,3506
134,2021,E02002532,2021 super output areas - middle layer,152,Male,3228
135,2021,E02002533,2021 super output areas - middle layer,152,All persons,6565
136,2021,E02002533,2021 super output areas - middle layer,152,Female,3388
137,2021,E02002533,2021 super output areas - middle layer,152,Male,3177
138,2021,E02002534,2021 super output areas - middle layer,152,All persons,5574
139,2021,E02002534,2021 super output areas - middle layer,152,Female,2888
140,2021,E02002534,2021 super output areas - middle layer,152,Male,2686
141,2021,E02006812,2021 super output areas - middle layer,152,All persons,7602
142,2021,E02006812,2021 super output areas - middle layer,152,Female,3974
143,2021,E02006812,2021 super output areas - middle layer,152,Male,3628
144,2021,E02006910,2021 super output areas - middle layer,152,All persons,10615
145,2021,E02006910,2021 super output areas - middle layer,152,Female,5485
146,2021,E02006910,2021 super output areas - middle layer,152,Male,5130
