,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
82,2021,E02002494,2021 super output areas - middle layer,152,2 rooms,296
83,2021,E02002494,2021 super output areas - middle layer,152,3 rooms,1406
84,2021,E02002494,2021 super output areas - middle layer,152,4 rooms,806
85,2021,E02002494,2021 super output areas - middle layer,152,5 rooms,764
86,2021,E02002494,2021 super output areas - middle layer,152,6 rooms,66
87,2021,E02002494,2021 super output areas - middle layer,152,7 rooms,15
88,2021,E02002494,2021 super output areas - middle layer,152,8 rooms,7
89,2021,E02002494,2021 super output areas - middle layer,152,9 or more rooms,5
90,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5507
91,2021,E02006909,2021 super output areas - middle layer,152,1 room,1
92,2021,E02006909,2021 super output areas - middle layer,152,2 rooms,106
93,2021,E02006909,2021 super output areas - middle layer,152,3 rooms,874
94,2021,E02006909,2021 super output areas - middle layer,152,4 rooms,1339
95,2021,E02006909,2021 super output areas - middle layer,152,5 rooms,1505
96,2021,E02006909,2021 super output areas - middle layer,152,6 rooms,919
97,2021,E02006909,2021 super output areas - middle layer,152,7 rooms,404
98,2021,E02006909,2021 super output areas - middle layer,152,8 rooms,215
99,2021,E02006909,2021 super output areas - middle layer,152,9 or more rooms,144
100,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4941
101,2021,E02007059,2021 super output areas - middle layer,152,1 room,55
102,2021,E02007059,2021 super output areas - middle layer,152,2 rooms,375
103,2021,E02007059,2021 super output areas - middle layer,152,3 rooms,1285
104,2021,E02007059,2021 super output areas - middle layer,152,4 rooms,1139
105,2021,E02007059,2021 super output areas - middle layer,152,5 rooms,1222
106,2021,E02007059,2021 super output areas - middle layer,152,6 rooms,414
107,2021,E02007059,2021 super output areas - middle layer,152,7 rooms,224
108,2021,E02007059,2021 super output areas - middle layer,152,8 rooms,101
109,2021,E02007059,2021 super output areas - middle layer,152,9 or more rooms,126
110,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
111,2021,E02002496,2021 super output areas - middle layer,152,1 room,96
112,2021,E02002496,2021 super output areas - middle layer,152,2 rooms,747
113,2021,E02002496,2021 super output areas - middle layer,152,3 rooms,1204
114,2021,E02002496,2021 super output areas - middle layer,152,4 rooms,1286
115,2021,E02002496,2021 super output areas - middle layer,152,5 rooms,641
116,2021,E02002496,2021 super output areas - middle layer,152,6 rooms,298
117,2021,E02002496,2021 super output areas - middle layer,152,7 rooms,111
118,2021,E02002496,2021 super output areas - middle layer,152,8 rooms,36
119,2021,E02002496,2021 super output areas - middle layer,152,9 or more rooms,41
120,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2744
121,2021,E02002497,2021 super output areas - middle layer,152,1 room,0
122,2021,E02002497,2021 super output areas - middle layer,152,2 rooms,183
123,2021,E02002497,2021 super output areas - middle layer,152,3 rooms,757
124,2021,E02002497,2021 super output areas - middle layer,152,4 rooms,1377
125,2021,E02002497,2021 super output areas - middle layer,152,5 rooms,369
126,2021,E02002497,2021 super output areas - middle layer,152,6 rooms,28
127,2021,E02002497,2021 super output areas - middle layer,152,7 rooms,26
128,2021,E02002497,2021 super output areas - middle layer,152,8 rooms,1
129,2021,E02002497,2021 super output areas - middle layer,152,9 or more rooms,3
130,2021,E02002498,2021 super output areas - middle layer,152,Total: All households,3642
131,2021,E02002498,2021 super output areas - middle layer,152,1 room,13
132,2021,E02002498,2021 super output areas - middle layer,152,2 rooms,279
133,2021,E02002498,2021 super output areas - middle layer,152,3 rooms,958
134,2021,E02002498,2021 super output areas - middle layer,152,4 rooms,1616
135,2021,E02002498,2021 super output areas - middle layer,152,5 rooms,682
136,2021,E02002498,2021 super output areas - middle layer,152,6 rooms,55
137,2021,E02002498,2021 super output areas - middle layer,152,7 rooms,32
138,2021,E02002498,2021 super output areas - middle layer,152,8 rooms,3
139,2021,E02002498,2021 super output areas - middle layer,152,9 or more rooms,4
140,2021,E02002499,2021 super output areas - middle layer,152,Total: All households,3067
141,2021,E02002499,2021 super output areas - middle layer,152,1 room,9
142,2021,E02002499,2021 super output areas - middle layer,152,2 rooms,143
143,2021,E02002499,2021 super output areas - middle layer,152,3 rooms,348
144,2021,E02002499,2021 super output areas - middle layer,152,4 rooms,1909
145,2021,E02002499,2021 super output areas - middle layer,152,5 rooms,596
146,2021,E02002499,2021 super output areas - middle layer,152,6 rooms,50
147,2021,E02002499,2021 super output areas - middle layer,152,7 rooms,4
148,2021,E02002499,2021 super output areas - middle layer,152,8 rooms,6
149,2021,E02002499,2021 super output areas - middle layer,152,9 or more rooms,2
150,2021,E02002500,2021 super output areas - middle layer,152,Total: All households,2335
151,2021,E02002500,2021 super output areas - middle layer,152,1 room,13
152,2021,E02002500,2021 super output areas - middle layer,152,2 rooms,117
153,2021,E02002500,2021 super output areas - middle layer,152,3 rooms,363
154,2021,E02002500,2021 super output areas - middle layer,152,4 rooms,517
155,2021,E02002500,2021 super output areas - middle layer,152,5 rooms,1049
156,2021,E02002500,2021 super output areas - middle layer,152,6 rooms,186
157,2021,E02002500,2021 super output areas - middle layer,152,7 rooms,42
158,2021,E02002500,2021 super output areas - middle layer,152,8 rooms,21
159,2021,E02002500,2021 super output areas - middle layer,152,9 or more rooms,27
160,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2608
161,2021,E02002501,2021 super output areas - middle layer,152,1 room,0
162,2021,E02002501,2021 super output areas - middle layer,152,2 rooms,229
163,2021,E02002501,2021 super output areas - middle layer,152,3 rooms,588
164,2021,E02002501,2021 super output areas - middle layer,152,4 rooms,762
165,2021,E02002501,2021 super output areas - middle layer,152,5 rooms,814
166,2021,E02002501,2021 super output areas - middle layer,152,6 rooms,136
167,2021,E02002501,2021 super output areas - middle layer,152,7 rooms,65
168,2021,E02002501,2021 super output areas - middle layer,152,8 rooms,7
169,2021,E02002501,2021 super output areas - middle layer,152,9 or more rooms,7
170,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4349
171,2021,E02002502,2021 super output areas - middle layer,152,1 room,4
172,2021,E02002502,2021 super output areas - middle layer,152,2 rooms,588
173,2021,E02002502,2021 super output areas - middle layer,152,3 rooms,786
174,2021,E02002502,2021 super output areas - middle layer,152,4 rooms,1366
175,2021,E02002502,2021 super output areas - middle layer,152,5 rooms,1433
176,2021,E02002502,2021 super output areas - middle layer,152,6 rooms,142
177,2021,E02002502,2021 super output areas - middle layer,152,7 rooms,20
178,2021,E02002502,2021 super output areas - middle layer,152,8 rooms,7
179,2021,E02002502,2021 super output areas - middle layer,152,9 or more rooms,3
180,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2738
181,2021,E02002503,2021 super output areas - middle layer,152,1 room,1
182,2021,E02002503,2021 super output areas - middle layer,152,2 rooms,63
183,2021,E02002503,2021 super output areas - middle layer,152,3 rooms,411
184,2021,E02002503,2021 super output areas - middle layer,152,4 rooms,1205
185,2021,E02002503,2021 super output areas - middle layer,152,5 rooms,940
186,2021,E02002503,2021 super output areas - middle layer,152,6 rooms,99
187,2021,E02002503,2021 super output areas - middle layer,152,7 rooms,13
188,2021,E02002503,2021 super output areas - middle layer,152,8 rooms,5
189,2021,E02002503,2021 super output areas - middle layer,152,9 or more rooms,1
190,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3777
191,2021,E02002504,2021 super output areas - middle layer,152,1 room,11
192,2021,E02002504,2021 super output areas - middle layer,152,2 rooms,163
193,2021,E02002504,2021 super output areas - middle layer,152,3 rooms,606
194,2021,E02002504,2021 super output areas - middle layer,152,4 rooms,615
195,2021,E02002504,2021 super output areas - middle layer,152,5 rooms,1753
196,2021,E02002504,2021 super output areas - middle layer,152,6 rooms,439
197,2021,E02002504,2021 super output areas - middle layer,152,7 rooms,125
198,2021,E02002504,2021 super output areas - middle layer,152,8 rooms,38
199,2021,E02002504,2021 super output areas - middle layer,152,9 or more rooms,27
200,2021,E02002505,2021 super output areas - middle layer,152,Total: All households,2642
201,2021,E02002505,2021 super output areas - middle layer,152,1 room,0
202,2021,E02002505,2021 super output areas - middle layer,152,2 rooms,121
203,2021,E02002505,2021 super output areas - middle layer,152,3 rooms,454
204,2021,E02002505,2021 super output areas - middle layer,152,4 rooms,1305
205,2021,E02002505,2021 super output areas - middle layer,152,5 rooms,734
