,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_2ADDR_4_NAME,OBS_VALUE
76,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9755
77,2021,E02002504,2021 super output areas - middle layer,152,No second address,9410
78,2021,E02002504,2021 super output areas - middle layer,152,Second address is in the UK,264
79,2021,E02002504,2021 super output areas - middle layer,152,Second address is outside the UK,81
80,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,6386
81,2021,E02002505,2021 super output areas - middle layer,152,No second address,6215
82,2021,E02002505,2021 super output areas - middle layer,152,Second address is in the UK,159
83,2021,E02002505,2021 super output areas - middle layer,152,Second address is outside the UK,12
84,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,5600
85,2021,E02002506,2021 super output areas - middle layer,152,No second address,5326
86,2021,E02002506,2021 super output areas - middle layer,152,Second address is in the UK,224
87,2021,E02002506,2021 super output areas - middle layer,152,Second address is outside the UK,50
88,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,6236
89,2021,E02002507,2021 super output areas - middle layer,152,No second address,6022
90,2021,E02002507,2021 super output areas - middle layer,152,Second address is in the UK,179
91,2021,E02002507,2021 super output areas - middle layer,152,Second address is outside the UK,35
92,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,5428
93,2021,E02002508,2021 super output areas - middle layer,152,No second address,5270
94,2021,E02002508,2021 super output areas - middle layer,152,Second address is in the UK,135
95,2021,E02002508,2021 super output areas - middle layer,152,Second address is outside the UK,23
96,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,5142
97,2021,E02002509,2021 super output areas - middle layer,152,No second address,5018
98,2021,E02002509,2021 super output areas - middle layer,152,Second address is in the UK,108
99,2021,E02002509,2021 super output areas - middle layer,152,Second address is outside the UK,16
100,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,7092
101,2021,E02002510,2021 super output areas - middle layer,152,No second address,6858
102,2021,E02002510,2021 super output areas - middle layer,152,Second address is in the UK,185
103,2021,E02002510,2021 super output areas - middle layer,152,Second address is outside the UK,49
104,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,5337
105,2021,E02002512,2021 super output areas - middle layer,152,No second address,5118
106,2021,E02002512,2021 super output areas - middle layer,152,Second address is in the UK,168
107,2021,E02002512,2021 super output areas - middle layer,152,Second address is outside the UK,51
108,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,10236
109,2021,E02002513,2021 super output areas - middle layer,152,No second address,9947
110,2021,E02002513,2021 super output areas - middle layer,152,Second address is in the UK,247
111,2021,E02002513,2021 super output areas - middle layer,152,Second address is outside the UK,42
112,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,8340
113,2021,E02002514,2021 super output areas - middle layer,152,No second address,8049
114,2021,E02002514,2021 super output areas - middle layer,152,Second address is in the UK,243
115,2021,E02002514,2021 super output areas - middle layer,152,Second address is outside the UK,48
116,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,11409
117,2021,E02006811,2021 super output areas - middle layer,152,No second address,10973
118,2021,E02006811,2021 super output areas - middle layer,152,Second address is in the UK,338
119,2021,E02006811,2021 super output areas - middle layer,152,Second address is outside the UK,98
120,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,6473
121,2021,E02002515,2021 super output areas - middle layer,152,No second address,6228
122,2021,E02002515,2021 super output areas - middle layer,152,Second address is in the UK,217
123,2021,E02002515,2021 super output areas - middle layer,152,Second address is outside the UK,28
124,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,5867
125,2021,E02002516,2021 super output areas - middle layer,152,No second address,5660
126,2021,E02002516,2021 super output areas - middle layer,152,Second address is in the UK,188
127,2021,E02002516,2021 super output areas - middle layer,152,Second address is outside the UK,19
128,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,5314
129,2021,E02002517,2021 super output areas - middle layer,152,No second address,5149
130,2021,E02002517,2021 super output areas - middle layer,152,Second address is in the UK,135
