,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All usual residents,433
1,2021,E02000959,2021 super output areas - middle layer,152,Armed forces base address,3
2,2021,E02000959,2021 super output areas - middle layer,152,Another address when working away from home,23
3,2021,E02000959,2021 super output areas - middle layer,152,Holiday home,50
4,2021,E02000959,2021 super output areas - middle layer,152,Student's term-time address,2
5,2021,E02000959,2021 super output areas - middle layer,152,Student's home address,20
6,2021,E02000959,2021 super output areas - middle layer,152,Another parent or guardian's address,163
7,2021,E02000959,2021 super output areas - middle layer,152,Partner's address,52
8,2021,E02000959,2021 super output areas - middle layer,152,Other,120
9,2021,E02000959,2021 super output areas - middle layer,152,Second address type not specified,0
10,2021,E02007083,2021 super output areas - middle layer,152,Total: All usual residents,1041
11,2021,E02007083,2021 super output areas - middle layer,152,Armed forces base address,0
12,2021,E02007083,2021 super output areas - middle layer,152,Another address when working away from home,76
13,2021,E02007083,2021 super output areas - middle layer,152,Holiday home,160
14,2021,E02007083,2021 super output areas - middle layer,152,Student's term-time address,1
15,2021,E02007083,2021 super output areas - middle layer,152,Student's home address,90
16,2021,E02007083,2021 super output areas - middle layer,152,Another parent or guardian's address,373
17,2021,E02007083,2021 super output areas - middle layer,152,Partner's address,116
18,2021,E02007083,2021 super output areas - middle layer,152,Other,225
19,2021,E02007083,2021 super output areas - middle layer,152,Second address type not specified,0
20,2021,E02007084,2021 super output areas - middle layer,152,Total: All usual residents,629
21,2021,E02007084,2021 super output areas - middle layer,152,Armed forces base address,1
22,2021,E02007084,2021 super output areas - middle layer,152,Another address when working away from home,39
23,2021,E02007084,2021 super output areas - middle layer,152,Holiday home,61
24,2021,E02007084,2021 super output areas - middle layer,152,Student's term-time address,1
25,2021,E02007084,2021 super output areas - middle layer,152,Student's home address,40
26,2021,E02007084,2021 super output areas - middle layer,152,Another parent or guardian's address,246
27,2021,E02007084,2021 super output areas - middle layer,152,Partner's address,86
28,2021,E02007084,2021 super output areas - middle layer,152,Other,155
29,2021,E02007084,2021 super output areas - middle layer,152,Second address type not specified,0
30,2021,E02000960,2021 super output areas - middle layer,152,Total: All usual residents,841
31,2021,E02000960,2021 super output areas - middle layer,152,Armed forces base address,1
32,2021,E02000960,2021 super output areas - middle layer,152,Another address when working away from home,84
33,2021,E02000960,2021 super output areas - middle layer,152,Holiday home,218
