,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
0,2021,E02005879,2021 super output areas - middle layer,152,Total: All households,3496
1,2021,E02005879,2021 super output areas - middle layer,152,1 room,3
2,2021,E02005879,2021 super output areas - middle layer,152,2 rooms,278
3,2021,E02005879,2021 super output areas - middle layer,152,3 rooms,1016
4,2021,E02005879,2021 super output areas - middle layer,152,4 rooms,1431
5,2021,E02005879,2021 super output areas - middle layer,152,5 rooms,527
6,2021,E02005879,2021 super output areas - middle layer,152,6 rooms,183
7,2021,E02005879,2021 super output areas - middle layer,152,7 rooms,40
8,2021,E02005879,2021 super output areas - middle layer,152,8 rooms,16
9,2021,E02005879,2021 super output areas - middle layer,152,9 or more rooms,2
10,2021,E02006835,2021 super output areas - middle layer,152,Total: All households,2618
11,2021,E02006835,2021 super output areas - middle layer,152,1 room,3
12,2021,E02006835,2021 super output areas - middle layer,152,2 rooms,172
13,2021,E02006835,2021 super output areas - middle layer,152,3 rooms,667
14,2021,E02006835,2021 super output areas - middle layer,152,4 rooms,794
15,2021,E02006835,2021 super output areas - middle layer,152,5 rooms,566
16,2021,E02006835,2021 super output areas - middle layer,152,6 rooms,273
17,2021,E02006835,2021 super output areas - middle layer,152,7 rooms,117
18,2021,E02006835,2021 super output areas - middle layer,152,8 rooms,16
19,2021,E02006835,2021 super output areas - middle layer,152,9 or more rooms,10
20,2021,E02005880,2021 super output areas - middle layer,152,Total: All households,2638
21,2021,E02005880,2021 super output areas - middle layer,152,1 room,13
22,2021,E02005880,2021 super output areas - middle layer,152,2 rooms,72
23,2021,E02005880,2021 super output areas - middle layer,152,3 rooms,326
24,2021,E02005880,2021 super output areas - middle layer,152,4 rooms,1320
25,2021,E02005880,2021 super output areas - middle layer,152,5 rooms,787
26,2021,E02005880,2021 super output areas - middle layer,152,6 rooms,75
27,2021,E02005880,2021 super output areas - middle layer,152,7 rooms,28
28,2021,E02005880,2021 super output areas - middle layer,152,8 rooms,12
29,2021,E02005880,2021 super output areas - middle layer,152,9 or more rooms,5
30,2021,E02005881,2021 super output areas - middle layer,152,Total: All households,2666
31,2021,E02005881,2021 super output areas - middle layer,152,1 room,0
32,2021,E02005881,2021 super output areas - middle layer,152,2 rooms,144
33,2021,E02005881,2021 super output areas - middle layer,152,3 rooms,511
34,2021,E02005881,2021 super output areas - middle layer,152,4 rooms,797
35,2021,E02005881,2021 super output areas - middle layer,152,5 rooms,1063
