,GEOGRAPHY_CODE,Family member or partner of staff or owner,Resident,Resident: Female: Aged 0 to 15 years,Resident: Female: Aged 16 to 24 years,Resident: Female: Aged 25 to 34 years,Resident: Female: Aged 35 to 49 years,Resident: Female: Aged 50 to 64 years,Resident: Female: Aged 65 to 74 years,Resident: Female: Aged 75 to 84 years,Resident: Female: Aged 85 years and over,Resident: Male: Aged 0 to 15 years,Resident: Male: Aged 16 to 24 years,Resident: Male: Aged 25 to 34 years,Resident: Male: Aged 35 to 49 years,Resident: Male: Aged 50 to 64 years,Resident: Male: Aged 65 to 74 years,Resident: Male: Aged 75 to 84 years,Resident: Male: Aged 85 years and over,Resident:Female,Resident:Male,Staff or owner,Staying temporarily (no usual UK address),Total: All usual residents in communal establishments
18,E02000021,0.0,0.97,0.02,0.0,0.0,0.02,0.07,0.04,0.13,0.14,0.0,0.0,0.0,0.06,0.22,0.12,0.05,0.1,0.42,0.55,0.03,0.0,100.0
19,E02000022,0.0,0.7857142857142857,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.42857142857142855,0.35714285714285715,0.0,0.21428571428571427,28.0
20,E02000023,0.0,0.47126436781609193,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.14942528735632185,0.04597701149425287,0.011494252873563218,0.0,0.0,0.022988505747126436,0.05747126436781609,0.0,0.034482758620689655,0.0,0.0,0.0,0.011494252873563218,0.3448275862068966,0.12643678160919541,0.0,0.5287356321839081,87.0
21,E02000024,0.019417475728155338,0.9805825242718447,0.0,0.0,0.0,0.0,0.10679611650485436,0.009708737864077669,0.14563106796116504,0.3786407766990291,0.0,0.0,0.02912621359223301,0.06796116504854369,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.05825242718446602,0.6407766990291263,0.33980582524271846,0.0,0.0,103.0
22,E02000025,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
23,E02000026,0.0,1.0,0.0,0.0,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.20689655172413793,0.034482758620689655,0.0,0.0,0.034482758620689655,0.3448275862068966,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.5172413793103449,0.4827586206896552,0.0,0.0,29.0
24,E02000027,0.01,0.95,0.0,0.0,0.0,0.03,0.2,0.07,0.08,0.21,0.0,0.0,0.01,0.02,0.16,0.08,0.04,0.05,0.59,0.36,0.0,0.04,100.0
25,E02000028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.4117647058823529,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.6470588235294118,0.35294117647058826,0.0,0.0,17.0
26,E02000030,0.030927835051546393,0.9690721649484536,0.0,0.0,0.0,0.061855670103092786,0.05154639175257732,0.041237113402061855,0.1134020618556701,0.38144329896907214,0.0,0.0,0.0,0.030927835051546393,0.061855670103092786,0.030927835051546393,0.12371134020618557,0.07216494845360824,0.6494845360824743,0.31958762886597936,0.0,0.0,97.0
27,E02000031,0.0,1.0,0.012048192771084338,0.0,0.0,0.018072289156626505,0.060240963855421686,0.03614457831325301,0.1927710843373494,0.3614457831325301,0.0,0.0,0.006024096385542169,0.0,0.06626506024096386,0.08433734939759036,0.0783132530120482,0.08433734939759036,0.6807228915662651,0.3192771084337349,0.0,0.0,166.0
28,E02000032,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.5,0.5,0.0,0.0,10.0
29,E02000033,0.0,1.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.1111111111111111,0.28888888888888886,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.15555555555555556,0.4444444444444444,0.5555555555555556,0.0,0.0,45.0
30,E02000034,0.0,1.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.16279069767441862,0.4418604651162791,0.0,0.0,0.0,0.0,0.09302325581395349,0.023255813953488372,0.09302325581395349,0.11627906976744186,0.6744186046511628,0.32558139534883723,0.0,0.0,43.0
31,E02000035,0.009554140127388535,0.9490445859872612,0.03503184713375796,0.012738853503184714,0.1178343949044586,0.022292993630573247,0.028662420382165606,0.06687898089171974,0.11146496815286625,0.2197452229299363,0.025477707006369428,0.006369426751592357,0.11464968152866242,0.050955414012738856,0.009554140127388535,0.050955414012738856,0.044585987261146494,0.03184713375796178,0.6146496815286624,0.3343949044585987,0.01910828025477707,0.022292993630573247,314.0
32,E02000036,0.0,0.9107142857142857,0.017857142857142856,0.0,0.017857142857142856,0.0,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.017857142857142856,0.0,0.05357142857142857,0.08928571428571429,0.16071428571428573,0.10714285714285714,0.07142857142857142,0.017857142857142856,0.39285714285714285,0.5178571428571429,0.0,0.08928571428571429,56.0
33,E02000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34,E02000038,0.0,0.9762845849802372,0.0,0.007905138339920948,0.023715415019762844,0.02766798418972332,0.08695652173913043,0.043478260869565216,0.09486166007905138,0.33201581027667987,0.0,0.015810276679841896,0.043478260869565216,0.05533596837944664,0.04743083003952569,0.08300395256916997,0.03162055335968379,0.08300395256916997,0.616600790513834,0.35968379446640314,0.023715415019762844,0.0,253.0
35,E02000039,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.0
36,E02000040,0.0,0.9572953736654805,0.07829181494661921,0.23487544483985764,0.060498220640569395,0.06405693950177936,0.042704626334519574,0.0,0.0,0.0035587188612099642,0.046263345195729534,0.23487544483985764,0.05338078291814947,0.09608540925266904,0.042704626334519574,0.0,0.0,0.0,0.48398576512455516,0.47330960854092524,0.0035587188612099642,0.03914590747330961,281.0
37,E02000041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.8292682926829268,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0975609756097561,0.8780487804878049,0.12195121951219512,0.0,0.0,41.0
38,E02000042,0.009615384615384616,0.9903846153846154,0.0,0.0,0.02403846153846154,0.004807692307692308,0.04326923076923077,0.07211538461538461,0.1201923076923077,0.2932692307692308,0.0,0.014423076923076924,0.014423076923076924,0.014423076923076924,0.10576923076923077,0.07692307692307693,0.08653846153846154,0.1201923076923077,0.5576923076923077,0.4326923076923077,0.0,0.0,208.0
39,E02000043,0.0,1.0,0.0,0.0,0.0,0.0273972602739726,0.2191780821917808,0.0821917808219178,0.0821917808219178,0.1643835616438356,0.0,0.0,0.0,0.0821917808219178,0.136986301369863,0.1095890410958904,0.0410958904109589,0.0547945205479452,0.5753424657534246,0.4246575342465753,0.0,0.0,73.0
40,E02000045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.475,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.15,0.725,0.275,0.0,0.0,40.0
41,E02000047,0.0,0.9836065573770492,0.0,0.0,0.0,0.0,0.03278688524590164,0.04918032786885246,0.18032786885245902,0.3442622950819672,0.0,0.0,0.0,0.0,0.06557377049180328,0.13114754098360656,0.03278688524590164,0.14754098360655737,0.6065573770491803,0.3770491803278688,0.01639344262295082,0.0,61.0
42,E02000048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
43,E02000049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
